method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,1,0,feature,input,-1,0,input,0.4790000021457672,0.1137322261929512,-0.00765862176194787,0.6793192625045776,1.017929196357727,0.9937145709991455
RaT,1,1,feature,input,-1,1,input,0.5120000243186951,0.11772370338439941,0.026845009997487068,0.6622070670127869,1.0197588205337524,1.004991054534912
RaT,1,2,feature,input,-1,2,input,0.5059999823570251,0.1211685910820961,0.02484111487865448,0.6711559891700745,1.0210360288619995,0.9939276576042175
RaT,1,3,feature,input,-1,3,input,0.5429999828338623,0.12328357249498367,0.06745278835296631,0.6326472759246826,1.0105645656585693,0.9996756911277771
RaT,1,4,feature,input,-1,4,input,0.5289999842643738,0.12861675024032593,0.058363839983940125,0.6778748631477356,1.0321708917617798,1.0035730600357056
RaT,1,5,feature,input,-1,5,input,0.5370000004768372,0.12206844985485077,0.04658763110637665,0.6535625457763672,1.0273480415344238,1.0208250284194946
RaT,250,0,feature,input,-1,0,input,0.4959999918937683,0.2278563678264618,-0.018980035558342934,1.4189236164093018,2.849336624145508,2.807457208633423
RaT,250,1,feature,input,-1,1,input,0.5230000019073486,0.24330440163612366,0.07019159197807312,1.4561606645584106,1.563427209854126,1.5174471139907837
RaT,250,2,feature,input,-1,2,input,0.49000000953674316,0.23810695111751556,0.021265827119350433,1.4856806993484497,1.4733784198760986,1.452247977256775
RaT,250,3,feature,input,-1,3,input,0.5049999952316284,0.2376505583524704,0.05983925983309746,1.409806728363037,2.9539291858673096,2.895134210586548
RaT,250,4,feature,input,-1,4,input,0.5090000033378601,0.23184055089950562,0.007985902018845081,1.4182981252670288,1.5821901559829712,1.4952424764633179
RaT,250,5,feature,input,-1,5,input,0.5220000147819519,0.2531154453754425,0.091621533036232,1.4980953931808472,1.527781367301941,1.4777426719665527
RaT,500,0,feature,input,-1,0,input,0.5070000290870667,0.23259174823760986,0.019932115450501442,1.4206798076629639,2.764395236968994,2.7226078510284424
RaT,500,1,feature,input,-1,1,input,0.4880000054836273,0.22430111467838287,0.016755236312747,1.4390983581542969,1.5167086124420166,1.4451854228973389
RaT,500,2,feature,input,-1,2,input,0.5040000081062317,0.22794070839881897,0.054893121123313904,1.3607863187789917,1.4579576253890991,1.4264485836029053
RaT,500,3,feature,input,-1,3,input,0.5049999952316284,0.2480839490890503,0.10185057669878006,1.4447096586227417,2.961730480194092,2.9005939960479736
RaT,500,4,feature,input,-1,4,input,0.503000020980835,0.23632082343101501,0.012858026660978794,1.4497082233428955,1.5185853242874146,1.4268049001693726
RaT,500,5,feature,input,-1,5,input,0.5149999856948853,0.2422388345003128,0.09694141894578934,1.3707698583602905,1.495100498199463,1.45168137550354
RaT,750,0,feature,input,-1,0,input,1.0,0.7299032807350159,1.6985493898391724,0.30819886922836304,2.243440628051758,2.206850051879883
RaT,750,1,feature,input,-1,1,input,0.09799999743700027,0.0073142279870808125,-0.6219689846038818,0.48692476749420166,2.165532112121582,2.095780611038208
RaT,750,2,feature,input,-1,2,input,0.09200000017881393,0.005537334829568863,-0.6238245368003845,0.4677093029022217,2.204010486602783,2.1705236434936523
RaT,750,3,feature,input,-1,3,input,1.0,0.7837210893630981,1.9635958671569824,0.3282141089439392,2.3413736820220947,2.294214963912964
