target,source_0,source_1,source_2,source_3,source_4
0,0.0031999999191612005,0.007199999876320362,0.004600000102072954,0.003599999938160181,0.07540000230073929
1,0.00839999970048666,0.010599999688565731,0.009999999776482582,0.010200000368058681,0.1273999959230423
2,0.009999999776482582,0.013000000268220901,0.011599999852478504,0.007799999788403511,0.14740000665187836
3,0.07360000163316727,0.08420000225305557,0.07440000027418137,0.06400000303983688,1.0
4,0.007000000216066837,0.005400000140070915,0.004999999888241291,0.004800000227987766,0.06599999964237213
