target,source_0,source_1,source_2,source_3,source_4,source_5
0,0.07360000163316727,0.07360000163316727,0.07360000163316727,0.07360000163316727,0.07360000163316727,0.07360000163316727
1,0.08420000225305557,0.08420000225305557,0.08420000225305557,0.08420000225305557,0.08420000225305557,0.08420000225305557
2,0.07440000027418137,0.07440000027418137,0.07440000027418137,0.07440000027418137,0.07440000027418137,0.07440000027418137
3,0.06400000303983688,0.06400000303983688,0.06400000303983688,0.06400000303983688,0.06400000303983688,0.06400000303983688
4,1.0,1.0,1.0,1.0,1.0,1.0
