"chain","chain_seed","n_iter","warmup","postwarmup","mean_acceptance","mean_proposal_sd","min_proposal_sd","max_proposal_sd","runtime_s"
1,100400,50000,10000,40000,0.547186368159204,1.53428229329526,0.0740127735080765,1.85052097349459,280.539
2,200400,50000,10000,40000,0.553420696517413,1.49978375624115,0.0676247246290771,1.85786232407126,273.313
3,300400,50000,10000,40000,0.546202388059701,1.54224288186219,0.069343708818016,1.86813710132977,279.242
4,400400,50000,10000,40000,0.547413731343284,1.53932885801231,0.0718028575556596,1.857323137539,278.505
5,500400,50000,10000,40000,0.549674726368159,1.51704384119609,0.0701834244907413,1.8425032514142,274.851
6,600400,50000,10000,40000,0.557489552238806,1.47894728634944,0.0755548416080298,1.71686906253056,277.283
7,700400,50000,10000,40000,0.548060696517413,1.53146364869107,0.0718546020161522,1.86367990360782,280.145
8,800400,50000,10000,40000,0.552696019900498,1.50704818554518,0.0740650736415534,1.82908821997141,278.665
