method,target,pip,expected_active_count
VI,unit_rank_1,1.0,2.486999988555908
VI,unit_rank_2,1.0,2.486999988555908
VI,unit_rank_3,0.40540000796318054,2.486999988555908
VI,unit_rank_4,0.07620000094175339,2.486999988555908
VI,unit_rank_5,0.005400000140070915,2.486999988555908
matched_MCMC,unit_rank_1,1.0,3.145050048828125
matched_MCMC,unit_rank_2,1.0,3.145050048828125
matched_MCMC,unit_rank_3,0.7218000292778015,3.145050048828125
matched_MCMC,unit_rank_4,0.3390499949455261,3.145050048828125
matched_MCMC,unit_rank_5,0.08420000225305557,3.145050048828125
hard_MCMC,unit_rank_1,1.0,2.5215001106262207
hard_MCMC,unit_rank_2,1.0,2.5215001106262207
hard_MCMC,unit_rank_3,0.4031499922275543,2.5215001106262207
hard_MCMC,unit_rank_4,0.10220000147819519,2.5215001106262207
hard_MCMC,unit_rank_5,0.01614999957382679,2.5215001106262207
