"method","setting","seed","replicate_id","j0","j1","beta_true","truth","pip","selected","effect_mean"
"mcmc","low_snr",466,466,0,1,0,0,0.011,0,-0.000847990121594204
"mcmc","low_snr",466,466,1,2,0,0,0.017,0,-0.0137715312547864
"mcmc","low_snr",466,466,2,3,0,0,0.044375,0,0.0513193489990621
"mcmc","low_snr",466,466,3,4,0,0,0.008,0,-0.00363502073420603
"mcmc","low_snr",466,466,4,5,1.4043967,1,0.99925,1,1.82816586933491
"mcmc","low_snr",466,466,5,6,0,0,0.014,0,0.0145458143346378
"mcmc","low_snr",466,466,6,7,0,0,0.017375,0,-0.0132786707913699
"mcmc","low_snr",466,466,7,8,0,0,0.039125,0,0.0495761473086057
"mcmc","low_snr",466,466,8,9,0,0,0.010875,0,-0.00977060456429586
"mcmc","low_snr",466,466,9,10,0,0,0.01975,0,0.0206638334135312
"mcmc","low_snr",466,466,10,11,0,0,0.025625,0,0.0279371975806648
"mcmc","low_snr",466,466,11,12,0,0,0.018125,0,0.0235744836204639
"mcmc","low_snr",466,466,12,13,0,0,0.18675,0,0.19735567766072
"mcmc","low_snr",466,466,13,14,0,0,0.013125,0,-0.00694950910217007
"mcmc","low_snr",466,466,14,15,0,0,0.038375,0,0.0445653944979347
"mcmc","low_snr",466,466,15,16,0,0,0.027625,0,-0.0352317869336705
"mcmc","low_snr",466,466,16,17,0,0,0.013125,0,0.00211312786175876
"mcmc","low_snr",466,466,17,18,0,0,0.008875,0,0.00411108645863442
"mcmc","low_snr",466,466,18,19,0,0,0.019,0,-0.0200662203641599
"mcmc","low_snr",466,466,19,20,0,0,0.018875,0,0.017454701736109
"mcmc","low_snr",466,466,20,21,-1.2683562,1,0.543125,1,-0.562749314820207
"mcmc","low_snr",466,466,21,22,0,0,0.0205,0,-0.0231906574997209
"mcmc","low_snr",466,466,22,23,0,0,0.01275,0,-0.0112522419561569
"mcmc","low_snr",466,466,23,24,0,0,0.027,0,-0.0352873736550725
"mcmc","low_snr",466,466,24,25,0,0,0.012625,0,-0.018194244335508
"mcmc","low_snr",466,466,25,26,0,0,0.011875,0,0.00397722395385587
"mcmc","low_snr",466,466,26,27,1.6858178,1,0.99975,1,1.83530755491549
"mcmc","low_snr",466,466,27,28,0,0,0.026375,0,0.0310498162440199
"mcmc","low_snr",466,466,28,29,0,0,0.01675,0,0.0243450086525335
"mcmc","low_snr",466,466,29,30,0,0,0.01125,0,-0.00165938346012671
"mcmc","low_snr",466,466,30,31,0,0,0.02125,0,0.0166166468553326
"mcmc","low_snr",466,466,31,32,-0.89783967,1,0.539625,1,-0.542500411559578
"mcmc","low_snr",466,466,32,33,0,0,0.012,0,-0.00701067279709978
"mcmc","low_snr",466,466,33,34,0,0,0.041,0,-0.0475728887200897
"mcmc","low_snr",466,466,34,35,0,0,0.012,0,-0.0033523041955035
"mcmc","low_snr",466,466,35,36,0,0,0.01525,0,-0.0176538290849308
"mcmc","low_snr",466,466,36,37,0,0,0.014375,0,0.0187213758605784
"mcmc","low_snr",466,466,37,38,0,0,0.076,0,0.0825383955773198
"mcmc","low_snr",466,466,38,39,0,0,0.01125,0,-0.00199675443073981
"mcmc","low_snr",466,466,39,40,0,0,0.013625,0,-0.0114726146065415
"mcmc","low_snr",466,466,40,41,0,0,0.0715,0,0.0825457216703821
"mcmc","low_snr",466,466,41,42,0,0,0.012875,0,0.00647950389844685
"mcmc","low_snr",466,466,42,43,0,0,0.018,0,0.0202023267564415
"mcmc","low_snr",466,466,43,44,0,0,0.00725,0,-0.00448534299274806
"mcmc","low_snr",466,466,44,45,-1.1666647,1,0.54675,1,-0.571514545702312
"mcmc","low_snr",466,466,45,46,0,0,0.0155,0,0.00639615098815087
"mcmc","low_snr",466,466,46,47,0,0,0.0125,0,0.00290539907764143
"mcmc","low_snr",466,466,47,48,0,0,0.019625,0,-0.0180787521269388
"mcmc","low_snr",466,466,48,49,0,0,0.011,0,-0.000439265071902761
"mcmc","low_snr",466,466,49,50,0,0,0.010625,0,0.00162217350954711
"mcmc","low_snr",466,466,50,51,0,0,0.03675,0,0.0438836975194945
"mcmc","low_snr",466,466,51,52,0,0,0.012,0,-0.00494238818676007
"mcmc","low_snr",466,466,52,53,-0.31136763,1,0.05275,0,-0.0626114819933452
"mcmc","low_snr",466,466,53,54,0,0,0.01375,0,-0.00851417010219328
"mcmc","low_snr",466,466,54,55,0,0,0.0525,0,-0.0629432332709113
"mcmc","low_snr",466,466,55,56,0,0,0.011125,0,0.00379442248191589
"mcmc","low_snr",466,466,56,57,0,0,0.011875,0,-0.00146988264849277
"mcmc","low_snr",466,466,57,58,-1.5844307,1,0.994375,1,-1.44034825401198
"mcmc","low_snr",466,466,58,59,0,0,0.015,0,0.00867605504268223
