epoch,phase,selection_warmup,eligible_checkpoint,checkpoint_update,loss,expected_log_likelihood,expected_log_prior,expected_log_q,kl_q_prior,elbo,val_mse,val_signal_r2,val_draw_r2_median,val_draw_r2_positive_prob,val_zero_function_prob,val_constant_function_prob,val_corr2,val_function_energy_mean,val_function_energy_median,pip_rmse_truth,pip_rmse_mcmc,true_active_skl,true_active_skl_mean,zero_js,zero_js_mean,n_truth_active,n_truth_zero,n_valid_true_active_skl,selection_mode,target_type,partition_source,reference_compatibility,active_skl,rmse_with_mcmc,true_skl
1,repr,True,False,False,658.1709594726562,-552.0294799804688,-92.01615905761719,-60.191741943359375,31.824411392211914,-583.8539428710938,4.255235195159912,-1.1894004344940186,-1.3844943046569824,0.027000000700354576,0.0,0.0,0.23748476803302765,1.3463621139526367,0.669083833694458,,0.29067447428351884,2.0641488130415055,4.857995927878225,0.003091527770742207,0.0035162216839547734,15,15,15,feature_unit_induced_edge,induced_edge_rank,matched_mcmc_pip_gt_0.5,exact,2.0641488130415055,0.29067447428351884,2.0641488130415055
250,repr,True,False,False,257.6368103027344,-200.00575256347656,-116.24058532714844,-60.13304901123047,56.10753631591797,-256.1133117675781,0.05004136636853218,0.9742527604103088,0.892874538898468,1.0,0.0,0.0,0.9812340140342712,4.882941246032715,4.796327590942383,,0.27379009599813264,0.3919061644263916,0.9165514120327667,0.0011712656923581377,0.0027073546098319305,15,15,15,feature_unit_induced_edge,induced_edge_rank,matched_mcmc_pip_gt_0.5,exact,0.3919061644263916,0.27379009599813264,0.3919061644263916
500,repr,True,False,False,254.83612060546875,-197.1645965576172,-118.10649871826172,-62.19355392456055,55.91294479370117,-253.07754516601562,0.0535045862197876,0.9724708795547485,0.9031543135643005,1.0,0.0,0.0,0.9733271598815918,4.429233074188232,4.324197292327881,,0.2577086533277453,0.5473137508069597,0.9319915271481328,0.003296277510807832,0.0035711016783636805,15,15,15,feature_unit_induced_edge,induced_edge_rank,matched_mcmc_pip_gt_0.5,exact,0.5473137508069597,0.2577086533277453,0.5473137508069597
750,select,False,False,False,244.80950927734375,-200.61318969726562,-123.7747802734375,-77.4029312133789,46.371856689453125,-246.9850311279297,0.09416666626930237,0.9515494108200073,0.9042409062385559,0.9990000128746033,0.0,0.0,0.9914693236351013,3.5287253856658936,3.4276208877563477,,0.15681055449171782,0.8473479679291218,1.0935576149617712,0.006008890004165585,0.0090785748848605,15,15,15,feature_unit_induced_edge,induced_edge_rank,matched_mcmc_pip_gt_0.5,exact,0.8473479679291218,0.15681055449171782,0.8473479679291218
1000,select,False,False,False,239.21804809570312,-195.2300567626953,-125.81771850585938,-81.68446350097656,44.13326644897461,-239.3633270263672,0.05464194715023041,0.9718856811523438,0.9330475330352783,1.0,0.0,0.0,0.9914305806159973,3.824866771697998,3.7557132244110107,,0.31094487721566777,4.773553110864328,4.5557416579158705,0.019585613513480146,0.03158193326526269,15,15,12,feature_unit_induced_edge,induced_edge_rank,matched_mcmc_pip_gt_0.5,exact,4.773553110864328,0.31094487721566777,4.773553110864328
1250,select,False,False,False,238.46853637695312,-195.6461944580078,-126.64620971679688,-85.30052185058594,41.34568405151367,-236.99185180664062,0.0654674544930458,0.966315746307373,0.9286000728607178,1.0,0.0,0.0,0.9879758358001709,3.7580978870391846,3.695490837097168,,0.3520468482082085,7.954519448255153,7.053140828998438,0.023437047986453945,0.03538979541910799,15,15,12,feature_unit_induced_edge,induced_edge_rank,matched_mcmc_pip_gt_0.5,exact,7.954519448255153,0.3520468482082085,7.954519448255153
1500,select,False,False,False,235.07667541503906,-194.97532653808594,-126.86808776855469,-85.37937927246094,41.48870849609375,-236.46405029296875,0.033293455839157104,0.9828698635101318,0.9431398510932922,0.9990000128746033,0.0,0.0,0.987151563167572,4.690647125244141,4.6493000984191895,,0.3078412740358252,7.7047330629070245,6.773554218119178,0.023437047986453945,0.034702167678610084,15,15,15,feature_unit_induced_edge,induced_edge_rank,matched_mcmc_pip_gt_0.5,exact,7.7047330629070245,0.3078412740358252,7.7047330629070245
1750,select,False,False,False,235.58865356445312,-198.05801391601562,-125.45844268798828,-84.20962524414062,41.248817443847656,-239.3068389892578,0.13726657629013062,0.9293737411499023,0.9035065174102783,1.0,0.0,0.0,0.9898719787597656,3.216062545776367,3.2006380558013916,,0.36113005505865436,9.234057421358617,8.224267620050666,0.023437047986453945,0.03740658521010691,15,15,12,feature_unit_induced_edge,induced_edge_rank,matched_mcmc_pip_gt_0.5,exact,9.234057421358617,0.36113005505865436,9.234057421358617
2000,select,False,False,False,234.3740234375,-193.97474670410156,-126.89280700683594,-86.76290130615234,40.1298942565918,-234.10464477539062,0.028718747198581696,0.985223650932312,0.9472851157188416,1.0,0.0,0.0,0.9875203967094421,4.531912326812744,4.529897212982178,,0.33031013204764603,7.475307855476655,6.704499629815616,0.023437047986453945,0.03491522528189277,15,15,12,feature_unit_induced_edge,induced_edge_rank,matched_mcmc_pip_gt_0.5,exact,7.475307855476655,0.33031013204764603,7.475307855476655
