target,label,chain,pip
30,edge_E_5_0,4,0.7408
30,edge_E_5_0,pooled,0.682
31,edge_E_5_1,1,0.552
31,edge_E_5_1,2,0.6012
31,edge_E_5_1,3,0.5312
31,edge_E_5_1,4,0.628
31,edge_E_5_1,pooled,0.5781
32,edge_E_5_2,1,0.5498
32,edge_E_5_2,2,0.601
32,edge_E_5_2,3,0.5214
32,edge_E_5_2,4,0.6366
32,edge_E_5_2,pooled,0.5772
33,edge_E_5_3,1,0.6944
33,edge_E_5_3,2,0.7246
33,edge_E_5_3,3,0.722
33,edge_E_5_3,4,0.76
33,edge_E_5_3,pooled,0.72525
34,edge_E_5_4,1,0.5768
34,edge_E_5_4,2,0.605
34,edge_E_5_4,3,0.5364
34,edge_E_5_4,4,0.6632
34,edge_E_5_4,pooled,0.59535
35,edge_E_5_5,1,0.61
35,edge_E_5_5,2,0.6012
35,edge_E_5_5,3,0.55
35,edge_E_5_5,4,0.6458
35,edge_E_5_5,pooled,0.60175
36,edge_W1_0_0,1,0.7198
36,edge_W1_0_0,2,0.6352
36,edge_W1_0_0,3,0.6626
36,edge_W1_0_0,4,0.6734
36,edge_W1_0_0,pooled,0.67275
37,edge_W1_0_1,1,0.6266
37,edge_W1_0_1,2,0.6714
37,edge_W1_0_1,3,0.6642
37,edge_W1_0_1,4,0.6668
37,edge_W1_0_1,pooled,0.65725
38,edge_W1_0_2,1,0.6886
38,edge_W1_0_2,2,0.6558
38,edge_W1_0_2,3,0.6296
38,edge_W1_0_2,4,0.6888
38,edge_W1_0_2,pooled,0.6657
39,edge_W1_0_3,1,0.603
39,edge_W1_0_3,2,0.6362
39,edge_W1_0_3,3,0.6166
39,edge_W1_0_3,4,0.6832
39,edge_W1_0_3,pooled,0.63475
40,edge_W1_0_4,1,0.6258
40,edge_W1_0_4,2,0.6096
40,edge_W1_0_4,3,0.6204
40,edge_W1_0_4,4,0.776
40,edge_W1_0_4,pooled,0.65795
41,edge_W1_0_5,1,0.6346
41,edge_W1_0_5,2,0.6758
41,edge_W1_0_5,3,0.5962
41,edge_W1_0_5,4,0.7158
41,edge_W1_0_5,pooled,0.6556
42,edge_W1_1_0,1,0.6508
42,edge_W1_1_0,2,0.639
42,edge_W1_1_0,3,0.5946
42,edge_W1_1_0,4,0.7266
42,edge_W1_1_0,pooled,0.65275
43,edge_W1_1_1,1,0.6558
43,edge_W1_1_1,2,0.6802
43,edge_W1_1_1,3,0.5998
43,edge_W1_1_1,4,0.6772
43,edge_W1_1_1,pooled,0.65325
44,edge_W1_1_2,1,0.7156
44,edge_W1_1_2,2,0.647
44,edge_W1_1_2,3,0.5932
44,edge_W1_1_2,4,0.7114
44,edge_W1_1_2,pooled,0.6668
45,edge_W1_1_3,1,0.6504
45,edge_W1_1_3,2,0.6884
45,edge_W1_1_3,3,0.6836
45,edge_W1_1_3,4,0.6634
45,edge_W1_1_3,pooled,0.67145
46,edge_W1_1_4,1,0.6302
46,edge_W1_1_4,2,0.602
46,edge_W1_1_4,3,0.6746
46,edge_W1_1_4,4,0.6998
46,edge_W1_1_4,pooled,0.65165
47,edge_W1_1_5,1,0.6214
47,edge_W1_1_5,2,0.6296
47,edge_W1_1_5,3,0.6336
47,edge_W1_1_5,4,0.6654
47,edge_W1_1_5,pooled,0.6375
48,edge_W1_2_0,1,0.622
48,edge_W1_2_0,2,0.633
48,edge_W1_2_0,3,0.6638
