variable,mean,sd,rhat,ess,mcse
xi_0,-0.06890426462574656,1.2463698344405114,1.0538500864663092,98.60254748657738,0.1255170898930404
xi_1,-0.005054697531241095,0.9256230074684112,1.0009404839694829,12415.324500844412,0.008307208357345197
xi_2,-0.010921491133849534,0.9271884632385978,1.000110899143338,12228.342040563783,0.008384636323813768
xi_3,-0.07249304417872995,1.3236714476723415,1.1099515151110646,47.14586577020808,0.1927784097013345
xi_4,-0.002067803322466279,0.9118829528114283,1.0020903649243251,10196.994840753543,0.009030317021684997
xi_5,0.008942145966738044,0.9401834147131249,1.0003109241341122,8643.824886657458,0.010112524941041813
xi_6,-0.07410059307905867,1.3638484060989418,1.0778884347375506,84.25518293157137,0.14858254317227512
xi_7,-0.00026291212629125053,0.9162270589713671,1.0003310974272515,12341.61674325679,0.008247400520366745
xi_8,0.0055112953502494955,0.9049880065092731,1.000207522507018,13080.37898659242,0.007912845025082892
xi_9,0.051511551718984694,1.096935595409123,1.007981060948126,275.3213512219061,0.06610909064932105
xi_10,-0.0019773841026803104,0.9276653423951775,1.000570484945226,10217.746259957654,0.009177275617213208
xi_11,-0.0009363835943529317,0.9236599489406955,1.0003180268294014,8454.799967342775,0.010045242928581293
xi_12,-0.14476940730338947,1.1895320449731166,1.04143895516919,103.78048283267897,0.11676651072683768
xi_13,0.019078299970028224,0.9282580558583813,1.0004004659101806,12654.54727857638,0.008251737815367881
xi_14,-0.0018406038969637308,0.9410080247701033,1.0004977491465294,10743.212071581382,0.009078754086078838
xi_15,0.08751469040554237,1.2647872541202738,1.0441563751200715,113.0771970839776,0.1189405556210096
xi_16,-0.0029964621145538686,0.9221241754914796,1.0008707914723929,8965.733532451759,0.009738599246823028
xi_17,-0.01246706244382314,0.9312267899653774,0.9999412815567952,9166.072838750648,0.009726661663261412
xi_18,-0.01955068316865738,1.2220614850610902,1.0390031588966941,86.63212918615666,0.13129662504237216
xi_19,-0.0006851677583938169,0.9289161466711142,1.0004287290282015,13566.42949761556,0.007975239442703314
xi_20,-0.0012179956913343634,0.9333070489639071,0.9999924320851287,12978.652481513052,0.00819237349846021
xi_21,-0.19553784729944446,1.2907561895314774,1.0776576064251175,41.93767009816714,0.19931595589316775
xi_22,-0.031768476240795346,0.9427044400609108,1.0005641488251023,8644.321944708483,0.010139349329612723
xi_23,0.019587443366369153,0.9194846459091504,1.0002979787168305,10951.637484377594,0.008786278231007302
xi_24,0.22049269972966995,1.2303611869881108,1.044552975457786,116.35920592537163,0.1140597060488193
xi_25,-0.008491595977934804,0.914167962349915,0.9999615150448646,12884.752180304997,0.008053561177965789
xi_26,-0.006774492695534184,0.9233390129288477,1.0003907112150185,12671.724851194404,0.008202444842345873
xi_27,-0.3237868121378701,1.2350872400274262,1.0871351538481029,53.518026963388884,0.1688292098622513
xi_28,-0.027389094092892072,0.9378991015600638,1.0023793198440731,8154.764774312235,0.010386049801211298
xi_29,0.0314226715875186,0.9370946717065827,1.0004542193275328,8763.64658145568,0.010010160501434958
