variable,mean,sd,rhat,ess,mcse
xi_0,-0.0692524115062765,0.3904751763268181,1.0185973474980525,312.2690366316799,0.022096778788924586
xi_1,0.38544826839282975,0.9656411190046794,1.0313048797283308,141.93278387268498,0.08105398843270491
xi_2,0.006402209476326996,1.000085796777136,1.0000494930630555,19693.496901558043,0.007126492623445444
xi_3,-0.002488569972170788,0.9841292136628714,0.9999201427489482,19983.72872059318,0.006961676866398105
xi_4,-0.28066494306264184,0.9018189357402228,1.0149930422422742,173.2754102257391,0.06850951329471178
xi_5,-0.002516715936740686,0.9920846122858259,1.0002262046881807,17994.657983452955,0.007395659626892151
xi_6,0.018565316447578594,0.9921065876880497,1.0000040971596078,17935.66083604031,0.00740797728493524
xi_7,0.2329353852705936,0.8643250450340635,1.0200990797013003,171.38588126607263,0.06602213685636889
xi_8,0.004938520141288853,0.9948568129968482,0.999939687624593,18722.296738913836,0.007270780206984006
xi_9,0.007871237078282734,0.9948808634276193,0.9999087362957447,18764.10716202588,0.007262850840423142
xi_10,-0.5123385984903234,1.0349982775535342,1.0559817419665203,93.1277622132085,0.10725067727362037
xi_11,-0.0125473273638257,0.9925622167523341,0.9999191079345962,18788.112051402168,0.007241293798931476
xi_12,0.020149160598074256,0.9924147220352512,0.9999742063245048,18420.288380054404,0.0073121482127152014
xi_13,0.44922328270552486,0.9461381270562359,1.0204872800050395,136.84797485115823,0.0808789224296079
xi_14,0.008533667973175903,0.9995473044117379,0.9999489811641935,19042.468541883667,0.007243387659774334
xi_15,-0.00015652631795722556,0.9777831508594494,1.0002368963171937,18618.8241010292,0.007165828743570956
xi_16,-0.331306166866369,0.9131308708586021,1.023811507396782,117.04916432163837,0.08440124770202863
xi_17,-0.007789867534646035,0.9875088943710731,0.9999062804618027,18195.617451529753,0.007320784404684371
xi_18,0.010697099836869103,0.9736666636236583,1.0001144398151254,17964.07318777022,0.007264536212879232
xi_19,0.27258700291970495,0.8909538168059161,1.012319513037782,257.9510069537642,0.055473629154142855
xi_20,0.0028221477050945393,0.990765183620245,1.0000588968120894,18054.353163306685,0.007373603318510167
xi_21,-0.003373922774959239,0.9853547217108782,0.9998985597710426,19056.860916936985,0.007137841826683848
xi_22,-0.4229083145950851,0.9933206068942713,1.030830835656933,144.8205150113934,0.08254188857705119
xi_23,-0.0004156297852909301,0.9987465532285033,1.0004761758532648,19309.515325854016,0.007187363454138436
xi_24,0.021939691853352677,0.9899445269078185,0.9999411126522404,17990.37387307438,0.007380584629999578
xi_25,0.23618591529332533,0.8631549446611794,1.01966929539325,221.55111400827948,0.05798982440891141
xi_26,-0.017196155833737403,0.9959455622155781,0.9998971007391526,17867.648511060695,0.0074507827519770435
xi_27,-0.0004035877999076483,1.0049019810669277,0.9998934248428557,18732.48533151792,0.00734219647301596
xi_28,-0.4554155050724589,0.9617644669813353,1.073441062260687,57.245330795858735,0.12711555356805723
xi_29,-0.01160065565329223,0.9939018827059141,1.0001720657695095,17782.404934394355,0.007453294220785328
xi_30,0.014737161203667842,0.9948313946951657,0.9998740923672818,18018.48368783908,0.007411231200767734
xi_31,-0.09768449416625655,0.8964926205910182,1.0101002064142475,478.75065019441126,0.040972459125860436
xi_32,-0.16205407519341267,0.7984169925691499,1.0058084331563193,511.98745096589005,0.035285811781076856
xi_33,0.010101089063123365,0.8073508698210893,1.0121367813921185,465.596566989103,0.03741600653803459
xi_34,-0.12587488290921361,0.8435916296453483,1.0050601509368982,841.793936906754,0.02907564550351415
xi_35,-0.1256760882288133,0.8256151158468455,1.0076327755441512,623.8064929382725,0.033056181945443845
xi_36,0.39327723871461473,0.721377841584542,1.0314258236720586,134.01712283980055,0.06231357286454011
xi_37,0.47124528974954466,0.7495202706535977,1.0230795579758,142.86697931814433,0.0627072061309909
xi_38,0.48381844893880727,0.7461162829049902,1.0064615599124171,165.96608785469547,0.05791577063095874
xi_39,0.38854275674020844,0.7347190743380313,1.0179092620160357,182.57829818821048,0.05437468293300352
xi_40,0.4705684012709423,0.7240569942916979,1.0232154264806108,132.94863401827567,0.0627958311976366
xi_41,1.1314871527260282,0.6308221872034417,1.0079561444225655,482.7607119238171,0.028710516159750808
xi_42,-0.6266048773778679,0.7281515675024742,1.0048869539360015,2524.536798838036,0.014492087114201281
xi_43,-0.6334359455562578,0.7302454896064495,1.0029482538827683,2545.5594991593216,0.014473623024339709
xi_44,1.1929651675408375,0.62404029622749,1.0104550352826183,589.843695504478,0.02569473620785026
xi_45,-0.6128317001928469,0.754525132155074,1.0032553133992999,3103.8464975907077,0.013543271745319236
xi_46,-0.610907358346126,0.7473161490491732,1.0018473147496874,2794.6530679816174,0.014136451787797535
xi_47,0.03316129640960452,0.480593480004736,1.0243100798587594,366.2554939937773,0.025112260082890386
