variable,mean,sd,rhat,ess,mcse,quantity
x0,1.0,0.0,1.0,20000.0,0.0,active_indicator
x1,0.1859,0.3890356763046661,1.000439184166154,10600.94428167892,0.0037784802277092454,active_indicator
x2,0.18295,0.3866351921884015,1.0013163643754743,9388.012052222932,0.003990382824248715,active_indicator
x3,1.0,0.0,1.0,20000.0,0.0,active_indicator
x4,0.20955,0.4069976410915172,1.000810400917929,6562.361081004978,0.005024141133087659,active_indicator
x5,0.2067,0.4049485265629352,1.0008591348085045,6080.28615723765,0.005193233065339991,active_indicator
x0,2.068044846525788,0.6093067796601032,1.0040678093331377,540.5384625316727,0.026207325904927276,slab_strength
x1,2.119943379611522,0.6845341144132339,1.0000734223900045,6825.661837190417,0.008285576135175998,slab_strength
x2,2.1019488365948202,0.69049253553465,1.0005309157826816,6779.2981790876,0.008386227118818208,slab_strength
x3,2.2553776152580975,0.6167049643765367,1.0027213730526634,379.4011754024163,0.0316612537494694,slab_strength
x4,2.1077321980714796,0.698228571078094,1.0003425736294955,6260.467171496759,0.008824584064550858,slab_strength
x5,2.102245907559246,0.6846705525656579,1.0001986995478078,6443.401543809387,0.00852950937758581,slab_strength
x0,1.803784410710633,0.6270910569335323,1.008743819087966,389.7360929850861,0.03176473917965739,effective_strength
x1,0.015537056124762626,0.09889636777649348,1.0004814945510587,6075.344226185317,0.0012688050436895516,effective_strength
x2,0.015012417307857078,0.09167916413902732,1.0011149431106565,6072.28864865669,0.001176506798755266,effective_strength
x3,2.072787374410033,0.6371705150204137,1.0175049037355914,316.0999904063563,0.03583797229105508,effective_strength
x4,0.029697839868827736,0.14199433130163305,1.0010931981943372,2988.9921233806067,0.002597219300389704,effective_strength
x5,0.03030766782221006,0.14187200742554915,1.001114744424187,3479.9020873036734,0.002404989593947044,effective_strength
threshold_0,0.033161296345767366,0.4805934799146585,1.024310079910885,366.2554938038322,0.02511226008469538,derived
active_count,2.7851,0.8307541740039047,1.0024937029987497,3507.0884865918038,0.014028110242321853,derived
