stage,tau,best_ckpt_id,best_epoch,best_val_mse,best_support_size,n_evals,best_lasso_recovery_score
0,0.8,12,300,2.2098171710968018,2,13,1.837328533030917
1,0.8,30,725,2.9566361904144287,3,49,0.9118665544021403
