method,mode,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,pip_hard,softgate,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,lasso_recovery,simple,477,477,45,46,0.0,0,0.0,0.0,0.07427081,0,-0.050121553,0.049206793,0.0,0.0
last_flow,lasso_recovery,simple,477,477,46,47,0.7531354,1,0.004,0.004,0.33218163,0,0.6407393,0.13850205,0.0069968407,0.11229785
last_flow,lasso_recovery,simple,477,477,47,48,0.0,0,0.0,0.0,0.17428023,0,0.22094645,0.10282521,0.0,0.0
last_flow,lasso_recovery,simple,477,477,48,49,0.0,0,0.0005,0.0005,0.029962841,0,-0.001453154,0.025117096,0.00019499568,0.010028105
last_flow,lasso_recovery,simple,477,477,49,50,0.0,0,0.00075,0.00075,0.03326201,0,0.0005277028,0.029986959,0.0001926758,0.012942689
last_flow,lasso_recovery,simple,477,477,50,51,0.0,0,0.00025,0.00025,0.04057421,0,-0.0075798,0.030309053,0.0001057373,0.006687661
last_flow,lasso_recovery,simple,477,477,51,52,0.0,0,0.0,0.0,0.12546895,0,-0.13188934,0.090751246,0.0,0.0
last_flow,lasso_recovery,simple,477,477,52,53,0.0,0,0.0,0.0,0.11344063,0,0.17635244,0.09140227,0.0,0.0
last_flow,lasso_recovery,simple,477,477,53,54,0.0,0,0.0,0.0,0.053541563,0,-0.012534424,0.036461394,0.0,0.0
last_flow,lasso_recovery,simple,477,477,54,55,0.0,0,0.0,0.0,0.042450815,0,-0.021667806,0.03483668,0.0,0.0
last_flow,lasso_recovery,simple,477,477,55,56,-1.6566087,1,1.0,1.0,0.97564554,1,-1.5485042,0.12458081,-1.5869117,0.11495423
last_flow,lasso_recovery,simple,477,477,56,57,0.0,0,0.0,0.0,0.04527022,0,-0.0026451913,0.029743444,0.0,0.0
last_flow,lasso_recovery,simple,477,477,57,58,0.0,0,0.00025,0.00025,0.07770698,0,-0.066740535,0.0678157,-0.00022617397,0.014304596
last_flow,lasso_recovery,simple,477,477,58,59,0.0,0,0.0,0.0,0.115965016,0,0.12780455,0.087101996,0.0,0.0
last_flow,lasso_recovery,simple,477,477,59,60,0.0,0,0.0,0.0,0.053626984,0,-0.024357248,0.03778894,0.0,0.0
last_flow,lasso_recovery,simple,477,477,60,61,0.0,0,0.00025,0.00025,0.04644485,0,0.025059523,0.04526653,0.00020092112,0.012708035
last_flow,lasso_recovery,simple,477,477,61,62,0.0,0,0.0,0.0,0.091477074,0,0.08441195,0.065959364,0.0,0.0
last_flow,lasso_recovery,simple,477,477,62,63,0.0,0,0.0,0.0,0.087587655,0,-0.07703784,0.07405231,0.0,0.0
last_flow,lasso_recovery,simple,477,477,63,64,0.0,0,0.0,0.0,0.13707633,0,-0.24190082,0.104984105,0.0,0.0
last_flow,lasso_recovery,simple,477,477,64,65,0.0,0,0.0,0.0,0.06045337,0,0.020531736,0.033121534,0.0,0.0
last_flow,lasso_recovery,simple,477,477,65,66,0.0,0,0.0,0.0,0.05287142,0,0.006710269,0.03525148,0.0,0.0
last_flow,lasso_recovery,simple,477,477,66,67,0.0,0,0.0,0.0,0.078701966,0,-0.059664987,0.058641657,0.0,0.0
last_flow,lasso_recovery,simple,477,477,67,68,0.0,0,0.0,0.0,0.12073217,0,0.11835213,0.08677618,0.0,0.0
