method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2000,0,feature,input,-1,0,input,1.0,0.9868655204772949,1.2504816055297852,0.4396241307258606,2.001650094985962,1.9612940549850464
RaT,2000,1,feature,input,-1,1,input,0.09780000150203705,0.0030943804886192083,-0.7469799518585205,0.6495822072029114,2.0914173126220703,2.0802676677703857
RaT,2000,2,feature,input,-1,2,input,0.09279999881982803,0.00213474128395319,-0.6967580318450928,0.5969598889350891,2.091581344604492,2.0572874546051025
RaT,2000,3,feature,input,-1,3,input,1.0,0.986285924911499,1.236713171005249,0.42756757140159607,2.2204198837280273,2.196195602416992
RaT,2000,4,feature,input,-1,4,input,0.10779999941587448,0.003097876673564315,-0.7364197373390198,0.6416852474212646,2.09307861328125,2.0670180320739746
RaT,2000,5,feature,input,-1,5,input,0.11680000275373459,0.003385759424418211,-0.6831509470939636,0.6249008178710938,2.107464075088501,2.0858500003814697
MCMC,,0,feature,input,-1,0,input,1.0,0.8848554491996765,1.0983258485794067,0.558168351650238,2.068044662475586,2.0075740814208984
MCMC,,1,feature,input,-1,1,input,0.1859000027179718,0.009357400238513947,-0.6597661972045898,0.7161746621131897,2.119943380355835,2.0742082595825195
MCMC,,2,feature,input,-1,2,input,0.1829500049352646,0.009256996214389801,-0.6665972471237183,0.7112066745758057,2.1019487380981445,2.0649890899658203
MCMC,,3,feature,input,-1,3,input,1.0,0.9252493977546692,1.159803867340088,0.5377483367919922,2.255377769470215,2.198509693145752
MCMC,,4,feature,input,-1,4,input,0.20954999327659607,0.01936718076467514,-0.6459929943084717,0.749302089214325,2.1077322959899902,2.0568177700042725
MCMC,,5,feature,input,-1,5,input,0.20669999718666077,0.01877063326537609,-0.6440686583518982,0.745581328868866,2.102245807647705,2.061924934387207
