method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
VI,1,0,feature,input,-1,0,input,0.492000013589859,0.11423082649707794,-0.011495210230350494,0.6825634837150574,1.1075187921524048,1.0895400047302246
VI,1,1,feature,input,-1,1,input,0.5360000133514404,0.1284085065126419,0.05091766268014908,0.6798632144927979,1.073570966720581,1.051466941833496
VI,1,2,feature,input,-1,2,input,0.4059999883174896,0.08589757233858109,-0.14124637842178345,0.6867921352386475,1.11708664894104,1.0882079601287842
VI,1,3,feature,input,-1,3,input,0.4819999933242798,0.10944798588752747,-0.036483991891145706,0.6876530647277832,1.1193870306015015,1.0955349206924438
VI,1,4,feature,input,-1,4,input,0.503000020980835,0.1151939108967781,0.0036015156656503677,0.6775012016296387,1.1122236251831055,1.0788973569869995
VI,1,5,feature,input,-1,5,input,0.5180000066757202,0.11996414512395859,0.021878710016608238,0.6792335510253906,1.108298420906067,1.083954095840454
VI,250,0,feature,input,-1,0,input,0.47999998927116394,0.21581946313381195,0.02117457054555416,1.3501086235046387,2.322805643081665,2.2829716205596924
VI,250,1,feature,input,-1,1,input,0.5189999938011169,0.23175351321697235,0.0740332156419754,1.358720064163208,2.326590061187744,2.3106627464294434
VI,250,2,feature,input,-1,2,input,0.4970000088214874,0.2243080586194992,0.03395964577794075,1.3619648218154907,2.2913458347320557,2.25777268409729
VI,250,3,feature,input,-1,3,input,0.47200000286102295,0.20977209508419037,-0.0639411211013794,1.3756951093673706,2.3484461307525635,2.339315891265869
VI,250,4,feature,input,-1,4,input,0.515999972820282,0.2308880239725113,0.05612291768193245,1.3652843236923218,2.3237314224243164,2.284572124481201
VI,250,5,feature,input,-1,5,input,0.5360000133514404,0.24715088307857513,0.15078546106815338,1.3290657997131348,2.3019957542419434,2.2675464153289795
VI,500,0,feature,input,-1,0,input,0.5120000243186951,0.2256540209054947,0.02804655022919178,1.360729455947876,2.360037088394165,2.3539137840270996
VI,500,1,feature,input,-1,1,input,0.5180000066757202,0.2243834286928177,0.020685598254203796,1.3755825757980347,2.323965072631836,2.3029301166534424
VI,500,2,feature,input,-1,2,input,0.5320000052452087,0.2463720738887787,0.09705358743667603,1.3797061443328857,2.30777645111084,2.2929821014404297
VI,500,3,feature,input,-1,3,input,0.5,0.24636118113994598,0.07536211609840393,1.4435936212539673,2.2667312622070312,2.25040340423584
VI,500,4,feature,input,-1,4,input,0.5070000290870667,0.2294783741235733,0.028004184365272522,1.3640921115875244,2.322497844696045,2.2889404296875
VI,500,5,feature,input,-1,5,input,0.49300000071525574,0.22263316810131073,0.005293182097375393,1.3328347206115723,2.312939405441284,2.2862343788146973
VI,750,0,feature,input,-1,0,input,0.17000000178813934,0.04649423062801361,-1.062901496887207,1.1389394998550415,2.307304620742798,2.2997758388519287
VI,750,1,feature,input,-1,1,input,0.17499999701976776,0.04883257672190666,-1.0482332706451416,1.1477975845336914,2.290818929672241,2.281355619430542
VI,750,2,feature,input,-1,2,input,0.17299999296665192,0.041884925216436386,-1.0744999647140503,1.0971431732177734,2.285430669784546,2.2671167850494385
VI,750,3,feature,input,-1,3,input,0.164000004529953,0.04334850609302521,-1.0597002506256104,1.0999420881271362,2.3207154273986816,2.339902639389038
VI,750,4,feature,input,-1,4,input,0.1720000058412552,0.041025470942258835,-1.0013030767440796,1.074802279472351,2.30269193649292,2.2889482975006104
VI,750,5,feature,input,-1,5,input,0.14399999380111694,0.03635647892951965,-1.1056424379348755,1.0861872434616089,2.2947866916656494,2.277120351791382
VI,1000,0,feature,input,-1,0,input,0.25,0.06395146250724792,-0.7623955011367798,1.1029034852981567,2.275059461593628,2.248439311981201
VI,1000,1,feature,input,-1,1,input,0.2540000081062317,0.07196231186389923,-0.7640683054924011,1.1256396770477295,2.2487008571624756,2.2223031520843506
VI,1000,2,feature,input,-1,2,input,0.22499999403953552,0.056417595595121384,-0.919913113117218,1.14769446849823,2.1797709465026855,2.1458449363708496
VI,1000,3,feature,input,-1,3,input,0.25600001215934753,0.0728103443980217,-0.7699424028396606,1.1746124029159546,2.1896109580993652,2.1571781635284424
VI,1000,4,feature,input,-1,4,input,0.21699999272823334,0.06223582476377487,-0.8441709876060486,1.1278572082519531,2.2165074348449707,2.192216396331787
VI,1000,5,feature,input,-1,5,input,0.2680000066757202,0.0740562379360199,-0.7368653416633606,1.1259669065475464,2.189990758895874,2.1713428497314453
VI,1250,0,feature,input,-1,0,input,0.22200000286102295,0.05845824256539345,-0.9351383447647095,1.149685025215149,2.336686611175537,2.3171660900115967
VI,1250,1,feature,input,-1,1,input,0.2199999988079071,0.05586441606283188,-0.8877392411231995,1.1155428886413574,2.3447887897491455,2.335108995437622
VI,1250,2,feature,input,-1,2,input,0.20499999821186066,0.055135130882263184,-0.935444712638855,1.141023874282837,2.2970333099365234,2.2808213233947754
VI,1250,3,feature,input,-1,3,input,0.2150000035762787,0.052182283252477646,-0.8868670463562012,1.090075969696045,2.296201467514038,2.278088092803955
VI,1250,4,feature,input,-1,4,input,0.210999995470047,0.04453946650028229,-0.9483970999717712,1.1034891605377197,2.305737257003784,2.3002490997314453
VI,1250,5,feature,input,-1,5,input,0.1899999976158142,0.047529175877571106,-0.9725457429885864,1.1170378923416138,2.2392468452453613,2.2017951011657715
VI,1500,0,feature,input,-1,0,input,0.18299999833106995,0.04705624282360077,-1.0643044710159302,1.164485216140747,2.3546180725097656,2.3281941413879395
VI,1500,1,feature,input,-1,1,input,0.2029999941587448,0.0499943308532238,-0.9649226069450378,1.143359661102295,2.354947328567505,2.370939016342163
VI,1500,2,feature,input,-1,2,input,0.20800000429153442,0.04554642736911774,-1.0263603925704956,1.1460648775100708,2.3886702060699463,2.3639166355133057
VI,1500,3,feature,input,-1,3,input,0.18700000643730164,0.0494576059281826,-1.0594483613967896,1.1683121919631958,2.3240556716918945,2.288193464279175
VI,1500,4,feature,input,-1,4,input,0.17900000512599945,0.045107945799827576,-1.1402409076690674,1.2043930292129517,2.3744161128997803,2.348930835723877
VI,1500,5,feature,input,-1,5,input,0.16699999570846558,0.04279342293739319,-1.095005989074707,1.165321946144104,2.3179497718811035,2.298015594482422
VI,1750,0,feature,input,-1,0,input,0.16200000047683716,0.04165726155042648,-1.1085931062698364,1.1006033420562744,2.3427724838256836,2.3214385509490967
VI,1750,1,feature,input,-1,1,input,0.13699999451637268,0.028493275865912437,-1.1076865196228027,1.021207332611084,2.325601100921631,2.3225817680358887
VI,1750,2,feature,input,-1,2,input,0.14499999582767487,0.0307234488427639,-1.152154564857483,1.0691829919815063,2.360210657119751,2.350860595703125
VI,1750,3,feature,input,-1,3,input,0.14300000667572021,0.03199246898293495,-1.1024129390716553,1.0688188076019287,2.336533784866333,2.2975552082061768
VI,1750,4,feature,input,-1,4,input,0.1509999930858612,0.030985184013843536,-1.1204075813293457,1.0785642862319946,2.341578722000122,2.2910690307617188
VI,1750,5,feature,input,-1,5,input,0.1509999930858612,0.037641000002622604,-1.1153552532196045,1.093163251876831,2.3421459197998047,2.3307433128356934
VI,2000,0,feature,input,-1,0,input,0.24199999868869781,0.06498796492815018,-0.8348447680473328,1.1804510354995728,2.310019016265869,2.289865016937256
VI,2000,1,feature,input,-1,1,input,0.2199999988079071,0.061597518622875214,-0.9098761081695557,1.1665610074996948,2.2928824424743652,2.249861717224121
VI,2000,2,feature,input,-1,2,input,0.23499999940395355,0.05962372571229935,-0.8321654200553894,1.1300572156906128,2.2921342849731445,2.2616043090820312
VI,2000,3,feature,input,-1,3,input,0.23499999940395355,0.06409892439842224,-0.8657181262969971,1.1604931354522705,2.3093183040618896,2.2843966484069824
VI,2000,4,feature,input,-1,4,input,0.22599999606609344,0.06712324172258377,-0.8226128220558167,1.1420761346817017,2.280517101287842,2.23351788520813
VI,2000,5,feature,input,-1,5,input,0.2460000067949295,0.066921167075634,-0.8700556755065918,1.1958636045455933,2.2525148391723633,2.2265660762786865
