seed,pip_mae,pip_rmse,pearson,spearman,jaccard,last_support_size,mcmc_support_size
400,0.0018474999999999998,0.016576451670969876,0.9983427626465569,0.6435195483523358,1.0,9,9
401,0.004543749999999998,0.035164650662988246,0.9922194031689088,0.5348173790545113,1.0,8,8
402,0.0016425000000000007,0.012604909757709499,0.9992339726370901,0.656742934598212,1.0,10,10
403,0.02557875,0.14881787264555962,0.86115926324618,0.5830358836395829,0.8,8,10
404,0.004805000000000001,0.036206482499685055,0.9933434411354267,0.6567209043238712,1.0,10,10
405,0.01383375,0.10672189398736326,0.9411137715113785,0.6020310207746398,0.9090909090909091,11,10
406,0.00928375,0.08919588608086138,0.9552713723152352,0.6219761660435464,0.9,10,9
407,0.01643625,0.09555475279257437,0.9368274003469117,0.5526786935906002,0.7777777777777778,8,8
408,0.0013399999999999998,0.011831776599479897,0.9993000743167785,0.7060093972045077,1.0,10,10
409,0.0033199999999999996,0.020518391140632836,0.9972128368024351,0.5505527140924916,1.0,8,8
410,0.017093749999999998,0.1143329902357583,0.9257039749465393,0.6495360684297429,0.8,10,8
411,0.0239775,0.1399265342956796,0.8797118632423345,0.6045303730850007,0.7272727272727273,9,10
412,0.0071825000000000005,0.05031937375405223,0.9833241456184585,0.6609178226446533,1.0,8,8
413,0.006535,0.04349718740907279,0.9874739336339708,0.593723255388952,1.0,8,8
414,0.005863750000000001,0.05795068350546006,0.9815963577918051,0.71701712408339,0.9,10,9
415,0.01811375,0.10729017094426684,0.9323521617879368,0.4858692020970393,0.9,10,9
416,0.00624625,0.03908332644811595,0.9907291970418285,0.5630628936534097,1.0,9,9
417,0.014196249999999999,0.07474161010608482,0.9653681470172936,0.5738144792810447,0.8888888888888888,9,8
418,0.01193875,0.09700708173246941,0.9471786203453793,0.6279807153153526,0.9,10,9
419,0.020175000000000002,0.12329744522900707,0.893262498660181,0.5052679643565374,0.7777777777777778,7,9
420,0.004149999999999998,0.023046264610561074,0.9977415921986991,0.6733323147268176,1.0,10,10
421,0.00443125,0.043725444894820685,0.9885458706495115,0.564390191289358,1.0,9,9
422,0.0075,0.06207848359133783,0.9772122305191345,0.5780588667811684,0.9,9,10
423,0.013112499999999996,0.08880249151910097,0.9585560315467921,0.6007931793079114,0.9090909090909091,11,10
424,0.010242499999999998,0.09999163715031371,0.9481288046557387,0.6664571933439689,0.9090909090909091,11,10
425,0.003468749999999999,0.024604271097717977,0.9970907887350136,0.7299723832339083,1.0,10,10
426,0.0003250000000000005,0.0012978347352417422,0.9999912181609978,0.6414856333862643,1.0,10,10
427,0.009117499999999999,0.057858942156766055,0.98302206010712,0.6489438840024282,1.0,10,10
428,0.002826249999999999,0.021078124768346918,0.9976922824973345,0.684005124038378,1.0,10,10
429,0.0058699999999999985,0.0373591688879718,0.9909719278058867,0.5693278710842604,1.0,8,8
430,0.011891249999999999,0.09970329812122566,0.9376192245355844,0.5803827823086766,0.8888888888888888,8,9
431,0.0012512500000000004,0.009941162846971175,0.9994035516122282,0.5883011641916187,1.0,9,9
432,0.012122500000000001,0.07085283604062718,0.9660228952780515,0.5098947879242366,0.8888888888888888,8,9
433,0.00890875,0.04675711342940238,0.9877430773103787,0.5769730328391454,1.0,9,9
434,0.003847500000000001,0.030179867047420872,0.9952347573970408,0.6603058506228198,1.0,10,10
435,0.00933,0.06959641468854555,0.9702747309647695,0.6193743018070015,0.9,9,10
436,0.009122499999999999,0.059642353344749904,0.977108388871972,0.6731376457578516,0.8888888888888888,8,9
437,0.0069500000000000004,0.04108098708648563,0.9900236225749638,0.5382152564658927,1.0,9,9
438,0.014049999999999997,0.0770758757653781,0.9636545345471237,0.6270490090338902,1.0,9,9
439,0.0186625,0.1261347382266281,0.8779402264197015,0.6437655212062724,0.75,7,7
440,0.01654125,0.09618655620069781,0.9302467464275599,0.5328686323760606,0.875,7,8
441,0.005187500000000001,0.03586645804229907,0.9922122400239329,0.5528330528045682,1.0,9,9
442,0.01060125,0.07271568026395682,0.9711289982047224,0.5953446189832691,0.9,10,9
443,0.01551625,0.10181979255650642,0.9305348189806915,0.5142562693722053,0.8888888888888888,8,9
