method,mode,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,pip_hard,softgate,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,lasso_recovery,simple,468,468,0,1,0.0,0,0.0,0.0,0.01977887,0,-0.0034929628,0.009810282,0.0,0.0
last_flow,lasso_recovery,simple,468,468,1,2,0.0,0,0.00025,0.00025,0.020711722,0,0.00085735344,0.015715456,0.00018782566,0.011880069
last_flow,lasso_recovery,simple,468,468,2,3,0.0,0,0.0,0.0,0.13149221,0,-0.15175027,0.079613514,0.0,0.0
last_flow,lasso_recovery,simple,468,468,3,4,0.0,0,0.0005,0.0005,0.023073323,0,0.009261181,0.02545324,0.0003077267,0.018155726
last_flow,lasso_recovery,simple,468,468,4,5,0.0,0,0.0,0.0,0.02745182,0,-0.016640201,0.027534703,0.0,0.0
last_flow,lasso_recovery,simple,468,468,5,6,0.0,0,0.0,0.0,0.073780484,0,0.08540219,0.054915667,0.0,0.0
last_flow,lasso_recovery,simple,468,468,6,7,-0.5507307,1,0.0,0.0,0.21920519,0,-0.44946316,0.11463919,0.0,0.0
last_flow,lasso_recovery,simple,468,468,7,8,0.0,0,0.0,0.0,0.06010128,0,-0.043591343,0.034549356,0.0,0.0
last_flow,lasso_recovery,simple,468,468,8,9,0.0,0,0.00025,0.00025,0.01984829,0,0.0043553314,0.015945073,-2.0393041e-05,0.0012897821
last_flow,lasso_recovery,simple,468,468,9,10,0.0,0,0.0,0.0,0.084809795,0,0.09120769,0.056590114,0.0,0.0
last_flow,lasso_recovery,simple,468,468,10,11,0.0,0,0.0,0.0,0.040435933,0,-0.011855899,0.020493878,0.0,0.0
last_flow,lasso_recovery,simple,468,468,11,12,0.0,0,0.0,0.0,0.10917263,0,-0.13774611,0.06522405,0.0,0.0
last_flow,lasso_recovery,simple,468,468,12,13,0.0,0,0.0,0.0,0.11603814,0,0.13022694,0.0809294,0.0,0.0
last_flow,lasso_recovery,simple,468,468,13,14,0.0,0,0.0,0.0,0.04069139,0,-0.010305724,0.020188706,0.0,0.0
last_flow,lasso_recovery,simple,468,468,14,15,0.0,0,0.001,0.001,0.0323474,0,0.01822364,0.036892187,0.0009097488,0.029441403
last_flow,lasso_recovery,simple,468,468,15,16,0.0,0,0.0,0.0,0.10593238,0,0.10262387,0.05998829,0.0,0.0
last_flow,lasso_recovery,simple,468,468,16,17,-1.1100392,1,0.998,0.998,0.6944634,1,-1.0966506,0.13560323,-1.5782526,0.17767736
last_flow,lasso_recovery,simple,468,468,17,18,0.0,0,0.0,0.0,0.13937293,0,-0.14614594,0.06891642,0.0,0.0
