method,mode,setting,seed,replicate_id,n,p,n_active,sigma2,support_threshold,n_draws,selected_size,active_idx0,selected_idx0,selected_ckpt_id,selected_epoch,selected_stage,selected_tau,precision,recall,f1,fdr,tp,fp,fn,tn,support_size,auroc,auprc,K_q,K_g,tau_start,tau_end,base_lr,stage_lr_decay,min_lr_scale,warmup_epochs,n_anneal_stages,min_stage_epochs,max_stage_epochs,q_entropy_weight,lasso_recovery_score
last_flow,lasso_recovery,simple,414,414,160,100,10,1.0,0.5,4000,7,4;8;17;24;30;38;64;65;78;82,8;17;24;64;65;78;82,29,700,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,1.0,1.0,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9095334089273244
last_flow,lasso_recovery,simple,415,415,160,100,10,1.0,0.5,4000,6,5;8;9;16;17;25;32;34;38;80,5;8;9;25;34;38,28,675,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.8933333333333334,0.8200000000000001,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,1.0709201476797867
last_flow,lasso_recovery,simple,416,416,160,100,10,1.0,0.5,4000,7,4;21;37;59;67;71;72;79;81;94,21;37;59;71;79;81;94,32,775,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.8866666666666667,0.8200000000000001,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7654690044077119
last_flow,lasso_recovery,simple,417,417,160,100,10,1.0,0.5,4000,6,24;30;33;35;41;68;74;79;90;98,24;30;68;74;90;98,33,800,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.8416666666666666,0.73,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.978976311283342
last_flow,lasso_recovery,simple,418,418,160,100,10,1.0,0.5,4000,8,12;14;15;18;22;48;55;63;76;78,14;15;22;48;55;63;76;78,33,800,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.945,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7332999590749216
last_flow,lasso_recovery,simple,419,419,160,100,10,1.0,0.5,4000,6,4;10;41;64;67;79;80;86;95;96,10;41;64;80;86;96,35,850,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.8922222222222222,0.808888888888889,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7964565236580026
last_flow,lasso_recovery,simple,420,420,160,100,10,1.0,0.5,4000,6,7;14;23;30;39;44;45;64;76;79,7;14;23;39;76;79,30,725,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.9427777777777776,0.8792307692307693,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7927832366272032
last_flow,lasso_recovery,simple,421,421,160,100,10,1.0,0.5,4000,9,4;19;42;48;56;70;83;89;96;97,4;19;42;48;56;70;83;89;96,36,875,1,0.8,1.0,0.9,0.9473684210526316,0.0,9,0,1,90,9,0.9444444444444444,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8474630320092409
last_flow,lasso_recovery,simple,422,422,160,100,10,1.0,0.5,4000,8,1;19;21;28;52;60;63;76;89;99,1;21;28;52;60;63;76;89,30,725,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.9466666666666664,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7471339886759172
last_flow,lasso_recovery,simple,423,423,160,100,10,1.0,0.5,4000,8,7;13;29;30;31;49;60;63;73;75,7;29;30;49;60;63;73;75,30,725,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,1.0,1.0,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8645537476679683
last_flow,lasso_recovery,simple,424,424,160,100,10,1.0,0.5,4000,9,6;23;25;31;40;43;47;70;82;96,6;23;25;31;40;43;70;82;96,35,850,1,0.8,1.0,0.9,0.9473684210526316,0.0,9,0,1,90,9,1.0,1.0,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.6998753093720087
last_flow,lasso_recovery,simple,425,425,160,100,10,1.0,0.5,4000,6,6;11;29;30;52;55;68;72;87;96,11;30;52;55;68;87,30,725,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.8805555555555555,0.7644444444444445,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8416527213837979
last_flow,lasso_recovery,simple,426,426,160,100,10,1.0,0.5,4000,10,7;17;25;26;30;67;68;70;81;88,7;17;25;26;30;67;68;70;81;88,35,850,1,0.8,1.0,1.0,1.0,0.0,10,0,0,90,10,1.0,1.0,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8261903201545777
last_flow,lasso_recovery,simple,427,427,160,100,10,1.0,0.5,4000,7,9;15;25;28;32;53;59;65;81;92,9;15;25;28;53;59;92,31,750,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9394444444444444,0.8662500000000001,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.6878047285887781
