config_id,seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,moment_score_j,moment_score_k,pair_moment_score,mean_zerr_j,mean_zerr_k,sd_logerr_j,sd_logerr_k,beta_skl_j,beta_skl_k,corr_last,corr_mcmc,corr_absdiff,joint_skl,pair_score
default,429,true_active_true_active,93,5,94,6,1.2656455,0.5561366,0.04628490757318025,0.09888760198502791,0.14517250955820815,0.0337557501965805,0.015060529741972035,0.012529157376599752,0.08382707224305588,0.009331575930552692,0.04353502757991643,-0.0678491017581859,-0.16086952378181119,0.09302042202362529,0.05850130991569935,0.1742777460556844
default,485,true_active_true_active,42,88,43,89,-1.9042196,-1.2229393,0.04077924674621249,0.15787551952571877,0.19865476627193127,0.011080837923333997,0.037198781907822526,0.029698408822878494,0.12067673761789624,0.0028728512273884614,0.0217252390701374,0.22555739465165994,0.20087014112233198,0.024687253529327963,0.0364190861506128,0.20846848826932454
default,473,true_active_true_active,54,99,55,100,1.4320805,0.56659365,0.04538702667924106,0.14968584528402237,0.19507287196326345,0.006268203129430127,0.06824671077822408,0.03911882354981094,0.08143913450579829,0.006747514462879281,0.02336240901473965,0.006759398951573608,0.06419961299476339,0.057440214043189775,0.04001857727485062,0.21343478320154596
default,445,true_active_true_active,93,84,94,85,-1.5686725,-1.4363617,0.07828850742312914,0.10465211597641626,0.1829406233995454,0.07528197486506782,0.08496185879254453,0.003006532558061305,0.019690257183871726,0.004785394709775834,0.008916670968199777,0.2842998001946864,0.10638491997844124,0.17791488021624519,0.04491596055095977,0.23191093950870267
default,429,true_active_true_active,93,36,94,37,1.2656455,1.8910506,0.04628490757318025,0.13607848935197786,0.18236339692515813,0.0337557501965805,0.1268412876525188,0.012529157376599752,0.009237201699459052,0.009331575930552692,0.00976495990396279,0.2938606365957657,0.04468311557166387,0.24917752102410184,0.06750274014570143,0.2514080511957537
default,442,true_active_true_active,68,31,69,32,-0.74195045,-0.71004933,0.030514744659547215,0.11311167272533786,0.14362641738488507,0.0011580544367007061,0.028070066251082975,0.02935669022284651,0.08504160647425488,0.009688266252699076,0.011702696138780867,0.1171244150402469,-0.2655492134730417,0.3826736285132886,0.1275149962234826,0.2520463241355555
default,415,true_active_true_active,9,25,10,26,1.0975729,1.2713587,0.060182224331521816,0.09878622674728185,0.15896845107880367,0.01328011299758169,0.013253024664568614,0.04690211133394013,0.08553320208271324,0.004599202464186036,0.009099372256881105,0.20046271909923355,-0.16858611584512356,0.36904883494435714,0.10323413351534269,0.2615540731664272
default,474,true_active_true_active,7,0,8,1,1.4395064,-1.4063637,0.05166245024095088,0.15099713303401113,0.20265958327496203,0.013337668245711122,0.06416926243060726,0.03832478199523976,0.08682787060340387,0.005592362722806851,0.016995399092217516,-0.25642511587575,-0.04090853239808706,0.21551658347766295,0.06588665015963263,0.26312739416034103
default,427,true_active_true_active,25,65,26,66,-1.9986932,-0.5037277,0.04542935182195456,0.22342125040097216,0.2688506022229267,0.016149746127089363,0.042997950643203185,0.029279605694865197,0.18042329975776897,0.0031163292840273157,0.051821789428843405,0.004356014690780227,0.00516107870492761,0.0008050640141473824,0.06750639740494303,0.2758025079669579
default,433,true_active_true_active,30,35,31,36,1.7825825,-0.5836044,0.08684000640055227,0.17685053830975028,0.26369054471030257,0.07125639913380058,0.0465488892770403,0.015583607266751688,0.13030164903271,0.00501686241481906,0.029688219141455124,-0.025209040002456534,-0.061436635552289745,0.03622759554983321,0.044740691580954506,0.2772215127558563
