config_id,seed,j0,j1,beta_true,truth,selected_last,selected_mcmc,pip_last,pip_mcmc,pip_absdiff,pip_js,softgate_last,softgate_absdiff,softgate_js,mean_last,mean_mcmc,sd_last,sd_mcmc,mean_zerr,sd_logerr,sd_ratio,moment_score,beta_skl,zero_beta_score
default,436,79,80,0.0,0,0,0,0.0015,0.0,0.0015,0.0005200807165572391,0.012158738358040804,0.012158738358040804,0.004232418497169145,0.006171048267677364,0.003176156049078599,0.02565846707353299,0.031060797251408617,0.0964202956593456,0.19107280023433304,0.8260721257451984,0.28749309589367866,,0.0205559607545152
default,497,44,45,0.0,0,0,0,0.00175,0.0,0.00175,0.000606825029431664,0.011962366257128612,0.011962366257128612,0.004163763699490572,-0.0007918706973283604,-0.0012377839927488873,0.01778537320835469,0.026638077963523264,0.016739688525360234,0.4039651180704655,0.6676670349879843,0.4207048065958257,,0.021260984307717713
default,462,63,64,0.0,0,0,0,0.003,0.0,0.003,0.0010407828618318776,0.015086937808721067,0.015086937808721067,0.005257329992220263,-0.0006343990756301634,0.0012548742049970727,0.016768906541544854,0.022192843380667033,0.08512980499718201,0.2802433504574172,0.7555993929177593,0.36537315545459925,,0.022400147928470483
default,469,27,28,0.0,0,0,0,0.00225,0.0,0.00225,0.0007803609442979737,0.013654401629797927,0.013654401629797927,0.004755648516750272,-0.004763605513298209,-0.0002963288900450707,0.026532708958933896,0.03154426763477803,0.14161923994505743,0.17301354894479815,0.841125901380008,0.3146327888898556,,0.0231332369288952
default,424,85,86,0.0,0,0,0,0.00175,0.000125,0.0016250000000000001,0.0004205339695550753,0.00913915318196251,0.00901415318196251,0.002889738936706492,0.0046284286275973105,-0.0008117697507468308,0.020918685021129715,0.029690756432918124,0.18322862734565848,0.35019284519246047,0.7045518703059545,0.533421472538119,,0.02322642297209506
default,439,3,4,0.0,0,0,0,0.00075,0.0,0.00075,0.0002599428691989206,0.012425834279756551,0.012425834279756551,0.004325815225825693,-0.003830166546706269,0.0008002312724238702,0.01802170205114847,0.024262938740861776,0.19084233613089172,0.2973731875132696,0.7427663571986911,0.4882155236441613,,0.023297468788599996
default,480,31,32,0.0,0,0,0,0.00075,0.0,0.00075,0.0002599428691989206,0.014382608669992726,0.014382608669992726,0.005010604811584583,-0.00613776976588105,0.000488153979185439,0.021617839119934763,0.025499808682646917,0.25984199446780964,0.16515202005707302,0.8477644248759341,0.42499401452488267,,0.02489050197777137
default,453,64,65,0.0,0,0,0,0.0015,0.0,0.0015,0.0005200807165572391,0.013957542934699774,0.013957542934699774,0.004861766418589084,0.002035270265603927,0.003701406862902706,0.0191027556373052,0.02856952567576999,0.0583186445942781,0.40250784161488556,0.6686407456564432,0.46082648620916367,,0.025090449570463344
default,487,49,50,0.0,0,0,0,0.002,0.0,0.002,0.0006935851115017154,0.018776033806395902,0.018776033806395902,0.006551689361611234,-0.00026432847700609996,0.0005839287617347047,0.02241606551637219,0.028111845804743147,0.030174359339082947,0.22641304366897447,0.7973883215703624,0.25658740300805744,,0.025320071333507665
default,492,5,6,0.0,0,0,0,0.001,0.0,0.001,0.00034663955139941976,0.01827360598363007,0.01827360598363007,0.006375201634662838,0.0023900585962017625,0.0022085354767539095,0.022178207662575885,0.02926712408951998,0.006202285433641178,0.2773545621842041,0.7577854256156051,0.2835568476178453,,0.02554404553002202
