method,target,pip,expected_active_count
VI,x0,1.0,2.1417999267578125
VI,x1,0.03440000116825104,2.1417999267578125
VI,x2,0.02199999988079071,2.1417999267578125
VI,x3,1.0,2.1417999267578125
VI,x4,0.04820000007748604,2.1417999267578125
VI,x5,0.03720000013709068,2.1417999267578125
matched_MCMC,x0,1.0,2.785099983215332
matched_MCMC,x1,0.1859000027179718,2.785099983215332
matched_MCMC,x2,0.1829500049352646,2.785099983215332
matched_MCMC,x3,1.0,2.785099983215332
matched_MCMC,x4,0.20954999327659607,2.785099983215332
matched_MCMC,x5,0.20669999718666077,2.785099983215332
hard_MCMC,x0,1.0,2.0233500003814697
hard_MCMC,x1,0.0035000001080334187,2.0233500003814697
hard_MCMC,x2,0.003599999938160181,2.0233500003814697
hard_MCMC,x3,1.0,2.0233500003814697
hard_MCMC,x4,0.006500000134110451,2.0233500003814697
hard_MCMC,x5,0.009750000201165676,2.0233500003814697
