stage,tau,best_ckpt_id,best_epoch,best_val_mse,best_support_size,n_evals,best_lasso_recovery_score
0,0.8,12,300,1.5287216901779175,10,13,1.647689334815838
1,0.8,31,750,1.1164960861206055,8,49,0.5108791353397488
