selection_mode,activation,gate_parameter_name,gate_parameter,coupling_type,conditioner_type,n,p,H_fit,H_true,p_true,active_features,flow_depth,warmup_epochs,total_epochs,R_train,posterior_draws,seed,vi_seed,true_active_skl,true_active_skl_mean,zero_js,zero_js_mean,conditional_joint_skl,n_valid_true_active_skl,rat_test_signal_r2,rat_test_signal_mse,mcmc_reference_signal_r2,mcmc_reference_mse,elbo,train_time_sec,sec_per_epoch,posterior_sampling_time_sec,posterior_sampling_time_iqr_sec,trainable_params,flow_trainable_params,mcmc_sampling_time_sec,mcmc_wall_time_sec,mcmc_threshold_rhat,mcmc_threshold_ess,mcmc_threshold_mcse,mcmc_active_count_rhat,mcmc_active_count_ess,mcmc_active_count_mcse,mcmc_max_predictive_rhat,mcmc_min_predictive_ess,reference_type,reference_compatibility,spline_num_bins,max_inverse_error,max_logdet_consistency_error,n_nonfinite_forward,n_nonfinite_inverse,n_nonfinite_logdet,n_nonfinite_spline_parameters,n_nonfinite_gradients,attention_shift_head_difference,attention_scale_head_difference,vi_expected_active_count,mcmc_expected_active_count,hard_mcmc_expected_active_count,vi_pip_rank1,mcmc_pip_rank1,hard_mcmc_pip_rank1,vi_pip_rank2,mcmc_pip_rank2,hard_mcmc_pip_rank2,vi_pip_rank3,mcmc_pip_rank3,hard_mcmc_pip_rank3,vi_pip_rank4,mcmc_pip_rank4,hard_mcmc_pip_rank4,vi_pip_rank5,mcmc_pip_rank5,hard_mcmc_pip_rank5,vi_pip_x0,mcmc_pip_x0,hard_mcmc_pip_x0,vi_pip_x1,mcmc_pip_x1,hard_mcmc_pip_x1,vi_pip_x2,mcmc_pip_x2,hard_mcmc_pip_x2,vi_pip_x3,mcmc_pip_x3,hard_mcmc_pip_x3,vi_pip_x4,mcmc_pip_x4,hard_mcmc_pip_x4,vi_pip_x5,mcmc_pip_x5,hard_mcmc_pip_x5,pip_rmse_truth,pip_rmse_mcmc
feature_group,normalized_requ,tau_g,1.0,affine,improved_separate_attention,240,6,5,2,2,"x0,x3",4,500,2000,100,5000,123,2223,0.3473411516334172,0.3473411516334172,0.029910261110402153,0.030975455295836077,0.8984493315925908,2,0.9690411686897278,0.0896138921380043,0.9835572838783264,0.047595251351594925,-223.50430297851562,229.58707500004675,0.11479353750002337,0.2743118000216782,0.02100234996760264,58544,58448,617.778403900098,617.783304200042,1.0390040519720993,138.80779072693815,0.04207608766410674,1.005486828216937,892.5269975670134,0.03087720297652112,1.0029280800200864,1099.470759295981,matched,exact,,2.771615982055664e-06,3.814697265625e-06,0,0,0,0,0,0.0670088529586792,0.06716395914554596,2.284600019454956,2.9786500930786133,2.0233500003814697,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.07020000368356705,0.22220000624656677,0.0035000001080334187,0.08940000087022781,0.21439999341964722,0.003599999938160181,1.0,1.0,1.0,0.05180000141263008,0.2727000117301941,0.006500000134110451,0.07320000231266022,0.26934999227523804,0.009750000201165676,0.05910707797435656,0.14491413118349317
feature_group,normalized_requ,tau_g,1.0,spline,improved_separate_attention,240,6,5,2,2,"x0,x3",4,500,2000,100,5000,123,2223,0.2648454929254531,0.2648454929254531,0.025519825915260374,0.025247785649765497,0.569246242785535,2,0.9455006122589111,0.15775467455387115,0.9835572838783264,0.047595251351594925,-224.34664916992188,236.1157997000264,0.1180578998500132,0.3762416000245139,0.004219750058837235,64760,64664,617.778403900098,617.783304200042,1.0390040519720993,138.80779072693815,0.04207608766410674,1.005486828216937,892.5269975670134,0.03087720297652112,1.0029280800200864,1099.470759295981,matched,exact,8.0,1.150369644165039e-05,1.1205673217773438e-05,0,0,0,0,0,0.06471450626850128,0.06757005304098129,2.3359999656677246,2.9786500930786133,2.0233500003814697,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.06560000032186508,0.22220000624656677,0.0035000001080334187,0.09880000352859497,0.21439999341964722,0.003599999938160181,1.0,1.0,1.0,0.10119999945163727,0.2727000117301941,0.006500000134110451,0.07039999961853027,0.26934999227523804,0.009750000201165676,0.0698359983580579,0.13346677020891753
feature_group,smooth_step,delta,1.0,affine,improved_separate_attention,240,6,5,2,2,"x0,x3",4,500,2000,100,5000,123,2233,0.32009381909224,0.32009381909224,0.03420190297994773,0.03477068093357362,0.7241556187787361,2,0.980771005153656,0.055660516023635864,0.9856348037719727,0.041581686586141586,-224.93435668945312,164.31223939999472,0.08215611969999737,0.2452356000430882,0.0056102999951690435,58544,58448,929.7818858998362,929.788249699981,1.024310079910885,366.2554938038322,0.02511226008469538,1.0024937029987497,3507.0884865918038,0.014028110242321853,1.005590053207662,1123.1393872971857,matched,exact,,1.3712560757994652e-06,2.86102294921875e-06,0,0,0,0,0,0.07084673643112183,0.07447151094675064,2.1417999267578125,2.785099983215332,2.0233500003814697,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.03440000116825104,0.1859000027179718,0.0035000001080334187,0.02199999988079071,0.1829500049352646,0.003599999938160181,1.0,1.0,1.0,0.04820000007748604,0.20954999327659607,0.006500000134110451,0.03720000013709068,0.20669999718666077,0.009750000201165676,0.0299289157839037,0.13141614880472896
feature_group,smooth_step,delta,1.0,spline,improved_separate_attention,240,6,5,2,2,"x0,x3",4,500,2000,100,5000,123,2233,0.2644335516752498,0.2644335516752498,0.008384647614114792,0.008536160537256244,0.5384485804493322,2,0.9903711080551147,0.027872003614902496,0.9856348037719727,0.041581686586141586,-222.3083953857422,217.40556760004256,0.10870278380002128,0.3971438000444323,0.009953550004865974,64760,64664,929.7818858998362,929.788249699981,1.024310079910885,366.2554938038322,0.02511226008469538,1.0024937029987497,3507.0884865918038,0.014028110242321853,1.005590053207662,1123.1393872971857,matched,exact,8.0,8.64267349243164e-06,1.430511474609375e-05,0,0,0,0,0,0.07057543843984604,0.0706062912940979,2.4151999950408936,2.785099983215332,2.0233500003814697,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.09780000150203705,0.1859000027179718,0.0035000001080334187,0.09279999881982803,0.1829500049352646,0.003599999938160181,1.0,1.0,1.0,0.10779999941587448,0.20954999327659607,0.006500000134110451,0.11680000275373459,0.20669999718666077,0.009750000201165676,0.08508795449415857,0.07563476383251289
unit_group,normalized_requ,tau_g,1.0,affine,improved_separate_attention,240,6,5,2,2,"x0,x3",4,500,2000,100,5000,123,2123,1.4309809436154088,1.4309809436154088,0.15725081594082174,0.12764158052269095,2.93159265908929,2,0.9790507555007935,0.06064002215862274,0.9740590453147888,0.07508902251720428,-229.78695678710938,217.61243820004165,0.10880621910002082,0.27492190001066774,0.007520349987316877,58286,58192,538.6849410999566,538.6902331999736,1.0298716699203159,111.31477557401504,0.05721054129948393,1.0076255531876006,386.4041354190026,0.0492333277320758,1.0033968228620322,1524.749108280412,matched,exact,,2.3245811462402344e-06,2.86102294921875e-06,0,0,0,0,0,0.06838349997997284,0.0675055980682373,2.2627999782562256,3.4290499687194824,2.5215001106262207,1.0,1.0,1.0,1.0,1.0,1.0,0.2386000007390976,0.8071500062942505,0.4031499922275543,0.02319999970495701,0.4689500033855438,0.10220000147819519,0.0010000000474974513,0.1529500037431717,0.01614999957382679,,,,,,,,,,,,,,,,,,,,
unit_group,normalized_requ,tau_g,1.0,spline,improved_separate_attention,240,6,5,2,2,"x0,x3",4,500,2000,100,5000,123,2123,0.6770132870550418,0.6770132870550418,0.08530492201094077,0.07407762000296496,1.4362821870258258,2,0.9786632657051086,0.06176169589161873,0.9740590453147888,0.07508902251720428,-228.72694396972656,310.3680554999737,0.15518402774998685,0.37532069999724627,0.009843450039625168,64502,64408,538.6849410999566,538.6902331999736,1.0298716699203159,111.31477557401504,0.05721054129948393,1.0076255531876006,386.4041354190026,0.0492333277320758,1.0033968228620322,1524.749108280412,matched,exact,8.0,8.463859558105469e-06,3.24249267578125e-05,0,0,0,0,0,0.06779921054840088,0.06361871212720871,2.5107998847961426,3.4290499687194824,2.5215001106262207,1.0,1.0,1.0,1.0,1.0,1.0,0.41119998693466187,0.8071500062942505,0.4031499922275543,0.09099999815225601,0.4689500033855438,0.10220000147819519,0.00860000029206276,0.1529500037431717,0.01614999957382679,,,,,,,,,,,,,,,,,,,,
unit_group,smooth_step,delta,1.0,affine,improved_separate_attention,240,6,5,2,2,"x0,x3",4,500,2000,100,5000,123,2133,1.3689751668926555,1.3689751668926555,0.11042469673822498,0.11331227859964242,3.609269788786273,2,0.9800133109092712,0.05785368010401726,0.9757974147796631,0.07005716115236282,-230.54212951660156,222.3215812999988,0.1111607906499994,0.3183594999136403,0.011761949979700148,58286,58192,789.1913872000296,789.1965963999974,1.0082534821447928,237.3853055692514,0.0375096403515319,1.0033357127516083,585.0573256124092,0.03809053019751952,1.0027340545912118,1674.5422726930892,matched,exact,,2.0582228899002075e-06,2.86102294921875e-06,0,0,0,0,0,0.06577599048614502,0.06857291609048843,2.134000062942505,3.145050048828125,2.5215001106262207,1.0,1.0,1.0,0.9998000264167786,1.0,1.0,0.12060000002384186,0.7218000292778015,0.4031499922275543,0.013000000268220901,0.3390499949455261,0.10220000147819519,0.0006000000284984708,0.08420000225305557,0.01614999957382679,,,,,,,,,,,,,,,,,,,,
unit_group,smooth_step,delta,1.0,spline,improved_separate_attention,240,6,5,2,2,"x0,x3",4,500,2000,100,5000,123,2133,2.0297445926767907,2.0297445926767907,0.05184242325169457,0.04313463410319245,4.075725630054511,2,0.9726130366325378,0.07927475869655609,0.9757974147796631,0.07005716115236282,-227.07530212402344,329.18860879994463,0.1645943043999723,0.46548080001957715,0.018852800014428794,64502,64408,789.1913872000296,789.1965963999974,1.0082534821447928,237.3853055692514,0.0375096403515319,1.0033357127516083,585.0573256124092,0.03809053019751952,1.0027340545912118,1674.5422726930892,matched,exact,8.0,9.663403034210205e-06,3.1948089599609375e-05,0,0,0,0,0,0.06640289723873138,0.07264254242181778,2.486999988555908,3.145050048828125,2.5215001106262207,1.0,1.0,1.0,1.0,1.0,1.0,0.40540000796318054,0.7218000292778015,0.4031499922275543,0.07620000094175339,0.3390499949455261,0.10220000147819519,0.005400000140070915,0.08420000225305557,0.01614999957382679,,,,,,,,,,,,,,,,,,,,
