support_idx,support_size,loss,loss_ema,log_grad_ema,val_mse,val_rmse,val_mae,val_r2,val_heldout_loglik,val_nll,dS,churn,pred_improve_rel,loss_improve_rel,grad_slope,expected_support_soft,softgate_entropy,beta_soft_sd_mean,beta_soft_abs_mean,softgate_churn,softgate_mean,softgate_sd,softgate_q05,softgate_q25,softgate_q50,softgate_q75,softgate_q95,softgate_mean_j_q05,softgate_mean_j_q25,softgate_mean_j_q50,softgate_mean_j_q75,softgate_mean_j_q95,softgate_mean_j_sum,softgate_sd_j_median,softgate_sd_j_q90,gate_entropy_mean,gate_entropy_median,gate_entropy_q90,beta_abs_mean,beta_abs_median,beta_abs_q75,beta_abs_q90,beta_abs_q95,beta_mean_abs_j_median,beta_mean_abs_j_q90,beta_mean_abs_j_q95,beta_soft_sd_j_mean,beta_soft_sd_j_median,beta_soft_sd_j_q75,beta_soft_sd_j_q90,beta_soft_sd_j_q95,beta_l2_draw_mean,beta_l2_draw_sd,pip_hard_mean,pip_hard_q50,pip_hard_q75,pip_hard_q90,pip_hard_q95,expected_support_softgate,expected_support_hard,ckpt_id,stage,is_warmup,epoch,epoch_in_stage,tau,lr,grad_norm,log_grad,lasso_recovery_score,alert,best_so_far
"[0, 1, 2, 7, 8, 13, 14, 15, 16, 28, 29, 31, 41, 42, 43, 50, 53, 55, 58, 70, 82, 88, 93, 96, 98]",25,354.35421753,369.04974853,5.81693585,2.395643,1.54778648,1.23023617,0.78097561,-1.88302946,1.88302946,-27,0.51923077,0.42822688,0.09622668,-0.00956909,40.46221161,0.59901917,0.08875145,0.22067797,0.07232226,0.40462217,0.18547939,0.13739142,0.26088411,0.39214224,0.518547,0.75938576,0.18882215,0.25621241,0.40081543,0.4944922,0.69324565,40.46221924,0.09197917,0.10071606,0.59901923,0.64528501,0.69166315,0.22067794,0.1268488,0.24227189,0.4438456,0.85966319,0.11037086,0.3999218,0.67503363,0.08875145,0.07903976,0.09503445,0.11026703,0.14256634,3.79558134,0.31552592,0.28363281,0.15820312,0.48925781,0.8089844,0.98886716,40.46221924,28.36328125,10,0,True,250,250,0.8,1e-05,333.65808105,5.81011676,2.05983944,False,True
"[1, 7, 8, 42, 43, 82, 88, 98]",8,324.96231079,336.21037455,5.8235937,1.46854663,1.21183606,1.01343727,0.86573645,-1.74598789,1.74598789,-17,0.68,0.38699271,0.08294499,0.00665785,33.58670425,0.55351746,0.09130239,0.20552178,0.06884425,0.33586705,0.19110528,0.09444048,0.19339271,0.30041331,0.43693498,0.74113655,0.15051587,0.20836394,0.31738704,0.38609666,0.63886762,33.58670425,0.11288831,0.1285833,0.55351746,0.59007514,0.68866694,0.20552178,0.10708373,0.21347381,0.41356951,0.89259434,0.10485157,0.3273862,0.65674019,0.09130239,0.08217651,0.09663192,0.11981635,0.15412273,3.77591801,0.331808,0.17304687,0.0859375,0.19335938,0.43710932,0.94062471,33.58670425,17.3046875,11,0,True,275,275,0.8,1e-05,317.72647095,5.76119086,1.90574869,False,True
"[1, 7, 8, 42, 43, 82, 88, 98]",8,298.70849609,307.72643209,5.82125805,1.19338942,1.09242364,0.90613317,0.89089301,-1.68490303,1.68490303,0,0.0,0.18736703,0.08079034,-0.00233565,27.73592949,0.49714416,0.08951389,0.18647224,0.05850775,0.27735928,0.19384602,0.05900528,0.13617803,0.2288928,0.36355001,0.71475935,0.12444045,0.16876462,0.26384079,0.29741961,0.57369363,27.73592758,0.12123372,0.1462114,0.49714419,0.51767862,0.6810528,0.18647224,0.08186039,0.17981493,0.38471946,0.8599053,0.07200716,0.29163995,0.60500556,0.08951389,0.08052737,0.09477115,0.12349375,0.14974554,3.75375104,0.33560014,0.12082031,0.06054688,0.09179688,0.17382798,0.71054548,27.73592758,12.08203125,12,0,True,300,300,0.8,1e-05,311.17611694,5.74035904,1.88448264,False,True
"[1, 7, 42, 43, 82, 88, 98]",7,298.66818237,306.82060712,5.80650177,1.26917493,1.12657664,0.92320335,0.88396423,-1.71778274,1.71778274,-1,0.125,0.0,0.00013496,-0.01475628,27.609869,0.49518719,0.09120424,0.18681616,0.00789794,0.2760987,0.19443476,0.05761794,0.1345669,0.22651711,0.36243796,0.71780169,0.12599587,0.17483056,0.25705701,0.29287839,0.58428901,27.60987091,0.12661074,0.14673343,0.49518722,0.51592267,0.68029308,0.18681617,0.0813076,0.17996103,0.38443908,0.88343245,0.07181141,0.29113522,0.61799693,0.09120424,0.08096807,0.09587713,0.13103838,0.15892991,3.76423812,0.36586255,0.12007812,0.05859375,0.08984375,0.18945304,0.77734268,27.60987091,12.0078125,13,1,False,301,1,0.8,1e-05,291.10827637,5.67369528,1.75857142,False,True
"[7, 42, 43, 82, 88, 98]",6,279.09506226,283.21843702,5.90738628,1.43061852,1.19608466,1.00654888,0.86920407,-1.72114468,1.72114468,-1,0.14285714,0.0,0.06553467,0.10088451,22.28961945,0.42947561,0.08779763,0.1724041,0.05320247,0.22289622,0.19308598,0.03269344,0.08845524,0.16315445,0.29142448,0.68008202,0.09117548,0.13937148,0.19839451,0.22519736,0.52944136,22.28962135,0.1126582,0.14483543,0.42947561,0.4347626,0.66218877,0.1724041,0.05960866,0.14653586,0.36491811,0.89294451,0.0553729,0.26008874,0.59220093,0.08779765,0.07505703,0.09032419,0.12902987,0.16019145,3.83638525,0.37647247,0.09085938,0.02734375,0.05078125,0.13710937,0.58027148,22.28962135,9.0859375,14,1,False,325,25,0.8,1e-05,684.68566895,6.52895986,1.77078763,False,False
"[7, 42, 43, 82, 88]",5,256.06051636,262.36279558,5.90628136,1.72648764,1.31395877,1.05965304,0.8421539,-1.7503159,1.7503159,-1,0.16666667,0.0,0.08253298,-0.00110492,17.87648773,0.36694348,0.08202944,0.16174503,0.04416542,0.17876482,0.18631373,0.01911257,0.05873255,0.11670272,0.22159752,0.64582765,0.06775413,0.10140252,0.14602666,0.16601017,0.478533,17.87648392,0.10182239,0.12390166,0.36694345,0.35726365,0.62641037,0.16174503,0.04467671,0.11700152,0.35007066,0.94375092,0.03842183,0.25246716,0.61622143,0.08202945,0.06855416,0.08642887,0.12055662,0.17626844,3.89803505,0.38029605,0.06957031,0.01171875,0.0234375,0.04335931,0.42831758,17.87648392,6.95703125,15,1,False,350,50,0.8,1e-05,442.65075684,6.0927811,1.49516965,False,True
"[7, 42, 43, 82, 88]",5,236.17211914,243.66583606,5.70632925,2.12361431,1.45726261,1.16410553,0.80584614,-1.8289963,1.8289963,0,0.0,0.0,0.07767069,-0.19995211,14.88045597,0.32246837,0.07479111,0.14907651,0.03000907,0.14880458,0.1768575,0.01430153,0.04522125,0.08936153,0.17128254,0.6060015,0.05631004,0.08988541,0.10902777,0.12254007,0.43816715,14.88045597,0.0802913,0.09602557,0.32246834,0.30071682,0.57885373,0.14907651,0.03648619,0.09621543,0.3279177,0.93144917,0.03010325,0.20523772,0.6263454,0.07479112,0.06313366,0.07263909,0.11678744,0.16943084,3.74128771,0.33550388,0.05605469,0.0,0.00390625,0.01640624,0.24648076,14.88045597,5.60546875,16,1,False,375,75,0.8,1e-05,381.74710083,5.94475835,1.38297223,False,True
"[7, 42, 43, 82, 88]",5,225.84056091,229.88973016,5.96192941,2.12446213,1.45755347,1.16316402,0.80576863,-1.83011723,1.83011723,0,0.0,0.0,0.04374588,0.25560015,13.43345261,0.28968298,0.07622839,0.14998832,0.01705449,0.13433453,0.18047458,0.01105845,0.03551883,0.07242787,0.14597145,0.59856009,0.05029078,0.07019749,0.08754031,0.10526624,0.4328354,13.43345451,0.07116355,0.08919589,0.28968298,0.25945646,0.5470773,0.14998832,0.03192078,0.0886737,0.33731982,0.98973787,0.02442878,0.20496131,0.68594337,0.07622839,0.06316206,0.07557766,0.11054738,0.17648509,3.87216902,0.36054921,0.05464844,0.0,0.00390625,0.01171875,0.23886356,13.43345451,5.46484375,17,1,False,400,100,0.8,1e-05,457.15072632,6.12501315,1.29493615,False,True
"[7, 42, 43, 82, 88]",5,215.91668701,220.13283294,5.55293882,2.38600874,1.54467108,1.22533429,0.78185643,-1.93917584,1.93917584,0,0.0,0.0,0.04394195,-0.40899059,12.05911636,0.26118073,0.0688092,0.14421119,0.01495554,0.12059117,0.17969216,0.00891781,0.02878105,0.05973165,0.12139118,0.5857749,0.04639063,0.06100377,0.07174079,0.08429759,0.39673182,12.05911636,0.06040159,0.07382879,0.26118073,0.2258992,0.51264131,0.1442112,0.02786769,0.07625079,0.32819328,0.99190217,0.01989569,0.18334372,0.65556031,0.06880921,0.05604985,0.06741496,0.10535573,0.16373095,3.84493756,0.27958801,0.05195313,0.0,0.0,0.0078125,0.1351521,12.05911636,5.1953125,18,1,False,425,125,0.8,1e-05,265.92327881,5.58320784,1.15083613,False,True
"[7, 42, 43, 82, 88]",5,209.07803345,211.50101779,5.59636598,2.49037051,1.57809078,1.27220571,0.77231504,-1.98854005,1.98854005,0,0.0,0.0,0.03167265,0.04342716,11.20565796,0.24246311,0.06512934,0.14006902,0.00939461,0.11205658,0.17951767,0.00796228,0.02567154,0.05233663,0.10583737,0.58921874,0.04417086,0.05278158,0.06030001,0.07198801,0.39346558,11.20565701,0.05203926,0.06984928,0.24246307,0.20514788,0.48724803,0.14006902,0.02477637,0.06877375,0.31461418,1.00540745,0.0161845,0.18726398,0.66622889,0.06512935,0.051634,0.06028606,0.11310723,0.15836392,3.82477593,0.27399087,0.05132813,0.0,0.0,0.00390625,0.11308166,11.20565701,5.1328125,19,1,False,450,150,0.8,1e-05,274.16699219,5.61373738,1.11831042,False,True
