method,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,simple,462,462,0,1,0.0,0,0.0,0,3.745391e-24,1.4498096e-22,0.0,0.0
last_flow,simple,462,462,1,2,0.0,0,0.0,0,-6.8475146e-09,1.468713e-08,0.0,0.0
last_flow,simple,462,462,2,3,0.0,0,0.0,0,-0.18140319,0.002795048,0.0,0.0
last_flow,simple,462,462,3,4,0.0,0,0.0,0,-0.21220009,0.004596627,0.0,0.0
last_flow,simple,462,462,4,5,0.0,0,0.0,0,-3.6732564e-10,7.0295973e-09,0.0,0.0
last_flow,simple,462,462,5,6,0.0,0,0.0,0,-7.967356e-36,0.0,0.0,0.0
last_flow,simple,462,462,6,7,0.0,0,0.00025,0,7.326864e-07,4.6342604e-05,8.7836014e-07,5.5553424e-05
last_flow,simple,462,462,7,8,0.0,0,0.0,0,-4.3098727e-10,1.0154213e-09,0.0,0.0
last_flow,simple,462,462,8,9,0.0,0,0.0,0,-0.06422449,0.00134734,0.0,0.0
last_flow,simple,462,462,9,10,0.0,0,1.0,1,0.33456224,0.0044864984,0.33456224,0.004486494
last_flow,simple,462,462,10,11,0.0,0,0.0,0,-0.33121613,0.0031609416,0.0,0.0
last_flow,simple,462,462,11,12,0.0,0,0.0,0,-0.05372108,0.0013969749,0.0,0.0
last_flow,simple,462,462,12,13,0.0,0,0.0,0,-0.2088195,0.0022827182,0.0,0.0
last_flow,simple,462,462,13,14,0.0,0,0.0,0,0.31404293,0.003717294,0.0,0.0
last_flow,simple,462,462,14,15,0.0,0,0.0,0,0.14030635,0.0025643453,0.0,0.0
last_flow,simple,462,462,15,16,0.0,0,0.0,0,0.026676096,0.0024147457,0.0,0.0
last_flow,simple,462,462,16,17,0.0,0,0.0,0,5.467227e-16,1.5331295e-14,0.0,0.0
last_flow,simple,462,462,17,18,0.0,0,0.0,0,-0.09824003,0.0037763708,0.0,0.0
last_flow,simple,462,462,18,19,0.0,0,0.0,0,2.217766e-28,0.0,0.0,0.0
last_flow,simple,462,462,19,20,0.0,0,0.0,0,-0.16352883,0.004977807,0.0,0.0
last_flow,simple,462,462,20,21,0.0,0,0.0,0,-0.22911489,0.0034947963,0.0,0.0
last_flow,simple,462,462,21,22,0.0,0,0.0,0,0.2219655,0.0047376268,0.0,0.0
last_flow,simple,462,462,22,23,0.0,0,0.0,0,0.0,0.0,0.0,0.0
last_flow,simple,462,462,23,24,0.0,0,0.0,0,-0.28698784,0.0035282043,0.0,0.0
last_flow,simple,462,462,24,25,0.0,0,0.0,0,0.2073495,0.004074172,0.0,0.0
last_flow,simple,462,462,25,26,0.0,0,0.0,0,0.20996863,0.00298378,0.0,0.0
last_flow,simple,462,462,26,27,0.0,0,0.0,0,2.0608544e-20,1.2958124e-18,0.0,0.0
last_flow,simple,462,462,27,28,0.0,0,0.0,0,0.19856694,0.002733227,0.0,0.0
last_flow,simple,462,462,28,29,-1.8121386,1,1.0,1,-1.8360015,0.005325238,-1.8360015,0.005325238
last_flow,simple,462,462,29,30,0.0,0,0.0,0,1.3593538e-27,0.0,0.0,0.0
last_flow,simple,462,462,30,31,0.0,0,0.0,0,0.0,0.0,0.0,0.0
last_flow,simple,462,462,31,32,0.0,0,0.0,0,0.041996617,0.0014722255,0.0,0.0
last_flow,simple,462,462,32,33,0.0,0,0.0,0,0.0,0.0,0.0,0.0
last_flow,simple,462,462,33,34,0.0,0,0.0,0,0.043919936,0.0025465928,0.0,0.0
last_flow,simple,462,462,34,35,0.0,0,0.0,0,-0.18097457,0.0017975328,0.0,0.0
last_flow,simple,462,462,35,36,1.2332805,1,1.0,1,1.4133022,0.004955456,1.4133022,0.004955456
last_flow,simple,462,462,36,37,0.0,0,0.0,0,-0.12739883,0.0051745307,0.0,0.0
last_flow,simple,462,462,37,38,0.0,0,0.0,0,0.08570941,0.0023232386,0.0,0.0
