seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,pip_js,spike_js,selected_last,selected_mcmc,tp_both,tn_both,mean_last,mean_mcmc,sd_last,sd_mcmc,slab_skl,group
446,84,85,1.3468872,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,1.251111333275,1.3908909221469044,0.0041485454444782,0.1304093397205545,14.341494954556694,true_nonzero
445,68,69,1.2175763,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,1.277169393125,1.2591767185898493,0.002871791301094,0.1110852396303766,13.559244676473506,true_nonzero
445,84,85,-1.4363617,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-1.62800339175,-1.5934459641268033,0.0023218856567492,0.1245205978604737,14.25783285571977,true_nonzero
445,93,94,-1.5686725,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-1.722803522525,-1.4687787818251377,0.0028518759435342,0.1182496628575188,16.82514608505434,true_nonzero
446,9,10,-1.8004934,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-1.733817906675,-1.8280402799746864,0.0053187489698846,0.1157025691040191,12.448431026365885,true_nonzero
451,54,55,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.208647243237275,0.0016683727693462,0.1388402891187399,0.0301447864032426,,true_zero
451,34,35,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,3.2536173329151817e-19,-0.0335329108278657,1.6132717447202122e-17,0.0803882895484587,,true_zero
451,29,30,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.11461729980725,-0.0003749097040733,0.0076720065499399,0.026949732084453,,true_zero
451,27,28,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-1.995614078324305e-13,-0.00615934318449,1.0042852709972105e-12,0.0371916039238762,,true_zero
451,25,26,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.1437250529725,-0.0062794402612122,0.0457322175508319,0.0389240206824601,,true_zero
