seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,selected_last,selected_mcmc,mean_last,mean_mcmc,mean_absdiff,sd_last,sd_mcmc,sd_absdiff,q_mae,q_rmse,tp_both,tn_both,var_score
434,81,82,0.0,0,0.0,0.0,0.0,0,0,0.0019309665382698249,0.0011498699930618274,0.0007810965452079975,0.02328055371372668,0.03502324345448271,0.01174268974075603,0.005952346944469235,0.02018000895892763,False,True,0.012604788360055248
496,58,59,0.0,0,0.0,0.0,0.0,0,0,-3.590739505225876e-15,-4.879418138111971e-05,4.879418137752897e-05,2.2709827445591854e-13,0.021598250065333384,0.021598250065106284,0.0023336197900527215,0.01180263414403339,False,True,0.013181539003983393
454,44,45,0.0,0,0.0,0.0,0.0,0,0,0.00770071415347925,0.004963289522493016,0.002737424630986234,0.028879130718477374,0.032482519041634024,0.0036033883231566498,0.008970594978275247,0.02060119715433599,False,True,0.013509713770839806
483,97,98,0.0,0,0.0,0.0,0.0,0,0,0.0,-0.0008250392981805849,0.0008250392981805849,0.0,0.02092214465021186,0.02092214465021186,0.0022271379356677674,0.011536978754509987,False,True,0.013513249558954282
466,43,44,0.0,0,0.0,0.0,0.0,0,0,-1.294730229097187e-17,-0.0005075139954220022,0.0005075139954219893,2.2816764962342576e-16,0.02128337020462918,0.021283370204628952,0.0026789725245936506,0.013453925689450108,False,True,0.013828171622330116
483,47,48,0.0,0,0.0,0.0,0.0,0,0,-6.3030791647363e-25,0.0001963257228414606,0.0001963257228414606,1.367586330557817e-23,0.022966639878971927,0.022966639878971927,0.0025218376020659057,0.012672406260481217,False,True,0.01420148326439333
496,28,29,0.0,0,0.0,0.0,0.0,0,0,-1.0967103798293e-09,-0.00016910875688394046,0.00016910766017356064,1.6372190312642382e-08,0.02372497193206194,0.023724955559871627,0.002422913023508493,0.012394200699056161,False,True,0.014454498463617868
466,96,97,0.0,0,0.0,0.0,0.0,0,0,4.986565e-38,-0.00097482207225727,0.00097482207225727,3.153780620095506e-36,0.02161224832722896,0.02161224832722896,0.002682381088444629,0.013284317057451181,False,True,0.014463327324316379
439,11,12,0.0,0,0.0,0.0,0.0,0,0,9.566627611043618e-12,0.00018780128653698552,0.00018780127697035792,2.2613788330811938e-10,0.023019056515579565,0.023019056289441682,0.0028505134612490254,0.013540323634409424,False,True,0.014547842882940224
451,82,83,0.0,0,0.0,0.0,0.0,0,0,4.1536811684465794e-30,-6.049096064046577e-06,6.049096064046577e-06,2.591181533803921e-28,0.02302709369662122,0.02302709369662122,0.0030377020673694626,0.014296573607057123,False,True,0.01455729801174412
466,81,82,0.0,0,0.0,0.0,0.0,0,0,0.0,0.00091822121269858,0.00091822121269858,0.0,0.022330498972887886,0.022330498972887886,0.0028880868185638792,0.013993546854828287,False,True,0.014971557517706402
408,89,90,0.0,0,0.0,0.0,0.0,0,0,-1.3770029071179786e-12,-0.0001449529655755524,0.0001449529641985495,7.202067638026601e-12,0.023460551482168555,0.023460551474966486,0.00313004233093327,0.014326882838259326,False,True,0.015005271032615062
462,63,64,0.0,0,0.0,0.0,0.0,0,0,8.222860047210496e-13,0.0012548742049970727,0.0012548742041747867,5.465067912977452e-12,0.022192843380667033,0.022192843375201964,0.002716202577172335,0.01348572520853556,False,True,0.015067498468948105
458,70,71,0.0,0,0.0,0.0,0.0,0,0,-2.1940061433292045e-14,-0.00030442902655805995,0.00030442902653611987,3.60946384548398e-13,0.023954917146425416,0.02395491714606447,0.0028429262079659296,0.01378538125775242,False,True,0.015124813807534283
478,92,93,0.0,0,0.0,0.0,0.0,0,0,9.213979929441362e-11,-0.00032137763398221923,0.00032137772612201855,5.825297182904851e-09,0.02373788786250806,0.02373788203721088,0.002939417096220252,0.013684175345382162,False,True,0.015129735840947709
439,60,61,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0007551240770915731,0.0007551240770915731,0.0,0.02301755610906267,0.02301755610906267,0.0029527411620921644,0.014161702546877994,False,True,0.015216643293715072
483,71,72,0.0,0,0.0,0.0,0.0,0,0,5.258811073320726e-28,0.0013696660231937632,0.0013696660231937632,1.972253917412963e-26,0.022989922164014243,0.022989922164014243,0.0023902564908188945,0.013106481583842117,False,True,0.015254883596019779
408,45,46,0.0,0,0.0,0.0,0.0,0,0,1.4785206953207716e-17,-0.0009834858689171722,0.000983485868917187,9.35060609022496e-16,0.02260827012589846,0.022608270125897525,0.002985344540154146,0.013830812938663378,False,True,0.015272965472020096
458,88,89,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0006262714542636214,0.0006262714542636214,0.0,0.02353108506137277,0.02353108506137277,0.0029174214837426778,0.013930407555592893,False,True,0.015309235468692685
439,41,42,0.0,0,0.0,0.0,0.0,0,0,9.533376988111353e-09,0.00048416075067825624,0.0004841512173012681,4.743869374793985e-08,0.024033437841519543,0.024033390402825795,0.002950431249676674,0.0144585271234691,False,True,0.01545127766839084
