seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,pip_js,spike_js,selected_last,selected_mcmc,tp_both,tn_both,mean_last,mean_mcmc,sd_last,sd_mcmc,slab_skl,group
446,84,85,1.3468872,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,1.2511113332750001,1.3908909221469044,0.0041485454444782814,0.1304093397205545,14.341494954556694,true_nonzero
445,68,69,1.2175763,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,1.277169393125,1.2591767185898493,0.002871791301094056,0.11108523963037664,13.559244676473506,true_nonzero
445,84,85,-1.4363617,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-1.62800339175,-1.5934459641268033,0.002321885656749206,0.12452059786047372,14.25783285571977,true_nonzero
445,93,94,-1.5686725,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-1.722803522525,-1.4687787818251377,0.002851875943534263,0.11824966285751884,16.82514608505434,true_nonzero
446,9,10,-1.8004934,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-1.733817906675,-1.8280402799746862,0.005318748969884658,0.11570256910401915,12.448431026365883,true_nonzero
451,54,55,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.20864724323727502,0.0016683727693462137,0.13884028911873994,0.030144786403242613,,true_zero
451,34,35,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,3.2536173329151817e-19,-0.03353291082786571,1.6132717447202122e-17,0.0803882895484587,,true_zero
451,29,30,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.11461729980725,-0.0003749097040733299,0.007672006549939913,0.026949732084453056,,true_zero
451,27,28,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-1.995614078324305e-13,-0.006159343184490096,1.0042852709972105e-12,0.03719160392387624,,true_zero
451,25,26,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.14372505297250002,-0.006279440261212292,0.04573221755083192,0.03892402068246019,,true_zero
