seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,selected_last,selected_mcmc,mean_last,mean_mcmc,mean_absdiff,sd_last,sd_mcmc,sd_absdiff,q_mae,q_rmse,tp_both,tn_both,var_score
419,60,61,0.0,0,0.0,0.01025,0.01025,0,0,0.101494041153,0.10309823073030287,0.001604189577302878,0.0007748469248998529,0.1471241072961888,0.14634926037128895,0.12371857491275749,0.14264512649192532,False,True,0.20874739467570483
434,46,47,0.0,0,0.0,0.015125,0.015125,0,0,0.0334183851095,0.10552342671104693,0.07210504160154693,0.055131031514841444,0.15176891831941533,0.09663788680457389,0.1034035498952956,0.15763604998982025,False,True,0.2389525348991295
463,93,94,0.0,0,0.0,0.02625,0.02625,0,0,0.2134913779675,0.21532604025859575,0.0018346622910957455,0.002275329229646451,0.16251058967477414,0.16023526044512768,0.1357097182053646,0.15801138591416186,False,True,0.24391201071902419
499,79,80,0.0,0,0.0,0.013875,0.013875,0,0,0.0,0.09016249534940428,0.09016249534940428,0.0,0.14475926799267672,0.14475926799267672,0.08854724999938675,0.1650617158852744,False,True,0.2649643793451294
467,36,37,0.0,0,0.0,0.024375,0.024375,0,0,-0.1880129501925,-0.16590754608010796,0.022105404112392035,0.010635270902215917,0.16551177993126365,0.15487650902904773,0.14350065100422477,0.16049350283459138,False,True,0.26741930963114063
436,47,48,0.0,0,0.0,0.016125,0.016125,0,0,-0.1809038504825,-0.14821926914080236,0.03268458134169763,0.0028781598669652187,0.15958016930047114,0.15670200943350593,0.1423767596282728,0.15808001414454495,False,True,0.2695373456867234
464,61,62,0.0,0,0.0,0.031875,0.031875,0,0,-0.160091974455,-0.1712963416091757,0.011204367154175693,0.0033888639450529246,0.1731285242493907,0.1697396603043378,0.14864477619986033,0.1673190183039163,False,True,0.2765939735062049
416,3,4,0.0,0,0.0,0.01025,0.01025,0,0,-0.2371784279625,-0.18110857229828456,0.056069855664215434,0.0017613957453718136,0.15360467057844296,0.15184327483307114,0.1348966796672682,0.16008109988137323,False,True,0.2771381727480192
465,67,68,0.0,0,0.0,0.0115,0.0115,0,0,1.1987320518508058e-08,0.09792525845081093,0.0979252464634904,5.253564417510098e-08,0.14557953044399158,0.1455794779083474,0.09646371110596054,0.1710398852233294,False,True,0.2786786965236247
442,55,56,0.0,0,0.0,0.049125,0.049125,0,0,0.24871528924,0.23285701911942616,0.015858270120573836,0.027969822621630457,0.1749641139672835,0.14699429134565306,0.14223434699150475,0.16659221383994327,False,True,0.28071476278490515
442,5,6,0.0,0,0.0,0.01025,0.01025,0,0,0.0,0.10037889362958805,0.10037889362958805,0.0,0.14714414647652244,0.14714414647652244,0.09903207114583909,0.1738256255360846,False,True,0.2832330380136883
409,69,70,0.0,0,0.0,0.07125,0.07125,0,0,0.3409161301125,0.30769291102616886,0.033223219086331135,0.002143880483166095,0.14328073154858328,0.14113685106541718,0.10890647365830079,0.14181556078080226,False,True,0.2839481182773405
465,57,58,0.0,0,0.0,0.027375,0.027375,0,0,-0.18249848083,-0.14832998314230916,0.03416849768769084,0.0030703222797649537,0.16871857262025353,0.16564825034048858,0.15033041155532054,0.16639874047902029,False,True,0.29469803441325565
441,3,4,0.0,0,0.0,0.053875,0.053875,0,0,-0.2196161020875,-0.21984632115953207,0.00023021907203207848,0.0021301566276380793,0.18016100709206898,0.1780308504644309,0.15280853178798093,0.1749022247554526,False,True,0.29592917609222846
409,15,16,0.0,0,0.0,0.03425,0.03425,0,0,0.2773366312425,0.22918669766411087,0.04814993357838915,0.002555000748961677,0.16458771080249884,0.16203271005353717,0.13627175493039131,0.16706518915888338,False,True,0.29968804353554906
420,49,50,0.0,0,0.0,0.0105,0.0105,0,0,-2.520295401353325e-35,-0.10964157980949227,0.10964157980949227,2.407664322744651e-33,0.15022461891960862,0.15022461891960862,0.10830494141422124,0.1819124781650245,False,True,0.3035588306835178
429,86,87,0.0,0,0.0,0.01025,0.01025,0,0,0.15970969890999998,0.07484462960725892,0.08486506930274106,0.0016450664581890988,0.13454538596419735,0.13290031950600825,0.1456688181608532,0.1547051231243179,False,True,0.30723404721659836
480,89,90,0.0,0,0.0,0.01675,0.01675,0,0,1.1456026715400752e-17,0.10776423578793978,0.10776423578793977,4.1970535694134357e-16,0.1536946966803423,0.15369469668034189,0.1062485046525719,0.1835246683260402,False,True,0.3076100887806826
437,43,44,0.0,0,0.0,0.02825,0.02825,0,0,-0.15719552637499998,-0.21582444917160445,0.05862892279660448,0.0014628238474092314,0.16130922713657875,0.15984640328916952,0.14575062439584127,0.16743166763347286,False,True,0.3125527488370305
449,62,63,0.0,0,0.0,0.025125,0.025125,0,0,-0.2072501517525,-0.15603376077859268,0.051216390973907316,0.003879939101873844,0.16848273738913067,0.16460279828725682,0.15416895776467965,0.1716135943504086,False,True,0.3128117478822154
