seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,selected_last,selected_mcmc,mean_last,mean_mcmc,mean_absdiff,sd_last,sd_mcmc,sd_absdiff,q_mae,q_rmse,tp_both,tn_both,var_score
498,22,23,-1.7635272,1,0.9985,1.0,0.0014999999999999458,1,1,-1.750994761325,-1.750173740795924,0.0008210205290761774,0.07140682671218444,0.12014153335454576,0.04873470664236132,0.08635899794911928,0.10560966651438584,True,False,0.11304737179937606
461,51,52,0.97236407,1,1.0,1.0,0.0,1,1,0.9951407363124999,0.9921408050250622,0.002999931287437696,0.055469477412834645,0.11776268345498558,0.06229320604215094,0.07899358226116983,0.0971119255053239,True,False,0.113140116569683
460,30,31,1.3267565,1,1.0,1.0,0.0,1,1,1.25694311275,1.2586953253897846,0.001752212639784645,0.0031570230750901417,0.10280206702286138,0.09964504394777124,0.07788755490613887,0.09593476309532295,True,False,0.12946228951980915
433,60,61,1.5160873,1,1.0,1.0,0.0,1,1,1.5844225128499998,1.587205711055798,0.0027831982057981985,0.004548249373621794,0.10592282574880672,0.10137457637518493,0.07946307771316614,0.09794855053281469,True,False,0.13293356410655682
408,55,56,-1.9297644,1,1.0,1.0,0.0,1,1,-1.9589038124499998,-1.9541714854252719,0.0047323270247279225,0.003405864004275405,0.10830246099633128,0.10489659699205588,0.08173697176853281,0.10131776587337306,True,False,0.13891759728928868
412,34,35,-1.459824,1,1.0,1.0,0.0,1,1,-1.369434220775,-1.3521751917744969,0.017259029000503245,0.0046018647923736,0.10082442140832282,0.09622255661594922,0.07708812256449298,0.09470787517904819,True,False,0.14245842987297083
422,52,53,1.1453912,1,1.0,1.0,0.0,1,1,0.9610050663225,0.9569433997318854,0.004061666590614688,0.0035707175271800446,0.11221762887190986,0.10864691134472981,0.08504765789916291,0.10469887888074281,True,False,0.1434327801621425
477,40,41,-0.908612,1,1.0,0.998625,0.001375000000000015,1,1,-0.9389325597249999,-0.8983676136900736,0.04056494603492633,0.11763167719682026,0.12100990299887655,0.003378225802056295,0.10046657285179711,0.12217125395362029,True,False,0.1440956317877516
426,68,69,1.9748428,1,1.0,1.0,0.0,1,1,1.798663656125,1.802345031585561,0.0036813754605609095,0.004669837133311546,0.11430364664409413,0.10963380951078258,0.08596200442622688,0.10581563905277225,True,False,0.14446028464217908
418,63,64,1.3883088,1,1.0,1.0,0.0,1,1,1.34643977405,1.340992292830605,0.005447481219394978,0.007983120916113693,0.11742850695008539,0.10944538603397169,0.08618717311109043,0.10692775703516712,True,False,0.14635734734747124
495,21,22,-1.7941784,1,1.0,1.0,0.0,1,1,-1.899572394,-1.8936695219153796,0.00590287208462037,0.003529472604995875,0.11333877763465779,0.10980930502966191,0.08601044918328887,0.10637872093105853,True,False,0.1468179737827402
417,24,25,-1.0160135,1,1.0,1.0,0.0,1,1,-0.984856865,-0.9833759300100049,0.0014809349899951307,0.0023786969581988133,0.11704063676469748,0.11466193980649866,0.08907318195629137,0.10996644479295827,True,False,0.14788508684953583
460,86,87,-1.1018845,1,1.0,1.0,0.0,1,1,-1.2061244597999998,-1.2079810615356,0.0018566017356000941,0.003122879195582421,0.11821283450545537,0.11508995530987295,0.0893700279997858,0.1107429944563754,True,False,0.14877160739032236
459,97,98,-0.70037746,1,1.0,0.998625,0.001375000000000015,1,1,-0.7597300817999999,-0.7827124937755193,0.022982411975519423,0.0014964182018709145,0.09744531396408905,0.09594889576221814,0.07656601404482058,0.09487213708410167,True,False,0.1488978739014491
440,31,32,-1.514348,1,1.0,1.0,0.0,1,1,-1.4561151490750002,-1.451960766020096,0.0041543830549042315,0.0037089111271809256,0.1181513586188433,0.11444244749166237,0.08848795337693066,0.10964024671721005,True,False,0.14986356017766608
452,61,62,-1.8988119,1,0.99775,1.0,0.0022499999999999742,1,1,-1.746734499825,-1.7779848277554848,0.03125032793048477,0.08558845923791383,0.12635739176891678,0.040768932531002944,0.09641113619479419,0.11939826173498136,True,False,0.1502959303907804
418,14,15,-1.3259425,1,1.0,1.0,0.0,1,1,-1.2892430204,-1.2729347683257033,0.01630825207429676,0.007104781970739269,0.11013782394283272,0.10303304197209345,0.08250798321071902,0.10140569685554551,True,False,0.15033275627106252
456,36,37,1.5130653,1,1.0,1.0,0.0,1,1,1.45947703865,1.4553471170862475,0.00412992156375247,0.0026900867002347473,0.11744444784367528,0.11475436114344052,0.08952793786470313,0.1105836489564342,True,False,0.15103504000017587
412,24,25,1.4174571,1,1.0,1.0,0.0,1,1,1.4724213914500002,1.4685395855462102,0.0038818059037899477,0.004823003878136946,0.12047538284072594,0.115652378962589,0.09014312149918255,0.11171547773419857,True,False,0.151851116884267
461,5,6,-1.5055814,1,1.0,1.0,0.0,1,1,-1.3983348819499997,-1.3854798615715676,0.012855020378432114,0.011950990844195668,0.11835337778311367,0.106402386938918,0.08653380116142192,0.1056955589343907,True,False,0.15259001500931305
