method,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,simple,446,446,88,89,0.0,0,0.0,0,1.6213439e-06,4.2955176e-06,0.0,0.0
last_flow,simple,446,446,89,90,0.0,0,0.0,0,0.1652234,0.0047217286,0.0,0.0
last_flow,simple,446,446,90,91,0.0,0,0.0,0,0.0,0.0,0.0,0.0
last_flow,simple,446,446,91,92,0.0,0,0.0,0,-0.050920665,0.0017022918,0.0,0.0
last_flow,simple,446,446,92,93,0.0,0,0.0,0,-1.5877685e-09,1.600094e-08,0.0,0.0
last_flow,simple,446,446,93,94,0.0,0,0.0,0,0.0048460867,0.0005920435,0.0,0.0
last_flow,simple,446,446,94,95,0.0,0,0.0,0,0.08135441,0.002449531,0.0,0.0
last_flow,simple,446,446,95,96,0.0,0,0.0,0,-0.06764234,0.0021209405,0.0,0.0
last_flow,simple,446,446,96,97,0.0,0,0.0,0,-0.1625504,0.002023643,0.0,0.0
last_flow,simple,446,446,97,98,0.0,0,0.0,0,1.3238116e-22,7.019334e-21,0.0,0.0
last_flow,simple,446,446,98,99,1.9155047,1,1.0,1,1.7787267,0.0063865045,1.7787267,0.0063865045
last_flow,simple,446,446,99,100,0.0,0,0.0,0,-0.29533377,0.0033706555,0.0,0.0
