method,pip_threshold,median_probability_structure,n_active_edges,n_candidate_edges,edge_density,signal_mse
VI,0.1,False,60,60,1.0,0.04253647103905678
VI,0.2,False,36,60,0.6,0.04218323528766632
VI,0.30000000000000004,False,7,60,0.11666666666666667,0.0422283411026001
VI,0.4,False,7,60,0.11666666666666667,0.0422283411026001
VI,0.5,True,7,60,0.11666666666666667,0.0422283411026001
VI,0.6,False,7,60,0.11666666666666667,0.0422283411026001
VI,0.7000000000000001,False,7,60,0.11666666666666667,0.0422283411026001
VI,0.8,False,7,60,0.11666666666666667,0.0422283411026001
VI,0.9,False,7,60,0.11666666666666667,0.0422283411026001
MCMC,0.1,False,60,60,1.0,0.04525715485215187
MCMC,0.2,False,60,60,1.0,0.04525715485215187
MCMC,0.30000000000000004,False,50,60,0.8333333333333334,0.04494112730026245
MCMC,0.4,False,40,60,0.6666666666666666,0.042700380086898804
MCMC,0.5,True,40,60,0.6666666666666666,0.042700380086898804
MCMC,0.6,False,40,60,0.6666666666666666,0.042700380086898804
MCMC,0.7000000000000001,False,40,60,0.6666666666666666,0.042700380086898804
MCMC,0.8,False,40,60,0.6666666666666666,0.042700380086898804
MCMC,0.9,False,10,60,0.16666666666666666,4.084178447723389
