variable,mean,sd,rhat,ess,mcse,quantity
feature_x0,1.0,0.0,1.0,20000.0,0.0,active_indicator
feature_x1,0.2235,0.4166010415509632,1.0019338209162547,3584.285378421039,0.006958554949877909,active_indicator
feature_x2,0.21945,0.4138843588650025,1.001118128642769,4385.468807879457,0.00624987024660136,active_indicator
feature_x3,1.0,0.0,1.0,20000.0,0.0,active_indicator
feature_x4,0.2827,0.45032305020109803,1.002607114459446,2136.030370453422,0.00974362285988627,active_indicator
feature_x5,0.26305,0.4403003414937302,1.0019633429146273,3134.261137408048,0.007864686822905746,active_indicator
unit_L1_0,0.83405,0.3720450488529437,1.0139120824120964,250.63609478935777,0.023500317065891372,active_indicator
unit_L1_1,0.8551,0.3520087861251849,1.0199559738316393,220.70966336574588,0.023694242524686084,active_indicator
unit_L1_2,0.8704,0.335871226028725,1.0142625523506856,317.8051050213945,0.018840497433158642,active_indicator
unit_L1_3,0.8352,0.3710092214380589,1.008233807422838,369.3530157393593,0.019304736560833397,active_indicator
unit_L1_4,0.85745,0.3496220949546237,1.0231454857074267,131.37536527823403,0.030502954191076417,active_indicator
unit_L2_0,0.8515,0.35560381424215975,1.0151905934382863,307.70557494811504,0.020272099456147625,active_indicator
unit_L2_1,0.7974,0.40194690951153683,1.014787680073255,225.87960668212028,0.02674423516426409,active_indicator
unit_L2_2,0.8303,0.37537841633170976,1.0228347120644652,200.80658071205966,0.02648990050955833,active_indicator
unit_L2_3,0.80645,0.395090119226161,1.0310357366405938,159.3767588854642,0.03129562817343709,active_indicator
unit_L2_4,0.81705,0.38663519218839565,1.0351827643851912,127.54551168928721,0.03423487854702673,active_indicator
feature_x0,2.5550068416446448,0.6487804654608504,1.0191807488590716,489.35485708146535,0.029328227287834453,slab_strength
feature_x1,2.3141104477867485,0.6914807469439053,1.000090575681541,6355.502805145525,0.008673714741096105,slab_strength
feature_x2,2.3192307115264237,0.6934158605751549,1.0016138857217602,6354.368546104139,0.008698764455238145,slab_strength
feature_x3,2.6287834739953277,0.6698067520231216,1.0147391314823913,409.0757679827438,0.0331167449974951,slab_strength
feature_x4,2.2972418811783193,0.6845140818038168,1.0002711450880122,5736.568018044416,0.009037666538348742,slab_strength
feature_x5,2.306609374239296,0.6949480970483851,1.0004278934333182,6064.781086841454,0.008923696790724833,slab_strength
unit_L1_0,2.5575202160865067,0.6831322204011339,1.0092710251299315,997.5563504668256,0.0216289805835403,slab_strength
unit_L1_1,2.545396934776008,0.6772954002611645,1.006893049325379,743.0619661491831,0.024846522281657134,slab_strength
unit_L1_2,2.5499505612641573,0.6905211432633068,1.0028447267985974,776.9832127913581,0.024772575634623137,slab_strength
unit_L1_3,2.560277945382893,0.6727300036218337,1.0017724975422413,1088.812970309803,0.020387508481252793,slab_strength
unit_L1_4,2.508940221315622,0.6749088532297776,1.0032065305576214,686.6863347072957,0.02575525906424581,slab_strength
unit_L2_0,2.3570341462105513,0.6768911289417885,1.011557246440867,780.7871807364977,0.024224369669042914,slab_strength
unit_L2_1,2.333792983712256,0.6854089673808712,1.0012509258806557,2487.9215144332393,0.01374141463508315,slab_strength
unit_L2_2,2.374017019061744,0.6899370334630809,1.004421071679437,725.6171437978318,0.025612719275149298,slab_strength
unit_L2_3,2.326454618446529,0.6833970954362655,1.003211600334452,1268.050782577478,0.019191318162479973,slab_strength
unit_L2_4,2.3651077095985413,0.6911251335541151,1.0028292596318813,1040.0505452209459,0.021430359863082185,slab_strength
feature_x0,1.5024971562489868,0.6000352237774633,1.0108951453191644,404.74742043798057,0.029825291753978755,effective_strength
feature_x1,0.037528492222106254,0.15432598428754113,1.00302783610568,2583.9006927589708,0.0030359956599169224,effective_strength
feature_x2,0.03433809551382971,0.14350019785792031,1.0021663444292737,2998.2735890766903,0.002620697354381448,effective_strength
feature_x3,1.6482848373144865,0.6283166016329305,1.0101035730837213,349.9980269359843,0.033585029718332195,effective_strength
feature_x4,0.07159776587673217,0.2218907527602801,1.0033084682353255,1835.3913195823175,0.005179345311796381,effective_strength
feature_x5,0.055785439616852714,0.19239463950355276,1.0031665583030265,2134.500704637005,0.004164326918997877,effective_strength
unit_L1_0,1.1895961953136311,0.899351099881496,1.0231708459695983,185.33719676365362,0.0660614307151135,effective_strength
unit_L1_1,1.2231008787826918,0.8953767148718063,1.0301710255531278,190.93550758400664,0.06479812598713412,effective_strength
unit_L1_2,1.2793131684850105,0.8846657664643024,1.0100753607794875,260.16953509025126,0.054846763049403946,effective_strength
unit_L1_3,1.2169675636313089,0.9102204938928046,1.0099342461016,219.95823804493614,0.06137287857265433,effective_strength
