variable,mean,sd,rhat,ess,mcse,quantity
x0,1.0,0.0,1.0,20000.0,0.0,active_indicator
x1,0.18695,0.3898811329942275,1.0037245399558137,5009.221555749632,0.005508674345230936,active_indicator
x2,0.19465,0.39594092483699483,1.0030670651955091,3283.822424364922,0.006909403586132932,active_indicator
x3,1.0,0.0,1.0,20000.0,0.0,active_indicator
x4,0.2298,0.42071464205617115,1.0027120545372006,2859.816009753316,0.007867170825344341,active_indicator
x5,0.2427,0.4287259034570889,1.004975803032144,2356.238025209267,0.008832225404300741,active_indicator
x0,2.2420213046237825,0.6563631127542285,1.0043275393663282,484.4728056853354,0.029820125287179228,slab_strength
x1,2.084609157641977,0.6875615275693064,1.0003707742762047,6399.532108006192,0.008594833276427353,slab_strength
x2,2.091152573188394,0.6846071489993363,1.0007290388499122,5979.930040034343,0.008853059404389078,slab_strength
x3,2.3681524398058653,0.6377065792559926,1.0066850013324897,333.13419469810015,0.034939065988882384,slab_strength
x4,2.097846697933227,0.6880146639343965,1.0011149819641776,6160.762914714878,0.008765575737994056,slab_strength
x5,2.0869097582504152,0.6825960561402659,1.000023060015888,5795.8447179198365,0.008966137692850838,slab_strength
x0,1.1697286519810557,0.4768329672305902,1.018813049018567,229.5301732483855,0.03147359715142694,effective_strength
x1,0.01925855467716666,0.07920380427228584,1.0031163104300702,3874.3952402183886,0.0012724598286764136,effective_strength
x2,0.01784774014842227,0.07297880903185436,1.0028294473676522,3106.8714013398812,0.0013092878356657214,effective_strength
x3,1.4057816251143813,0.4997408889895275,1.0151664003048702,195.57762295722864,0.03573430199174926,effective_strength
x4,0.02936125075462961,0.09552368213285667,1.0018018058677742,2558.626588562878,0.0018884591742596966,effective_strength
x5,0.03661876710750286,0.12016279545773842,1.0050661150543183,1537.4964831919185,0.0030645235112462463,effective_strength
threshold_0,-0.001477323833759874,0.47858453771033094,1.0943501947045915,29.12132150993291,0.08868560306457629,derived
active_count,2.8541,0.8841675619552548,1.0124024542799661,623.9821088237877,0.03539553726731453,derived
