epoch,phase,selection_warmup,eligible_checkpoint,checkpoint_update,loss,expected_log_likelihood,expected_log_prior,expected_log_q,kl_q_prior,elbo,val_mse,val_signal_r2,val_draw_r2_median,val_draw_r2_positive_prob,val_zero_function_prob,val_constant_function_prob,val_corr2,val_function_energy_mean,val_function_energy_median,pip_rmse_truth,pip_rmse_mcmc,true_active_skl,true_active_skl_mean,zero_js,zero_js_mean,n_truth_active,n_truth_zero,n_valid_true_active_skl,selection_mode,reference_compatibility,rmse_with_mcmc,true_skl
1,repr,True,False,False,859.1492919921875,-805.8466186523438,-22.833688735961914,-15.280684471130371,7.553005695343018,-813.399658203125,10.411352157592773,-5.728888034820557,-5.780026435852051,0.0,0.0,0.0,0.5921439528465271,0.6484747529029846,0.3354785442352295,0.3158075363255285,0.4831721597940014,22.54495670555611,22.54495670555611,0.21444899513039586,0.21264402086490453,2,3,2,unit_group,exact,0.4831721597940014,22.54495670555611
250,repr,True,False,False,165.88429260253906,-143.2586669921875,-30.11425018310547,-8.01372241973877,22.100526809692383,-165.35919189453125,0.0337710864841938,0.9781736731529236,0.9431941509246826,0.9990000128746033,0.0,0.0,0.9852744340896606,12.609734535217285,12.55225944519043,0.32321943010902054,0.4707741454243213,6.316403505675893,6.316403505675893,0.19957206628643484,0.2034420792278571,2,3,2,unit_group,exact,0.4707741454243213,6.316403505675893
500,repr,True,False,False,162.84324645996094,-143.50491333007812,-30.089557647705078,-10.737984657287598,19.351572036743164,-162.8564910888672,0.02513567917048931,0.9837547540664673,0.9482214450836182,1.0,0.0,0.0,0.9850379228591919,11.910873413085938,11.803775787353516,0.3221220265675727,0.4562160190085394,5.270674228425919,5.270674228425919,0.19312246636261415,0.19656418426963104,2,3,2,unit_group,exact,0.4562160190085394,5.270674228425919
750,repr,True,False,False,160.55612182617188,-143.82321166992188,-30.388092041015625,-12.983217239379883,17.404878616333008,-161.22808837890625,0.021332520991563797,0.9862127304077148,0.9472756385803223,0.9990000128746033,0.0,0.0,0.9872800707817078,11.751157760620117,11.63713264465332,0.3177983637465744,0.4736412313133222,4.708016832387351,4.708016832387351,0.20283366057516208,0.20702051038333202,2,3,2,unit_group,exact,0.4736412313133222,4.708016832387351
1000,repr,True,False,False,160.53024291992188,-142.9816436767578,-30.421506881713867,-13.528769493103027,16.892738342285156,-159.8743896484375,0.02535446733236313,0.9836133122444153,0.9474733471870422,1.0,0.0,0.0,0.9852171540260315,12.248895645141602,12.176916122436523,0.32483503505625744,0.459890091217456,3.9962635336908097,3.9962635336908097,0.19152512960223894,0.19743125828507804,2,3,2,unit_group,exact,0.459890091217456,3.9962635336908097
1250,select,False,False,False,163.56570434570312,-143.4987030029297,-33.01485061645508,-12.843347549438477,20.17150115966797,-163.6702117919922,0.04623671621084213,0.9701170921325684,0.9333829879760742,0.9990000128746033,0.0,0.0,0.9863494038581848,13.028594017028809,13.070219039916992,0.7049168745320259,0.014080340904963889,0.7753246858044085,0.7753246858044085,0.00048280223248704714,0.0006598426899044482,2,3,2,unit_group,exact,0.014080340904963889,0.7753246858044085
1500,select,False,False,False,162.0443878173828,-143.56591796875,-32.7376708984375,-13.721811294555664,19.015859603881836,-162.58177185058594,0.06537581235170364,0.9577473998069763,0.9209012389183044,0.9990000128746033,0.0,0.0,0.9840835928916931,13.291866302490234,13.234843254089355,0.6716965088490486,0.03991210342740658,0.6526294992355283,0.6526294992355283,0.00022332335661799175,0.0016276421658435204,2,3,2,unit_group,exact,0.03991210342740658,0.6526294992355283
1750,select,False,False,False,160.9805145263672,-143.17620849609375,-33.03756332397461,-14.831158638000488,18.206405639648438,-161.38259887695312,0.025305338203907013,0.9836450815200806,0.9469637274742126,0.9990000128746033,0.0,0.0,0.9869109988212585,12.400293350219727,12.359893798828125,0.6082035843366923,0.12155318177653765,0.35896262227905296,0.35896262227905296,0.015558840672788603,0.017772661914632656,2,3,2,unit_group,exact,0.12155318177653765,0.35896262227905296
2000,select,False,False,False,161.931884765625,-142.4034881591797,-32.80556106567383,-14.602231979370117,18.203327178955078,-160.6068115234375,0.022936096414923668,0.9851763248443604,0.9518290162086487,0.9990000128746033,0.0,0.0,0.9880250096321106,12.282853126525879,12.223878860473633,0.5994629262931945,0.13069849272275488,0.308303788174084,0.308303788174084,0.019594319606895724,0.020855336817606193,2,3,2,unit_group,exact,0.13069849272275488,0.308303788174084
2250,select,False,False,False,160.57522583007812,-142.75399780273438,-33.378196716308594,-15.344021797180176,18.034175872802734,-160.78819274902344,0.023004259914159775,0.9851322770118713,0.9505061507225037,1.0,0.0,0.0,0.9890814423561096,12.35798454284668,12.331645965576172,0.5799298233407211,0.16129853068146655,0.274856417745763,0.274856417745763,0.02876648777057166,0.03003941087204574,2,3,2,unit_group,exact,0.16129853068146655,0.274856417745763
2500,select,False,False,False,160.76622009277344,-142.88502502441406,-33.75096893310547,-16.055686950683594,17.695283889770508,-160.580322265625,0.021347038447856903,0.9862033724784851,0.9511197805404663,0.9990000128746033,0.0,0.0,0.9882936477661133,12.001469612121582,11.942801475524902,0.5443612770945413,0.19792659245285865,0.20000113011490553,0.20000113011490553,0.04973624404561431,0.04612287711610449,2,3,2,unit_group,exact,0.19792659245285865,0.20000113011490553
