method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
VI,1,0,feature,input,-1,0,input,0.5490000247955322,0.14104823768138885,0.09710141271352768,0.6874091029167175,1.0048590898513794,0.9660757184028625
VI,1,1,feature,input,-1,1,input,0.5180000066757202,0.13741952180862427,0.06311964243650436,0.6979179978370667,1.0097280740737915,0.9833641648292542
VI,1,2,feature,input,-1,2,input,0.5180000066757202,0.11923740804195404,0.022422462701797485,0.6800386905670166,0.9884060621261597,0.9597008228302002
VI,1,3,feature,input,-1,3,input,0.48399999737739563,0.11101022362709045,-0.017485247924923897,0.6690602898597717,0.9814929366111755,0.9527939558029175
VI,1,4,feature,input,-1,4,input,0.4690000116825104,0.1072407141327858,-0.045501481741666794,0.6795260906219482,0.9779366254806519,0.9501112699508667
VI,1,5,feature,input,-1,5,input,0.515999972820282,0.12033906579017639,0.011979364790022373,0.6760875582695007,0.967452347278595,0.9431874752044678
VI,250,0,feature,input,-1,0,input,0.5519999861717224,0.2400486171245575,0.1517029106616974,1.2178711891174316,2.730069875717163,2.709266185760498
VI,250,1,feature,input,-1,1,input,0.5289999842643738,0.2124393880367279,0.05736171081662178,1.1689952611923218,1.1687414646148682,1.1065500974655151
VI,250,2,feature,input,-1,2,input,0.5540000200271606,0.21970608830451965,0.0971107929944992,1.1369086503982544,1.232912302017212,1.211643099784851
VI,250,3,feature,input,-1,3,input,0.5210000276565552,0.21596752107143402,0.0762951672077179,1.187282681465149,2.950486421585083,2.927845001220703
VI,250,4,feature,input,-1,4,input,0.5210000276565552,0.23784969747066498,0.12364844977855682,1.3033503293991089,1.169765830039978,1.1249467134475708
VI,250,5,feature,input,-1,5,input,0.515999972820282,0.20904001593589783,0.0870601162314415,1.1117019653320312,1.0698505640029907,1.0344469547271729
VI,500,0,feature,input,-1,0,input,0.5370000004768372,0.25634777545928955,0.16352203488349915,1.3668122291564941,2.744452953338623,2.7303857803344727
VI,500,1,feature,input,-1,1,input,0.5249999761581421,0.23058728873729706,0.07007911056280136,1.3169264793395996,1.339558720588684,1.2994229793548584
VI,500,2,feature,input,-1,2,input,0.5580000281333923,0.2501946985721588,0.1797652542591095,1.2596858739852905,1.2772042751312256,1.2719357013702393
VI,500,3,feature,input,-1,3,input,0.5630000233650208,0.2663443684577942,0.1910960078239441,1.3394502401351929,2.9906160831451416,2.9660515785217285
VI,500,4,feature,input,-1,4,input,0.5419999957084656,0.2381855845451355,0.1101255863904953,1.32793128490448,1.4108227491378784,1.3936970233917236
VI,500,5,feature,input,-1,5,input,0.5109999775886536,0.23489035665988922,0.07751346379518509,1.3133203983306885,1.3105168342590332,1.2866581678390503
