config_id,n_runs,tau_start,tau_end,q_entropy_weight,base_lr,stage_lr_decay,min_lr_scale,warmup_epochs,n_anneal_stages,min_stage_epochs,max_stage_epochs,moment_recovery_score_median,moment_recovery_score_mean,active_mean_zerr_median,active_mean_zerr_mean,active_sd_logerr_median,active_sd_logerr_mean,active_sd_ratio_median,active_sd_ratio_mean,active_marg_skl_median,active_marg_skl_mean,active_joint_skl_median,active_joint_skl_mean,softgate_absdiff_median,zero_soft_leakage_median,selected_epoch_median,selected_tau_median,precision_median,recall_median,f1_median,selected_size_median
E04,5,0.8,0.6,0.1,1e-05,0.95,0.9,300,4,300,300,0.9723192924000712,0.9750364029500801,0.9170854294810284,0.8770290764758805,0.0626754965503523,0.09800732647419949,1.0488937849318836,1.0468312662229335,0.658872171519892,0.6363031570813853,1.7906072330013525,3.989975902282338,0.0655871629714965,0.0254164561629295,601.0,0.6928203230275509,1.0,0.7,0.6666666666666666,7.0
E01,5,0.8,0.8,0.0,1e-05,0.95,0.9,300,1,1200,1200,0.9881290004137596,1.0338579904851013,0.9298584996859804,0.9138241491858391,0.0735482497504947,0.12003384129926213,1.0377210307369762,1.068422096571227,0.7036643146961837,0.6874511150641255,1.8096482171705943,4.2115728291608505,0.0817587291300296,0.0331457182765007,600.0,0.8,1.0,0.7,0.6666666666666666,7.0
E08,5,1.2,0.8,0.1,1e-05,0.95,0.9,300,4,300,300,1.0115547697498453,1.0861453368828027,0.8521367280369473,0.9018761945882575,0.1760553354368046,0.18426914229454522,1.0823232600189143,1.0512245606111605,0.8840960925397944,0.846122745204886,1.7472309762944782,4.488914528128314,0.120756549835205,0.0402495414018631,625.0,0.9797958971132712,1.0,0.6,0.5714285714285715,6.0
E07,5,1.2,0.8,0.0,1e-05,0.95,0.9,300,4,300,300,1.0133975805961053,1.0707434321360758,0.8863209597994068,0.9066240975955878,0.1741688544149352,0.16411933454048794,1.056650499142993,1.0229035762991239,0.9299885976856472,0.8906089712632671,1.8057167072848976,4.503511498736823,0.1252344354391098,0.0414603129029274,625.0,0.9797958971132712,1.0,0.6,0.5714285714285715,6.0
E02,5,0.8,0.8,0.1,1e-05,0.95,0.9,300,1,1200,1200,1.0179308977316788,1.0397955626742568,0.941113560286832,0.9036245110086858,0.1154431177521483,0.13617105166557092,1.1007424019854395,1.0823486456139892,0.569972939446953,0.6088600234357988,1.8125735080096077,4.09047355413044,0.084080263286829,0.0320196598768234,600.0,0.8,1.0,0.7,0.6666666666666666,7.0
E03,5,0.8,0.6,0.0,1e-05,0.95,0.9,300,4,300,300,1.022691838589459,0.9826035700451434,0.8925371629753016,0.8393730798634144,0.1498075512196787,0.14323049018172923,1.0985339048039426,1.0992191094509987,0.6006968024103996,0.6006574345944453,1.801620112845117,3.9431019767365543,0.0739114992320537,0.0278473813086748,600.0,0.7444838872816797,1.0,0.7,0.8235294117647058,7.0
E05,5,1.2,1.2,0.0,1e-05,0.95,0.9,300,1,1200,1200,1.0530708004788665,1.0990375320212826,0.9073647940033028,0.9347594883719827,0.1457060064755634,0.16427804364929974,1.0654240243762274,1.0240746247639816,1.116161798236613,0.9816584176806249,2.1163016299296085,5.205962895737476,0.1654729545116424,0.0537143722176551,625.0,1.2,1.0,0.6,0.3333333333333333,6.0
E06,5,1.2,1.2,0.1,1e-05,0.95,0.9,300,1,1200,1200,1.065760625360494,1.1113478466650453,0.8862455197306811,0.9302369593499147,0.1760553354368046,0.1811108873151306,1.0823232600189143,1.0541431957994791,1.0711838369681708,0.9433750184915164,1.9833129325790244,5.167522751575369,0.1620553210377693,0.0498959422111511,625.0,1.2,1.0,0.6,0.3333333333333333,6.0
