config_id,n_runs,tau_start,tau_end,q_entropy_weight,base_lr,stage_lr_decay,min_lr_scale,warmup_epochs,n_anneal_stages,min_stage_epochs,max_stage_epochs,moment_recovery_score_median,active_mean_zerr_median,active_sd_logerr_median,active_sd_ratio_median,active_marg_skl_median,active_joint_skl_median,selected_epoch_median,selected_tau_median,f1_median,selected_size_median
E04,5,0.8,0.6,0.1,1e-05,0.95,0.9,300,4,300,300,0.9723192924000712,0.9170854294810284,0.0626754965503523,1.0488937849318836,0.658872171519892,1.7906072330013525,601.0,0.6928203230275509,0.6666666666666666,7.0
E01,5,0.8,0.8,0.0,1e-05,0.95,0.9,300,1,1200,1200,0.9881290004137596,0.9298584996859804,0.0735482497504947,1.0377210307369762,0.7036643146961837,1.8096482171705943,600.0,0.8,0.6666666666666666,7.0
E08,5,1.2,0.8,0.1,1e-05,0.95,0.9,300,4,300,300,1.0115547697498453,0.8521367280369473,0.1760553354368046,1.0823232600189143,0.8840960925397944,1.7472309762944782,625.0,0.9797958971132712,0.5714285714285715,6.0
E07,5,1.2,0.8,0.0,1e-05,0.95,0.9,300,4,300,300,1.0133975805961053,0.8863209597994068,0.1741688544149352,1.056650499142993,0.9299885976856472,1.8057167072848976,625.0,0.9797958971132712,0.5714285714285715,6.0
E02,5,0.8,0.8,0.1,1e-05,0.95,0.9,300,1,1200,1200,1.0179308977316788,0.941113560286832,0.1154431177521483,1.1007424019854395,0.569972939446953,1.8125735080096077,600.0,0.8,0.6666666666666666,7.0
E03,5,0.8,0.6,0.0,1e-05,0.95,0.9,300,4,300,300,1.022691838589459,0.8925371629753016,0.1498075512196787,1.0985339048039426,0.6006968024103996,1.801620112845117,600.0,0.7444838872816797,0.8235294117647058,7.0
E05,5,1.2,1.2,0.0,1e-05,0.95,0.9,300,1,1200,1200,1.0530708004788665,0.9073647940033028,0.1457060064755634,1.0654240243762274,1.116161798236613,2.1163016299296085,625.0,1.2,0.3333333333333333,6.0
E06,5,1.2,1.2,0.1,1e-05,0.95,0.9,300,1,1200,1200,1.065760625360494,0.8862455197306811,0.1760553354368046,1.0823232600189143,1.0711838369681708,1.9833129325790244,625.0,1.2,0.3333333333333333,6.0
