environment,N,mean_time_s,ci_low_s,ci_high_s,time_95ci_s
$n>p$,100,8328.28378,8224.10025625,8437.466319000001,"8328.3 [8224.1, 8437.5]"
$p\gg n$,99,28604.83973737374,28189.02199267677,29030.52107272727,"28604.8 [28189.0, 29030.5]"
