activation,reference,pip_rmse_truth,pip_rmse_mcmc,true_active_skl,true_active_skl_mean,zero_js,zero_js_mean,n_truth_active,n_truth_zero,n_valid_true_active_skl,selection_mode,reference_compatibility,rmse_with_mcmc,true_skl,conditional_joint_skl,rat_joint_active_draws,mcmc_joint_active_draws,rat_joint_active_prob,mcmc_joint_active_prob,rat_test_signal_r2,rat_test_signal_mse,mcmc_reference_signal_r2,mcmc_reference_mse,elbo,train_time_sec,posterior_sampling_time_sec,posterior_sampling_time_iqr_sec,trainable_params,flow_trainable_params,mcmc_sampling_time_sec,mcmc_reference_draw_r2_median,mcmc_reference_draw_r2_positive_prob,mcmc_reference_zero_function_prob,mcmc_reference_constant_function_prob,mcmc_reference_corr2,mcmc_reference_function_energy_mean,mcmc_reference_function_energy_median
relu,matched,0.2834936471951356,0.38256998314033996,0.4424333729389925,0.4424333729389925,0.16789964919087463,0.15918025687219206,2,3,2,unit_group,exact,0.38256998314033996,0.4424333729389925,1.1003355151898122,5000,5000,1.0,1.0,0.9604509472846985,0.09888245910406113,0.9786601662635803,0.0533549003303051,-160.8804931640625,270.33908629999496,0.36003569996682927,0.005334849993232638,165452,165408,86.2231102999649,,,,,,,
relu,hard,0.2834936471951356,0.36570699747201996,0.7895487138903481,0.7895487138903481,0.16231234807262904,0.14557490719983468,2,3,2,unit_group,structural,0.36570699747201996,0.7895487138903481,3.1613021157102805,5000,5000,1.0,1.0,0.9604509472846985,0.09888245910406113,0.9791954755783081,0.05201651528477669,-160.8804931640625,270.33908629999496,0.36003569996682927,0.005334849993232638,165452,165408,69.20268630003557,0.9642804265022278,1.0,0.0,0.0,0.9876039624214172,15.826563835144043,15.799488067626953
normalized_requ,matched,0.5455212113199632,0.20284447244132633,0.19426016751326328,0.19426016751326328,0.04829540344686555,0.04714197416409544,2,3,2,unit_group,exact,0.20284447244132633,0.19426016751326328,0.47306179947664595,5000,5000,1.0,1.0,0.9798421263694763,0.05039965361356735,0.9791035056114197,0.0522463358938694,-160.58169555664062,269.17425409995485,0.36006020003696904,0.0016905500087887049,165452,165408,76.35899070004234,,,,,,,
normalized_requ,hard,0.5455212113199632,0.06786893250965421,0.5665120852985929,0.5665120852985929,0.0029380092058847156,0.0042721374901373895,2,3,2,unit_group,structural,0.06786893250965421,0.5665120852985929,1.884166156807597,5000,5000,1.0,1.0,0.9798421263694763,0.05039965361356735,0.9791954755783081,0.05201651528477669,-160.58169555664062,269.17425409995485,0.36006020003696904,0.0016905500087887049,165452,165408,69.20268630003557,0.9642804265022278,1.0,0.0,0.0,0.9876039624214172,15.826563835144043,15.799488067626953
smooth_step,matched,0.5180712306237435,0.13262449245897232,0.3193000347756056,0.3193000347756056,0.021418035246860187,0.019444521169732523,2,3,2,unit_group,exact,0.13262449245897232,0.3193000347756056,0.7771861748012155,5000,5000,1.0,1.0,0.9672399163246155,0.08190825581550598,0.9804134368896484,0.04897124320268631,-161.20896911621094,264.26707969995914,0.36785429995507,0.004074650001712143,165452,165408,103.98420250002528,,,,,,,
smooth_step,hard,0.5180712306237435,0.09782600881156299,0.6697027619022782,0.6697027619022782,0.009264738934898008,0.009437464270643839,2,3,2,unit_group,structural,0.09782600881156299,0.6697027619022782,1.5053404808515063,5000,5000,1.0,1.0,0.9672399163246155,0.08190825581550598,0.9791954755783081,0.05201651528477669,-161.20896911621094,264.26707969995914,0.36785429995507,0.004074650001712143,165452,165408,69.20268630003557,0.9642804265022278,1.0,0.0,0.0,0.9876039624214172,15.826563835144043,15.799488067626953
