stage,tau,best_ckpt_id,best_epoch,best_val_mse,best_support_size,n_evals,best_moment_recovery_score,best_active_mean_zerr_median,best_active_sd_logerr_median,best_active_sd_ratio_median,best_active_marg_skl_median,best_active_joint_skl_median,best_softgate_absdiff_median,best_zero_soft_leakage_median
0,1.2,12,300,6.764947891235352,62,13,1.8633868579507158,1.4707769321584034,0.3926099257923124,1.1135859496294138,1.5566764015963295,7.339570609030452,0.5512303709983826,0.12576839327812195
1,1.0843224043318138,23,550,8.547281265258789,3,13,1.0690339669758,0.7961427506400396,0.27289121633576036,1.1863731639431878,0.8579062990523056,2.032783543133573,0.1640019446015358,0.03153029829263687
2,0.9797958971132713,27,625,8.671080589294434,3,13,0.9950163332157418,0.7566334880260719,0.23838284518966993,1.094073385672345,0.8840960925397944,1.3372360199762747,0.14789681106805802,0.0348358228802681
3,0.8853455357602574,39,901,9.749526977539062,2,13,1.9570583772900303,1.6414229445541384,0.31563543273589195,0.7300470843742346,3.860649650068294,6.366793066473776,0.09527517855167389,0.0446595698595047
4,0.8000000000000002,52,1201,9.39931583404541,2,13,2.345350879900503,1.8362013501492105,0.5091495297512924,0.6011302506782383,3.689560761571411,7.841689618540119,0.0824398084282875,0.06739287823438644
