method,target,pip,expected_active_count
VI,unit_rank_1,1.0,2.134000062942505
VI,unit_rank_2,0.9998000264167786,2.134000062942505
VI,unit_rank_3,0.12060000002384186,2.134000062942505
VI,unit_rank_4,0.013000000268220901,2.134000062942505
VI,unit_rank_5,0.0006000000284984708,2.134000062942505
matched_MCMC,unit_rank_1,1.0,3.145050048828125
matched_MCMC,unit_rank_2,1.0,3.145050048828125
matched_MCMC,unit_rank_3,0.7218000292778015,3.145050048828125
matched_MCMC,unit_rank_4,0.3390499949455261,3.145050048828125
matched_MCMC,unit_rank_5,0.08420000225305557,3.145050048828125
hard_MCMC,unit_rank_1,1.0,2.5215001106262207
hard_MCMC,unit_rank_2,1.0,2.5215001106262207
hard_MCMC,unit_rank_3,0.4031499922275543,2.5215001106262207
hard_MCMC,unit_rank_4,0.10220000147819519,2.5215001106262207
hard_MCMC,unit_rank_5,0.01614999957382679,2.5215001106262207
