"method","setting","seed","replicate_id","j0","j1","beta_true","truth","pip","selected","effect_mean"
"mcmc","simple",452,452,0,1,0,0,0.000125,0,0.0128128277940005
"mcmc","simple",452,452,1,2,0,0,0,0,0.0148702996007428
"mcmc","simple",452,452,2,3,0,0,0,0,0.00582084278336539
"mcmc","simple",452,452,3,4,0,0,0,0,-0.0013160280651684
"mcmc","simple",452,452,4,5,0,0,0.03025,0,0.183044293824146
"mcmc","simple",452,452,5,6,0,0,0,0,0.0128648464601981
"mcmc","simple",452,452,6,7,0,0,0,0,-0.00728925129610342
"mcmc","simple",452,452,7,8,0,0,0.006125,0,-0.0697009836923587
"mcmc","simple",452,452,8,9,0,0,0,0,0.00681785302862281
"mcmc","simple",452,452,9,10,0,0,0,0,0.00444957246129684
"mcmc","simple",452,452,10,11,-1.1652707,1,1,1,-1.32695460832229
"mcmc","simple",452,452,11,12,-0.56720024,1,0.04775,0,-0.265156967375352
"mcmc","simple",452,452,12,13,0,0,0.000125,0,0.0210428174857003
"mcmc","simple",452,452,13,14,0,0,0.000125,0,-0.0145200114478522
"mcmc","simple",452,452,14,15,0,0,0,0,0.00293153296754261
"mcmc","simple",452,452,15,16,0,0,0.00025,0,-0.00990536711119039
"mcmc","simple",452,452,16,17,0,0,0.00075,0,-0.033839090343674
"mcmc","simple",452,452,17,18,0,0,0,0,-0.00511421515212839
"mcmc","simple",452,452,18,19,0,0,0.002625,0,-0.0498484968900254
"mcmc","simple",452,452,19,20,0,0,0,0,-0.00313444383663851
"mcmc","simple",452,452,20,21,0,0,0.001375,0,0.0274205303182962
"mcmc","simple",452,452,21,22,0,0,0,0,-0.00631667800863823
"mcmc","simple",452,452,22,23,0,0,0,0,-0.0112104863950173
"mcmc","simple",452,452,23,24,0,0,0,0,0.00893202731213651
"mcmc","simple",452,452,24,25,0,0,0,0,0.00663560220518424
"mcmc","simple",452,452,25,26,0,0,0,0,-0.00739114730118504
"mcmc","simple",452,452,26,27,0,0,0.000125,0,-0.0180774553224361
"mcmc","simple",452,452,27,28,0,0,0,0,-0.00502141260102314
"mcmc","simple",452,452,28,29,0,0,0,0,0.000457608576390942
"mcmc","simple",452,452,29,30,0,0,0,0,-0.00389291179029964
"mcmc","simple",452,452,30,31,0,0,0,0,-0.000331450616352037
"mcmc","simple",452,452,31,32,0,0,0,0,0.0099192757019033
"mcmc","simple",452,452,32,33,0,0,0,0,-0.000229690322783617
"mcmc","simple",452,452,33,34,0,0,0.00025,0,-0.0088625378444101
"mcmc","simple",452,452,34,35,0.79367477,1,0.96225,1,0.743265296577229
"mcmc","simple",452,452,35,36,0,0,0,0,-0.00672668221010851
"mcmc","simple",452,452,36,37,0,0,0.00025,0,0.0201721289819636
"mcmc","simple",452,452,37,38,0,0,0,0,-0.00146391462110438
"mcmc","simple",452,452,38,39,0,0,0,0,0.00742374657954957
"mcmc","simple",452,452,39,40,0,0,0,0,-0.00561326987447579
