target,label,chain,pip
29,edge_W1_4_5,1,0.5588
29,edge_W1_4_5,2,0.579
29,edge_W1_4_5,3,0.6282
29,edge_W1_4_5,4,0.712
29,edge_W1_4_5,pooled,0.6195
30,edge_W2_0_0,1,0.6238
30,edge_W2_0_0,2,0.641
30,edge_W2_0_0,3,0.6904
30,edge_W2_0_0,4,0.7342
30,edge_W2_0_0,pooled,0.67235
31,edge_W2_0_1,1,0.6256
31,edge_W2_0_1,2,0.598
31,edge_W2_0_1,3,0.6596
31,edge_W2_0_1,4,0.7682
31,edge_W2_0_1,pooled,0.66285
32,edge_W2_0_2,1,0.6606
32,edge_W2_0_2,2,0.7144
32,edge_W2_0_2,3,0.7316
32,edge_W2_0_2,4,0.7812
32,edge_W2_0_2,pooled,0.72195
33,edge_W2_0_3,1,0.6198
33,edge_W2_0_3,2,0.588
33,edge_W2_0_3,3,0.7212
33,edge_W2_0_3,4,0.7492
33,edge_W2_0_3,pooled,0.66955
34,edge_W2_0_4,1,0.6224
34,edge_W2_0_4,2,0.6368
34,edge_W2_0_4,3,0.673
34,edge_W2_0_4,4,0.7378
34,edge_W2_0_4,pooled,0.6675
35,edge_W2_1_0,1,0.6182
35,edge_W2_1_0,2,0.6758
35,edge_W2_1_0,3,0.6696
35,edge_W2_1_0,4,0.8088
35,edge_W2_1_0,pooled,0.6931
36,edge_W2_1_1,1,0.624
36,edge_W2_1_1,2,0.6102
36,edge_W2_1_1,3,0.6864
36,edge_W2_1_1,4,0.6998
36,edge_W2_1_1,pooled,0.6551
37,edge_W2_1_2,1,0.614
37,edge_W2_1_2,2,0.6952
37,edge_W2_1_2,3,0.6788
37,edge_W2_1_2,4,0.766
37,edge_W2_1_2,pooled,0.6885
38,edge_W2_1_3,1,0.6182
38,edge_W2_1_3,2,0.5942
38,edge_W2_1_3,3,0.66
38,edge_W2_1_3,4,0.8324
38,edge_W2_1_3,pooled,0.6762
39,edge_W2_1_4,1,0.6204
39,edge_W2_1_4,2,0.612
39,edge_W2_1_4,3,0.7058
39,edge_W2_1_4,4,0.7022
39,edge_W2_1_4,pooled,0.6601
40,edge_W2_2_0,1,0.6314
40,edge_W2_2_0,2,0.6438
40,edge_W2_2_0,3,0.6798
40,edge_W2_2_0,4,0.7438
40,edge_W2_2_0,pooled,0.6747
41,edge_W2_2_1,1,0.6208
41,edge_W2_2_1,2,0.735
41,edge_W2_2_1,3,0.691
41,edge_W2_2_1,4,0.736
41,edge_W2_2_1,pooled,0.6957
42,edge_W2_2_2,1,0.6148
42,edge_W2_2_2,2,0.7226
42,edge_W2_2_2,3,0.698
42,edge_W2_2_2,4,0.7328
42,edge_W2_2_2,pooled,0.69205
43,edge_W2_2_3,1,0.617
43,edge_W2_2_3,2,0.5998
43,edge_W2_2_3,3,0.7262
43,edge_W2_2_3,4,0.736
43,edge_W2_2_3,pooled,0.66975
44,edge_W2_2_4,1,0.6156
44,edge_W2_2_4,2,0.5972
44,edge_W2_2_4,3,0.7074
44,edge_W2_2_4,4,0.7372
44,edge_W2_2_4,pooled,0.66435
45,edge_W2_3_0,1,0.7108
45,edge_W2_3_0,2,0.663
45,edge_W2_3_0,3,0.658
45,edge_W2_3_0,4,0.7238
45,edge_W2_3_0,pooled,0.6889
46,edge_W2_3_1,1,0.8162
46,edge_W2_3_1,2,0.6198
46,edge_W2_3_1,3,0.6858
46,edge_W2_3_1,4,0.7412
46,edge_W2_3_1,pooled,0.71575
47,edge_W2_3_2,1,0.7386
47,edge_W2_3_2,2,0.5942
47,edge_W2_3_2,3,0.8534
47,edge_W2_3_2,4,0.7324
47,edge_W2_3_2,pooled,0.72965
48,edge_W2_3_3,1,0.596
48,edge_W2_3_3,2,0.6054
48,edge_W2_3_3,3,0.6292
48,edge_W2_3_3,4,0.727
48,edge_W2_3_3,pooled,0.6394
49,edge_W2_3_4,1,0.6076
49,edge_W2_3_4,2,0.5926
49,edge_W2_3_4,3,0.8266
49,edge_W2_3_4,4,0.7128
49,edge_W2_3_4,pooled,0.6849
50,edge_W2_4_0,1,0.6078
50,edge_W2_4_0,2,0.6058
50,edge_W2_4_0,3,0.698
50,edge_W2_4_0,4,0.7192
50,edge_W2_4_0,pooled,0.6577
51,edge_W2_4_1,1,0.6666
51,edge_W2_4_1,2,0.6034
51,edge_W2_4_1,3,0.6774
51,edge_W2_4_1,4,0.7808
51,edge_W2_4_1,pooled,0.68205
52,edge_W2_4_2,1,0.7004
52,edge_W2_4_2,2,0.624
52,edge_W2_4_2,3,0.6882
52,edge_W2_4_2,4,0.7994
52,edge_W2_4_2,pooled,0.703
53,edge_W2_4_3,1,0.6176
53,edge_W2_4_3,2,0.6236
53,edge_W2_4_3,3,0.6816
53,edge_W2_4_3,4,0.736
53,edge_W2_4_3,pooled,0.6647
54,edge_W2_4_4,1,0.6628
54,edge_W2_4_4,2,0.602
54,edge_W2_4_4,3,0.697
54,edge_W2_4_4,4,0.7278
54,edge_W2_4_4,pooled,0.6724
55,edge_W3_0_0,1,0.6308
55,edge_W3_0_0,2,0.72
55,edge_W3_0_0,3,0.6936
55,edge_W3_0_0,4,0.7948
55,edge_W3_0_0,pooled,0.7098
56,edge_W3_0_1,1,0.612
56,edge_W3_0_1,2,0.707
56,edge_W3_0_1,3,0.6974
56,edge_W3_0_1,4,0.861
56,edge_W3_0_1,pooled,0.71935
57,edge_W3_0_2,1,0.5928
57,edge_W3_0_2,2,0.7856
57,edge_W3_0_2,3,0.7338
57,edge_W3_0_2,4,0.7122
57,edge_W3_0_2,pooled,0.7061
58,edge_W3_0_3,1,0.8954
58,edge_W3_0_3,2,0.6786
58,edge_W3_0_3,3,0.8868
58,edge_W3_0_3,4,0.7396
58,edge_W3_0_3,pooled,0.8001
59,edge_W3_0_4,1,0.716
59,edge_W3_0_4,2,0.6238
59,edge_W3_0_4,3,0.6532
59,edge_W3_0_4,4,0.8224
59,edge_W3_0_4,pooled,0.70385
