variable,mean,sd,rhat,ess,mcse
xi_0,-0.07564152750687912,0.4454217313907099,1.0178134471670353,196.4832517295563,0.03177668824781409
xi_1,0.24252128581126517,0.8672799964729074,1.0130858134199938,181.71805747883295,0.0643369230695469
xi_2,0.004906460381182667,1.0000363921961672,1.000025057146954,20000.0,0.007071325143552396
xi_3,-6.652562078485858e-06,0.9954080230077503,0.9998985977467201,19170.83351835778,0.0071892012139460094
xi_4,-0.42286971935380496,0.9501909789211428,1.0162870672101036,120.11475483223519,0.08669872751337497
xi_5,-0.011370797822753255,1.0070603760232462,1.000012785550292,19490.287468090006,0.0072135058133006484
xi_6,0.01258754718859985,0.9880539182054594,0.9999073140961726,19724.065969755415,0.007035296762142891
xi_7,0.24009042417183715,0.8280388078233767,1.0161771408503928,246.7611932941441,0.05271233572052093
xi_8,0.004648781441145779,0.9973248966367999,0.9999499167849841,19287.153771208603,0.007181292051632968
xi_9,0.004586833792342712,0.9933762749056558,0.9999526513626162,20000.0,0.007024231002556213
xi_10,-0.39198064285123685,0.9440311427569263,1.0274214777691584,123.90278254261555,0.08480975169867813
xi_11,-0.013207978812008912,0.9987072837975524,1.0000378780981811,19423.43067375867,0.007165974318035546
xi_12,0.0011912091987790734,0.9735104280615149,0.9999309193428851,17977.79653769551,0.0072605977618819565
xi_13,0.32071668967449324,0.9054655767213385,1.0294991522332153,145.47954235370452,0.07507078914554978
xi_14,0.003331230033702528,1.0017365151935187,1.0000304663908712,18834.436894723807,0.007299232288838406
xi_15,0.0058518775109926875,1.0099853722606877,1.0000273499941694,19513.63212046491,0.007230128687522116
xi_16,-0.33044238993675756,0.8867220138586182,1.011329677164819,175.5507524658784,0.06692465526543825
xi_17,-0.005749249146822446,1.0007875415331406,1.000186705689607,20000.0,0.007076636571450973
xi_18,-0.00927204924719998,0.9848976569270672,1.0000791780442453,20000.0,0.00696427811987871
xi_19,0.24981592002000497,0.8364811662140741,1.046734087569038,104.46026048055569,0.08184282559488214
xi_20,-0.007441900537700046,1.001731559440835,0.9998633417460121,20000.0,0.007083311786091895
xi_21,-0.0005190136842922623,1.0046402150432145,1.0000024497434026,18101.970814647866,0.0074670253975909675
xi_22,-0.3862966824286827,1.0155746234611263,1.047748719692468,91.22820801513083,0.10632790779444184
xi_23,0.006971014097867032,1.0086202044369579,1.0002061521805867,20000.0,0.007132021861991348
xi_24,-0.004294372171959673,1.001722917962891,0.9999253479820447,19714.62045747247,0.007134333380710909
xi_25,0.3171571881594591,0.9003640391836271,1.033040070464831,190.40800586059692,0.06524925216032497
xi_26,-0.0005506958277421965,1.0017366799214718,0.9998553308448648,20000.0,0.007083347993357707
xi_27,0.006962649323566666,1.0028847459026626,1.0002231241107082,18911.26344946631,0.0072927403837708795
xi_28,-0.3919098798220867,0.9253295336247347,1.0087874005442534,165.1314094468689,0.07200813780717809
xi_29,0.0020034311431673764,1.0014688265331624,1.0002547786787368,20000.0,0.007081453983885333
xi_30,0.0071562878159405355,0.976598104705517,1.0000011671896625,19025.83053699266,0.007080176186634738
xi_31,-0.1326528420549303,0.8251404620678038,1.0083350114535883,620.4471044074288,0.03312649620540127
xi_32,-0.12588928573074504,0.8589201103683732,1.0029814447359287,524.5579222024944,0.03750213959203991
xi_33,-0.07050143681115009,0.8476491249798844,1.0027865700201621,647.669271850122,0.03330730328795747
xi_34,-0.06246462763821484,0.8583236666892362,1.0168963356561356,475.80318354116474,0.039349336682976466
xi_35,-0.13750085764686013,0.8309835483468753,1.0100382814311668,572.191499507374,0.03473935294158433
xi_36,0.43706515712570526,0.6920935710865157,1.0222742885360132,143.28944603486488,0.057817287547131585
xi_37,0.3681727768597305,0.7180812706155808,1.01780650074035,119.12796704947387,0.06579103735016607
xi_38,0.431423410258084,0.6422431937601284,1.0082867838720202,250.8714252679366,0.04054841772527498
xi_39,0.39533790050802814,0.6953527784412313,1.051470952879693,128.8827705166511,0.06125023547501884
xi_40,0.39318681588389487,0.6640273694442081,1.0167360372004206,204.31943579431743,0.04645485831837631
xi_41,1.0474832363035,0.6403387889523613,1.0010244277703375,3158.587275954595,0.011393662992681913
xi_42,-0.6143017085889908,0.7357677824240967,1.0009770859815028,6035.506373598692,0.00947073992621709
xi_43,-0.6201468090540536,0.7375513595047819,1.0006223141653638,5290.200640906378,0.010140425903112643
xi_44,1.059171805341588,0.6503545096875933,1.0007891642426174,2974.3920205073387,0.011924798586523047
xi_45,-0.6223132255290524,0.7388343510525842,1.001263252490854,5030.695385992864,0.01041676984263954
xi_46,-0.5983742559248904,0.7266755787494855,1.0004560066930317,5314.429734877432,0.009968096426761993
xi_47,0.34442856181534665,0.4753691020740852,1.0027661155158756,1902.9402886198477,0.010897286514587707
