run_id,seed,selector,ckpt_id,epoch,tau,score,oracle_score,regret,ratio,final_score
F01_seed_409,409,min_loss_ema,61,1500,0.8,0.88773882,0.48102722,0.40671160000000006,1.8455064143771325,0.88773882
F01_seed_410,410,oracle,34,825,0.8,0.30163673,0.30163673,0.0,1.0,1.71871053
F01_seed_410,410,lasso,27,650,0.8,0.64597832,0.30163673,0.34434159,2.1415771215925856,1.71871053
F01_seed_410,410,final,61,1500,0.8,1.71871053,0.30163673,1.4170738,5.6979484229258155,1.71871053
F01_seed_410,410,min_loss,61,1500,0.8,1.71871053,0.30163673,1.4170738,5.6979484229258155,1.71871053
F01_seed_410,410,min_loss_ema,61,1500,0.8,1.71871053,0.30163673,1.4170738,5.6979484229258155,1.71871053
F01_seed_411,411,oracle,27,650,0.8,1.23997881,1.23997881,0.0,1.0,1.87460712
F01_seed_411,411,lasso,28,675,0.8,1.40147374,1.23997881,0.16149492999999993,1.1302400724089792,1.87460712
F01_seed_411,411,final,61,1500,0.8,1.87460712,1.23997881,0.6346283100000001,1.5118057702937682,1.87460712
F01_seed_411,411,min_loss,61,1500,0.8,1.87460712,1.23997881,0.6346283100000001,1.5118057702937682,1.87460712
F01_seed_411,411,min_loss_ema,61,1500,0.8,1.87460712,1.23997881,0.6346283100000001,1.5118057702937682,1.87460712
F01_seed_412,412,oracle,32,775,0.8,0.89099362,0.89099362,0.0,1.0,1.31253434
F01_seed_412,412,lasso,32,775,0.8,0.89099362,0.89099362,0.0,1.0,1.31253434
F01_seed_412,412,final,61,1500,0.8,1.31253434,0.89099362,0.42154072,1.4731130622461697,1.31253434
F01_seed_412,412,min_loss,60,1475,0.8,1.17861953,0.89099362,0.28762590999999993,1.3228147806490465,1.31253434
F01_seed_412,412,min_loss_ema,61,1500,0.8,1.31253434,0.89099362,0.42154072,1.4731130622461697,1.31253434
F01_seed_413,413,oracle,38,925,0.8,0.6806334,0.6806334,0.0,1.0,1.27138416
F01_seed_413,413,lasso,33,800,0.8,0.69625224,0.6806334,0.015618839999999912,1.0229475074247016,1.27138416
F01_seed_413,413,final,61,1500,0.8,1.27138416,0.6806334,0.5907507599999999,1.8679426545920312,1.27138416
