fold,train_rows,test_rows,train_runs,test_runs,inner_splits,best_alpha,best_neg_mse,elapsed_sec
1,4960,1240,80,20,4,0.0013990503141372943,-0.333126840956549,3.330359935760498
2,4960,1240,80,20,4,0.0013990503141372943,-0.29619578157707493,2.994112253189087
3,4960,1240,80,20,4,0.0013990503141372943,-0.31252153921151204,3.120476007461548
4,4960,1240,80,20,4,0.0019573417814876598,-0.3207647644652476,3.056990146636963
5,4960,1240,80,20,4,0.0013990503141372943,-0.2888080960072097,3.0880355834960938
