support_idx,support_size,loss,loss_ema,log_grad_ema,val_mse,val_rmse,val_mae,val_r2,val_heldout_loglik,val_nll,dS,churn,pred_improve_rel,loss_improve_rel,grad_slope,expected_support_soft,softgate_entropy,beta_soft_sd_mean,beta_soft_abs_mean,softgate_churn,softgate_mean,softgate_sd,softgate_q05,softgate_q25,softgate_q50,softgate_q75,softgate_q95,softgate_mean_j_q05,softgate_mean_j_q25,softgate_mean_j_q50,softgate_mean_j_q75,softgate_mean_j_q95,softgate_mean_j_sum,softgate_sd_j_median,softgate_sd_j_q90,gate_entropy_mean,gate_entropy_median,gate_entropy_q90,beta_abs_mean,beta_abs_median,beta_abs_q75,beta_abs_q90,beta_abs_q95,beta_mean_abs_j_median,beta_mean_abs_j_q90,beta_mean_abs_j_q95,beta_soft_sd_j_mean,beta_soft_sd_j_median,beta_soft_sd_j_q75,beta_soft_sd_j_q90,beta_soft_sd_j_q95,beta_l2_draw_mean,beta_l2_draw_sd,pip_hard_mean,pip_hard_q50,pip_hard_q75,pip_hard_q90,pip_hard_q95,expected_support_softgate,expected_support_hard,ckpt_id,stage,is_warmup,epoch,epoch_in_stage,tau,lr,grad_norm,log_grad,lasso_recovery_score,alert,best_so_far
"[3, 15, 21, 26, 51, 55, 65, 68, 73, 80, 87, 95]",12,1412.74108887,1412.74108887,7.88940683,21.62430763,4.65019437,3.91817737,-0.13298159,-9.18467712,9.18467712,0,0.0,0.0,0.0,0.0,49.77112198,0.69058108,0.04073732,0.03249205,0.0,0.49771118,0.03570258,0.43859139,0.47353095,0.49773568,0.52204901,0.55681252,0.49481657,0.49661338,0.4977892,0.49898219,0.49999481,49.77112198,0.03561509,0.03766201,0.69058108,0.69196868,0.69310534,0.03249205,0.02730181,0.0469261,0.0671806,0.0800992,0.00180527,0.00458772,0.0054823,0.04073732,0.04092931,0.0419961,0.0430378,0.0432581,0.40668479,0.03268666,0.47464845,0.47851562,0.4921875,0.5042969,0.51171875,49.77112198,47.46484375,0,0,True,1,1,0.8,1e-05,2668.86035156,7.88940683,11.84521572,False,True
"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 18, 19, 20, 21, 22, 23, 24, 27, 29, 30, 31, 33, 34, 36, 38, 40, 41, 42, 43, 44, 46, 49, 50, 51, 52, 54, 55, 56, 59, 60, 61, 62, 63, 64, 65, 67, 68, 72, 73, 74, 75, 76, 78, 79, 80, 81, 83, 84, 85, 86, 87, 88, 89, 91, 92, 95, 96, 98, 99]",72,1291.96057129,1335.22650546,7.87423209,21.29805565,4.61498165,3.91197824,-0.11588798,-8.41271591,8.41271591,60,0.84931507,0.01508728,0.08549374,-0.01517474,50.62456512,0.69007653,0.04401299,0.04198398,0.01213152,0.50624573,0.03862348,0.44246781,0.48018879,0.50631684,0.53274626,0.56941444,0.48682502,0.49515566,0.51041472,0.51473713,0.51770556,50.62457275,0.03697984,0.03894183,0.69007659,0.69172382,0.6930995,0.04198399,0.03600463,0.06098016,0.08578138,0.10087108,0.0283518,0.03220681,0.03362247,0.04401299,0.04421218,0.04533217,0.04665729,0.04719767,0.52121556,0.04293534,0.56546873,0.60742188,0.65234375,0.6796875,0.68789059,50.62457275,56.546875,1,0,True,25,25,0.8,1e-05,2647.20898438,7.88126115,11.54223338,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 98, 99]",88,1151.85192871,1203.29018137,7.91458932,21.6353817,4.65138492,3.97157526,-0.13356181,-7.7973671,7.7973671,16,0.18181818,0.0,0.10844653,0.04035723,54.25959778,0.68456632,0.05002683,0.06622768,0.03635429,0.54259604,0.04946789,0.45730209,0.50940681,0.54529434,0.57772183,0.62042791,0.49005276,0.51751763,0.55843502,0.56344622,0.56791884,54.25959778,0.04110445,0.04249948,0.68456632,0.68816876,0.69295478,0.06622768,0.0607927,0.09458598,0.1272897,0.1467652,0.06541816,0.0710609,0.07205204,0.05002683,0.05024463,0.05319346,0.0540073,0.05465321,0.79282528,0.06171768,0.80031252,0.91210938,0.9375,0.94921875,0.953125,54.25959778,80.03125,2,0,True,50,50,0.8,1e-05,2787.765625,7.9329957,11.00545708,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 98, 99]",90,980.14404297,1045.40274806,7.95787952,22.36872482,4.72955863,4.06108427,-0.17198451,-7.0332036,7.0332036,2,0.02222222,0.0,0.14907114,0.0432902,58.75286865,0.66855466,0.05968308,0.10963672,0.04525188,0.58752865,0.06670684,0.46516284,0.5425033,0.59833646,0.63715672,0.68254268,0.4890804,0.53769916,0.62081349,0.62583864,0.63031149,58.75286865,0.0411122,0.04370152,0.66855478,0.67351222,0.69237745,0.10963672,0.10567506,0.1519793,0.19424683,0.22017422,0.11920758,0.13175578,0.13523939,0.0596831,0.06182455,0.06478935,0.0661443,0.06691139,1.25969613,0.08937178,0.87406248,0.99609375,1.0,1.0,1.0,58.75286865,87.40625,3,0,True,75,75,0.8,1e-05,2871.14868164,7.96246747,10.14152214,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 98, 99]",94,782.33282471,857.13483652,7.88306238,24.52682304,4.95245626,4.1774683,-0.28505567,-7.35434437,7.35434437,4,0.04255319,0.0,0.20181852,-0.07481714,64.8775177,0.62918669,0.07273234,0.18456607,0.06124654,0.64877516,0.09355921,0.47384682,0.57163727,0.68008572,0.72014165,0.76205093,0.49833915,0.55794799,0.70362949,0.70942867,0.71411186,64.87752533,0.04026755,0.04655828,0.62918669,0.62680477,0.69184947,0.18456607,0.18457414,0.25063822,0.30989519,0.34357965,0.20712309,0.24557421,0.25029099,0.07273234,0.07647692,0.08225185,0.08492144,0.08673503,2.07268834,0.12546048,0.90441406,1.0,1.0,1.0,1.0,64.87752533,90.44140625,4,0,True,100,100,0.8,1e-05,2428.84936523,7.79517291,8.92034791,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 98, 99]",94,628.71923828,679.22690161,7.37945358,26.58463097,5.1560286,4.16944218,-0.39287223,-7.73702145,7.73702145,0,0.04166667,0.0,0.19635324,-0.5036088,71.21035004,0.56509787,0.09104597,0.28635928,0.06343266,0.71210349,0.121823,0.4782232,0.60828805,0.76382798,0.80446494,0.84322518,0.50220388,0.59023917,0.78226435,0.79653299,0.80354929,71.21035004,0.03896543,0.05475247,0.56509787,0.54662305,0.69046986,0.28635928,0.28335574,0.40186816,0.50380945,0.55892652,0.28947949,0.4659265,0.47530496,0.09104599,0.09214281,0.10552425,0.11531133,0.11664365,3.28230953,0.21513501,0.92402345,1.0,1.0,1.0,1.0,71.21035004,92.40234375,5,0,True,125,125,0.8,1e-05,1288.48608398,7.16122323,7.30298455,False,True
"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 46, 48, 49, 50, 51, 52, 54, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 87, 88, 89, 91, 92, 94, 95, 96, 98, 99]",83,536.29284668,568.17395895,6.81956696,23.58414078,4.85635056,3.71131325,-0.23566488,-6.20978165,6.20978165,-11,0.11702128,0.11286559,0.14700742,-0.55988662,69.49349976,0.56932104,0.09449219,0.30923668,0.02451191,0.69493502,0.14072998,0.4275251,0.57648015,0.75281417,0.80249268,0.84957552,0.4525035,0.54513752,0.7666918,0.79107809,0.82529879,69.49349976,0.04255831,0.05864406,0.56932098,0.55922049,0.69089007,0.30923668,0.25982669,0.44874614,0.63802326,0.73266828,0.24188167,0.63667119,0.69194496,0.09449219,0.08948651,0.10447987,0.12720689,0.14277154,3.79794407,0.24194062,0.85011721,1.0,1.0,1.0,1.0,69.49349976,85.01171875,6,0,True,150,150,0.8,1e-05,747.7366333,6.61705082,5.85439213,False,True
"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 27, 29, 30, 31, 33, 34, 35, 36, 38, 40, 41, 42, 43, 46, 49, 50, 51, 52, 55, 56, 59, 60, 61, 62, 63, 64, 65, 67, 68, 71, 72, 73, 74, 75, 76, 78, 79, 80, 83, 84, 85, 86, 87, 88, 89, 91, 92, 95, 96, 98, 99]",73,480.69335938,501.57145967,6.36671832,17.15598297,4.14197815,3.12207651,0.10113132,-4.37912989,4.37912989,-10,0.12048193,0.27256273,0.10367374,-0.45284864,64.17605591,0.5966506,0.09385469,0.30338833,0.05487982,0.64176059,0.15951289,0.35079712,0.50224566,0.69945157,0.76250303,0.83727163,0.37384462,0.48029953,0.71795648,0.75036395,0.82548648,64.17605591,0.04818023,0.05876029,0.5966506,0.60828555,0.68843383,0.30338833,0.23330913,0.41854325,0.65952611,0.84194744,0.22175689,0.62210286,0.79275298,0.09385467,0.08859596,0.10412183,0.12287169,0.1503496,3.98413658,0.25972396,0.75226563,1.0,1.0,1.0,1.0,64.17605591,75.2265625,7,0,True,175,175,0.8,1e-05,508.20623779,6.23088735,4.41269756,False,True
"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 27, 29, 31, 33, 34, 36, 38, 40, 41, 42, 43, 46, 49, 50, 51, 52, 55, 56, 59, 60, 61, 62, 64, 65, 67, 68, 72, 73, 74, 75, 76, 78, 79, 83, 84, 85, 86, 87, 88, 89, 91, 92, 95, 96, 98, 99]",67,438.85061646,452.68693736,5.99175617,9.60778713,3.09964307,2.37265635,0.49661066,-3.03046989,3.03046989,-6,0.08219178,0.43997455,0.08704664,-0.37496215,57.16080475,0.62009001,0.0909375,0.27758411,0.07133549,0.57160801,0.17179385,0.27585989,0.4198741,0.614986,0.6971336,0.82069355,0.298702,0.41099018,0.6358273,0.68634969,0.80093509,57.16080093,0.05940928,0.06520706,0.62009001,0.6400733,0.68800622,0.27758405,0.19688202,0.35463747,0.56099647,0.90481788,0.18914065,0.50877941,0.80509466,0.0909375,0.08329595,0.09707151,0.11238584,0.14420213,4.01566696,0.30062431,0.67351562,0.98242188,1.0,1.0,1.0,57.16080093,67.3515625,8,0,True,200,200,0.8,1e-05,368.64743042,5.90984071,3.3781802,False,True
"[2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 27, 29, 31, 33, 34, 36, 38, 41, 42, 43, 49, 50, 51, 52, 55, 56, 59, 60, 62, 65, 67, 68, 72, 73, 74, 75, 76, 78, 83, 84, 85, 86, 87, 88, 89, 91, 92, 95, 96, 98, 99]",59,399.00939941,412.87801182,5.87159468,6.52518511,2.55444419,2.1098206,0.65812017,-2.50073576,2.50073576,-8,0.11940299,0.32084412,0.09078537,-0.12016149,50.25880432,0.62119913,0.09099767,0.26507911,0.0701704,0.50258803,0.18360239,0.20670563,0.35006008,0.52329087,0.63104945,0.81918252,0.24369089,0.33561161,0.54849792,0.61072499,0.78403509,50.25880432,0.07291746,0.08017609,0.62119913,0.65459365,0.69159585,0.26507914,0.17730409,0.30675673,0.49794367,1.00218868,0.17029126,0.44265279,0.83604962,0.09099769,0.0847165,0.09414919,0.10679257,0.15069051,4.17316961,0.34464478,0.54207033,0.72851562,0.92285156,0.98046875,1.0,50.25880432,54.20703125,9,0,True,225,225,0.8,1e-05,327.01364136,5.79000189,2.68111245,False,True
