config_id,seed,j0,j1,beta_true,truth,selected_last,selected_mcmc,pip_last,pip_mcmc,pip_absdiff,pip_js,softgate_last,softgate_absdiff,softgate_js,mean_last,mean_mcmc,sd_last,sd_mcmc,mean_zerr,sd_logerr,sd_ratio,moment_score,beta_skl,zero_beta_score
E02,498,35,36,0.0,0,0,0,0.0005,0.0,0.0005,0.00017326241849915846,0.002045757551951471,0.002045757551951471,0.000709466533004581,-0.002451160497361588,-0.004147389460246844,0.03281638050767043,0.03454341205346663,0.04910425377832621,0.05128904172076661,0.9500037505513187,0.10039329549909282,,0.005469018060632923
E04,498,35,36,0.0,0,0,0,0.00075,0.0,0.00075,0.0002599428691989206,0.0022191337069447092,0.0022191337069447092,0.000769646299290877,-0.002610549430508758,-0.004147389460246844,0.03638542044590001,0.03454341205346663,0.044490092132717776,0.051951289144204126,1.0533241434384328,0.0964413812769219,,0.005597982129116178
E03,498,35,36,0.0,0,0,0,0.00075,0.0,0.00075,0.0002599428691989206,0.0024341735832690056,0.0024341735832690056,0.0008442982779375607,-0.002415223925163395,-0.004147389460246844,0.03204573190871309,0.03454341205346663,0.050144584181682605,0.0750528261189673,0.9276941890445136,0.1251974103006499,,0.006664019263105992
E01,498,35,36,0.0,0,0,0,0.0005,0.0,0.0005,0.00017326241849915846,0.0022872009879612637,0.0022872009879612637,0.0007932748766791081,-0.0022948812638957576,-0.004147389460246844,0.02909818094455964,0.03454341205346663,0.053628392505055134,0.17154113750542277,0.8423653249964987,0.2251695300104779,,0.009584940293219338
E03,400,15,16,0.0,0,0,0,0.00275,0.0,0.00275,0.0009539598238785635,0.006240453510949306,0.006240453510949306,0.0021675912604723073,-0.0019218423909347995,0.0025152917299644637,0.02729133011752311,0.027699656500203746,0.16018727593224363,0.014850933360714498,0.9852584368596049,0.17503820929295813,,0.011085914014529206
E04,451,83,84,0.0,0,0,0,0.00225,0.0,0.00225,0.0007803609442979737,0.0036972972067726177,0.0036972972067726177,0.0012830318376613969,-0.00021369226897517113,-0.0014737661864850748,0.022238050270202408,0.028417734445488004,0.04434109539998944,0.24520850696451063,0.7825410040145966,0.28954960236450006,,0.011137055299568117
E02,400,15,16,0.0,0,0,0,0.003,0.0,0.003,0.0010407828618318776,0.006718641100421621,0.006718641100421621,0.002334096474740869,-0.002055615914184612,0.0025152917299644637,0.027950979241244824,0.027699656500203746,0.16501670314750733,0.009032218804487069,1.009072771364927,0.1740489219519944,,0.011540871485611774
E08,498,35,36,0.0,0,0,0,0.0005,0.0,0.0005,0.00017326241849915846,0.00043036358843804564,0.00043036358843804564,0.00014912092615492305,-0.0006151689995795959,-0.004147389460246844,0.026938326682389477,0.03454341205346663,0.10225450319311283,0.24866671538009136,0.7798395492112531,0.3509212185732042,,0.011567669420182447
E04,400,19,20,0.0,0,0,0,0.0005,0.0,0.0005,0.00017326241849915846,0.005701535415920263,0.005701535415920263,0.0019800088432058833,0.0025964295264865526,0.007440352907143162,0.04023555307995094,0.038863646018359364,0.12463890114631308,0.03469173696573535,1.0353002574164274,0.15933063811204842,,0.011917365858168449
E02,400,19,20,0.0,0,0,0,0.0005,0.0,0.0005,0.00017326241849915846,0.005335914409491474,0.005335914409491474,0.0018527880525028987,0.0020730812601949668,0.007440352907143162,0.037393898270406574,0.038863646018359364,0.1381051655153769,0.038551710630269645,0.962181691108565,0.17665687614564657,,0.01217293380439246
