config_id,seed,j0,j1,beta_true,truth,selected_last,selected_mcmc,pip_last,pip_mcmc,pip_absdiff,pip_js,softgate_last,softgate_absdiff,softgate_js,mean_last,mean_mcmc,sd_last,sd_mcmc,mean_zerr,sd_logerr,sd_ratio,moment_score,beta_skl,zero_beta_score
E01,400,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.111297640559,0.111297640559,0.040213329808880344,-0.05966124766903501,-0.01383055891196311,0.04566849104027162,0.05306410113543232,0.8636852248424741,0.15009202146862158,0.8606285880058311,1.0137772463110957,,0.1645239394112326
E01,400,1,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.11716605275275001,0.11716605275275001,0.04243052338451926,-0.07181669424192676,-0.002049348849197296,0.04498624981238438,0.02711679623086,2.5728452236875685,0.5062034138541547,1.6589803913260346,3.079048637541723,,0.20480285172700385
E01,400,2,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.09010665091975,0.09010665091975,0.032291681274725474,-0.004667100827451,-0.00010040273083895784,0.03469466064260833,0.03038356487410262,0.15030154007665691,0.13268392916767605,1.141888694347822,0.282985469244333,,0.09898444478486775
E01,400,3,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.10608551090225,0.10608551090225,0.038252696951816004,-0.063310260291885,-0.022055782354079383,0.05046162654985792,0.06441471160174543,0.6404510787591101,0.24412882798248262,0.7833865503889809,0.8845799067415927,,0.16129307389194314
E01,400,4,5,0.0,0,0,0,0.00425,0.0,0.00425,0.0014751340368402016,0.008056957357216513,0.008056957357216513,0.0028004062492956528,-0.0020880230475337235,0.0035925929396173157,0.02168478066437064,0.033602796142350275,0.16905183344172103,0.4379984558586287,0.6453264817381095,0.6070502893003498,,0.025655588822347187
E01,400,5,6,0.0,0,0,0,0.00025,0.007875,0.007625,0.002264995760726497,0.2081920791875,0.2003170791875,0.06361295469542502,0.2186132440373,0.0952609503180405,0.08871946832146575,0.13895902354751596,0.8876881953635649,0.44869970404247816,0.6384577242409276,1.3363878994060432,,0.37390892813280974
E01,400,6,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.09018311118687501,0.09018311118687501,0.0323200288106236,-0.021893506870289865,-0.002305606704623908,0.038223989935892114,0.028255522226806638,0.6932412388637469,0.302174319448832,1.352796671075556,0.9954155583125789,,0.11973947906162645
E01,400,7,8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.08792376482175002,0.08792376482175002,0.03148308803857354,0.09446969441405,0.0016323932523649202,0.04804905294929804,0.029978209726003482,3.096825028644274,0.4717515247939795,1.6027987448373957,3.5685765534382536,,0.19883190920672966
E01,400,8,9,0.0,0,0,0,0.0,0.0,0.0,0.0,0.07597085440244998,0.07597085440244998,0.02707953867273685,0.01572652546723535,0.008665063506376544,0.015405812537165161,0.04411901201467493,0.16005481623119416,1.0521455028627902,0.34918753484700676,1.2122003190939843,,0.11174551584081854
E01,400,9,10,0.0,0,0,0,0.01525,0.0,0.01525,0.0053144684567378656,0.0290215409059588,0.0290215409059588,0.010164858911750362,-0.00048732207186223626,-0.0034166355654301084,0.01418563172627205,0.0336259702160677,0.08711459040733455,0.8630686818873113,0.4218652254929255,0.9501832722946459,,0.05139119288932232
