support_idx,support_size,loss,loss_ema,log_grad_ema,val_mse,val_rmse,val_mae,val_r2,val_heldout_loglik,val_nll,dS,churn,pred_improve_rel,loss_improve_rel,grad_slope,expected_support_soft,softgate_entropy,beta_soft_sd_mean,beta_soft_abs_mean,softgate_churn,softgate_mean,softgate_sd,softgate_q05,softgate_q25,softgate_q50,softgate_q75,softgate_q95,softgate_mean_j_q05,softgate_mean_j_q25,softgate_mean_j_q50,softgate_mean_j_q75,softgate_mean_j_q95,softgate_mean_j_sum,softgate_sd_j_median,softgate_sd_j_q90,gate_entropy_mean,gate_entropy_median,gate_entropy_q90,beta_abs_mean,beta_abs_median,beta_abs_q75,beta_abs_q90,beta_abs_q95,beta_mean_abs_j_median,beta_mean_abs_j_q90,beta_mean_abs_j_q95,beta_soft_sd_j_mean,beta_soft_sd_j_median,beta_soft_sd_j_q75,beta_soft_sd_j_q90,beta_soft_sd_j_q95,beta_l2_draw_mean,beta_l2_draw_sd,pip_hard_mean,pip_hard_q50,pip_hard_q75,pip_hard_q90,pip_hard_q95,expected_support_softgate,expected_support_hard,ckpt_id,stage,is_warmup,epoch,epoch_in_stage,tau,lr,grad_norm,log_grad,lasso_recovery_score,alert,best_so_far
"[13, 18, 23, 28, 34, 41, 43, 46, 70, 74, 80, 85, 89, 94, 95, 96, 99]",17,350.95959473,364.48874439,5.80001934,2.60193801,1.61305239,1.33351982,0.88027333,-1.95704889,1.95704889,-29,0.63043478,0.51952508,0.09231447,-0.04718982,39.69158936,0.59983999,0.09103677,0.2330018,0.08033938,0.39691588,0.18032354,0.13645501,0.26600292,0.37846786,0.50029182,0.74923676,0.18036363,0.30515736,0.38840896,0.46402067,0.71315962,39.69158936,0.0955895,0.10475344,0.59984004,0.64256763,0.69132698,0.23300178,0.14024425,0.28464919,0.52416468,0.81769097,0.12763616,0.51034498,0.77264482,0.09103676,0.08372337,0.09844084,0.13122794,0.15448266,3.70388794,0.32382116,0.25062501,0.12695312,0.34277344,0.75742185,0.98867184,39.69158936,25.0625,10,0,True,250,250,0.8,1e-05,346.51803589,5.84793487,2.27766305,False,True
"[13, 18, 41, 43, 46, 70, 80, 85, 96]",9,321.30715942,332.63036754,5.85534814,1.63516593,1.27873607,1.06447792,0.92475879,-1.8017211,1.8017211,-8,0.47058824,0.37155846,0.0844896,0.0553288,32.50424576,0.54797941,0.09250041,0.21488199,0.07187344,0.32504249,0.18777314,0.08930088,0.18846388,0.28847116,0.41705436,0.71998221,0.15036292,0.24518348,0.29835257,0.35582238,0.70345712,32.50424957,0.11328585,0.12851503,0.54797941,0.58282602,0.68699193,0.21488199,0.11607534,0.24604742,0.48904189,0.82725054,0.11353261,0.46266773,0.77130061,0.09250042,0.07991198,0.10309365,0.13733023,0.1547967,3.67534804,0.3368482,0.15585938,0.05664062,0.13769531,0.38515615,0.96621084,32.50424957,15.5859375,11,0,True,275,275,0.8,1e-05,296.1730957,5.69094407,2.13182246,False,True
"[18, 41, 43, 46, 70, 80, 85, 96]",8,298.22079468,306.30607493,5.85214638,1.26723433,1.12571503,0.9214592,0.94168895,-1.74630046,1.74630046,-1,0.11111111,0.22501178,0.07185139,-0.00320176,27.2297287,0.49350032,0.09269167,0.19654664,0.0530653,0.27229726,0.19167425,0.05514538,0.13582094,0.22392437,0.35387817,0.69200319,0.12654926,0.19547303,0.24321052,0.2757532,0.66823894,27.22972679,0.11846562,0.13800545,0.49350035,0.51567507,0.67847347,0.19654663,0.09144752,0.20752108,0.45029065,0.82792538,0.0876784,0.41660693,0.78259569,0.09269168,0.08119674,0.10370319,0.13315423,0.16216762,3.68807316,0.35242012,0.11652344,0.03710938,0.07421875,0.21601555,0.95859361,27.22972679,11.65234375,12,0,True,300,300,0.8,1e-05,296.86831665,5.69328866,1.96461789,False,True
"[18, 41, 43, 46, 70, 80, 85, 96]",8,295.63168335,305.23863577,5.82044463,1.24584293,1.11617334,0.91428685,0.94267326,-1.74579298,1.74579298,0,0.0,0.01688038,0.00868186,-0.03170175,26.86255646,0.48952496,0.09236614,0.19571163,0.00774079,0.26862556,0.1915579,0.0536629,0.13151413,0.2200781,0.34726617,0.68996376,0.12507942,0.19478455,0.23599434,0.26900375,0.66335201,26.86255646,0.11966365,0.13747646,0.48952493,0.51137388,0.67791241,0.19571166,0.09037431,0.20420906,0.44685137,0.83687556,0.08319218,0.41678238,0.78055197,0.09236616,0.07952562,0.10103446,0.13816762,0.16494407,3.68642497,0.35942817,0.11351562,0.03320312,0.0625,0.19335935,0.95332026,26.86255646,11.3515625,13,1,False,301,1,0.8,1e-05,253.44046021,5.53512892,1.89183209,False,True
"[18, 43, 46, 80, 85, 96]",6,275.18511963,282.45628332,5.73548003,1.44031823,1.20013259,0.98705888,0.93372459,-1.74977446,1.74977446,-2,0.25,0.0,0.06916229,-0.0849646,21.37262535,0.42150557,0.08794797,0.17672491,0.05496733,0.21372625,0.18794997,0.02997741,0.08719384,0.15832457,0.27051103,0.64458692,0.09103972,0.14777723,0.17679712,0.20132649,0.60792673,21.37262535,0.10785512,0.12779257,0.42150557,0.42625117,0.65429831,0.17672491,0.06581856,0.16576527,0.39594018,0.8549726,0.06606264,0.36114249,0.80789411,0.08794798,0.07545114,0.09184642,0.1323536,0.17167981,3.69679856,0.3931711,0.08128906,0.015625,0.03125,0.08242187,0.84902334,21.37262535,8.12890625,14,1,False,325,25,0.8,1e-05,250.1499176,5.52206041,1.62788738,False,True
"[18, 43, 46, 80, 85, 96]",6,254.46192932,261.39177768,5.61846772,1.73805249,1.31835219,1.10030913,0.92002452,-1.79840207,1.79840207,0,0.0,0.0,0.07530636,-0.11701232,17.1261158,0.35786334,0.08051838,0.16447926,0.04305043,0.17126118,0.18279164,0.01797144,0.05803536,0.11276209,0.20773399,0.59032339,0.06803666,0.10603318,0.12850139,0.15135145,0.55518973,17.12611771,0.08884828,0.1025518,0.35786331,0.34554097,0.61277944,0.16447924,0.04888513,0.13497512,0.37274215,0.8748107,0.04240483,0.32569355,0.81160545,0.08051838,0.06869435,0.08316752,0.12340376,0.17304245,3.73154449,0.35104981,0.06359375,0.00390625,0.0078125,0.01953125,0.72968686,17.12611771,6.359375,15,1,False,350,50,0.8,1e-05,228.64944458,5.43219002,1.47754922,False,True
"[18, 43, 46, 80, 85, 96]",6,236.53630066,242.78587325,5.5539899,1.90887892,1.38162184,1.15327728,0.91216404,-1.84514213,1.84514213,0,0.0,0.0,0.07044523,-0.06447782,14.45037746,0.30708003,0.07836053,0.15941285,0.02883546,0.14450379,0.18366072,0.01195441,0.04170731,0.08449912,0.16144225,0.5706315,0.05173778,0.08001449,0.09069712,0.12133644,0.53051394,14.45037651,0.07144003,0.08765904,0.30708,0.2835688,0.56636488,0.15941283,0.0403897,0.11562189,0.35927027,0.91965383,0.03061328,0.30128577,0.82406533,0.07836053,0.06524236,0.07900132,0.12365036,0.17837863,3.82726479,0.34069821,0.05816406,0.0,0.00390625,0.0078125,0.64101452,14.45037651,5.81640625,16,1,False,375,75,0.8,1e-05,274.3631897,5.61445274,1.30880233,False,True
"[18, 43, 46, 80, 85, 96]",6,224.48251343,228.76296567,5.55853872,2.11025572,1.45267192,1.21090424,0.9028978,-1.87203312,1.87203312,0,0.0,0.0,0.05095957,0.00454882,13.23876095,0.28212535,0.07608187,0.15554613,0.01394002,0.13238761,0.18445998,0.01085505,0.03606197,0.07174971,0.13907081,0.56436837,0.04454695,0.06517938,0.08082728,0.10584019,0.52216953,13.2387619,0.06135311,0.08046977,0.28212535,0.2521162,0.53245634,0.15554613,0.03685068,0.10373791,0.3521359,0.92618853,0.02759583,0.30639759,0.84091437,0.07608188,0.06277166,0.07703084,0.13217965,0.17227361,3.82449555,0.29950655,0.05671875,0.0,0.0,0.0078125,0.58261573,13.2387619,5.671875,17,1,False,400,100,0.8,1e-05,291.39807129,5.67469027,1.2386647,False,True
"[18, 43, 46, 80, 85, 96]",6,216.86151123,218.75885303,5.4739883,2.14840269,1.46574305,1.1983254,0.90114249,-1.85775876,1.85775876,0,0.0,0.0,0.0339492,-0.08455042,13.00274467,0.27559966,0.07319605,0.15468098,0.00726791,0.13002747,0.18662238,0.01156215,0.03582597,0.0692515,0.13099705,0.57835853,0.04877609,0.06445105,0.07315579,0.09570658,0.53870368,13.00274563,0.05580006,0.07147376,0.27559966,0.24506351,0.51601863,0.15468098,0.03599784,0.09934991,0.36011025,0.94802827,0.02409629,0.33265847,0.85722542,0.07319604,0.05950017,0.07826552,0.12802334,0.16581802,3.79469872,0.28052929,0.05753906,0.0,0.0,0.00390625,0.68886602,13.00274563,5.75390625,18,1,False,425,125,0.8,1e-05,234.61433411,5.45794303,1.16318749,False,True
"[18, 43, 46, 80, 85, 96]",6,209.2197113,211.16869972,5.44851553,2.22107744,1.49032796,1.22227597,0.89779841,-1.87311769,1.87311769,0,0.0,0.0,0.03523816,-0.02547278,12.55932426,0.26368323,0.07044742,0.15432587,0.00724454,0.12559325,0.18923436,0.01119776,0.03407391,0.06440841,0.1205535,0.58342111,0.04338528,0.05820748,0.06607229,0.09469771,0.54264462,12.55932331,0.04949792,0.06806814,0.26368326,0.23198295,0.49553722,0.15432584,0.03393136,0.09351675,0.36314887,0.96630949,0.01950444,0.32611966,0.87078077,0.07044742,0.05839499,0.0747381,0.13244544,0.15925543,3.85435438,0.25697476,0.05746094,0.0,0.0,0.00390625,0.70019412,12.55932331,5.74609375,19,1,False,450,150,0.8,1e-05,305.6277771,5.72236795,1.12733396,False,True
