config_id,seed,j0,j1,beta_true,truth,selected_last,selected_mcmc,pip_last,pip_mcmc,pip_absdiff,pip_js,softgate_last,softgate_absdiff,softgate_js,mean_last,mean_mcmc,sd_last,sd_mcmc,mean_zerr,sd_logerr,sd_ratio,moment_score,beta_skl,zero_beta_score,group
default,426,68,69,1.9748428,1,1,1,1.0,1.0,0.0,0.0,0.9989386051575,0.0010613948424998,0.0003679329164362,1.97737296195,1.802345031585561,0.1124482992760249,0.1143036466440941,1.5312539904949969,0.016364918973549,0.9837681713556532,1.547618909468546,1.1646897542009147,0.1779446725750081,true_nonzero
default,458,72,73,-1.9809442,1,1,1,1.0,1.0,0.0,0.0,0.9987311740175,0.0012688259824999,0.0004398826513364,-1.8940319848,-2.019632195507709,0.1109730372654864,0.1155810173661984,1.08668536324536,0.0406844652394718,0.9601319506694436,1.127369828484832,0.6182768409832456,0.1314770167909212,true_nonzero
default,460,43,44,-1.7082644,1,1,1,0.99975,1.0,0.0002499999999999,8.659904290186536e-05,0.998625337565,0.0013746624349999,0.0004765973767197,-1.965750256375,-1.7561429541694735,0.1153958460022344,0.1161286745955571,1.804957172601484,0.0063304826241888,0.9936894265540428,1.8112876552256725,1.6732473328208295,0.2117147932338488,true_nonzero
default,462,38,39,1.9838465,1,1,1,1.0,1.0,0.0,0.0,0.99845517553,0.0015448244699999,0.0005356326265541,2.231510610275,2.1154381337777903,0.1254209014772561,0.112827587752391,1.0287596191841268,0.105814402423246,1.111615455577651,1.134574021607373,0.4967688539462754,0.1302106146920746,true_nonzero
default,417,30,31,-1.8226628,1,1,1,1.0,1.0,0.0,0.0,0.998393016935,0.001606983065,0.0005571994745684,-1.671517142125,-1.8817230292062317,0.1116626175206001,0.1339306363810218,1.5695129737760902,0.1818400306020923,0.8337346271213315,1.7513530043781826,1.9536858954570209,0.2340808890066533,true_nonzero
default,438,79,80,0.0,0,0,0,0.0,0.048625,0.048625,0.0171550069505733,0.04557634238475,0.00304865761525,2.588960806026845e-05,-0.038842448523655,-0.2239975164120537,0.0204489148591967,0.178531258985457,1.0371016177758825,2.166833455282881,0.1145396824623618,3.203935073058764,,0.346286069629909,true_zero
default,493,25,26,0.0,0,0,0,0.0,0.090125,0.090125,0.0322984840168725,0.09375007644325,0.00362507644325,1.967711094879557e-05,-0.0805465276669425,-0.2552246889924051,0.0450216603966922,0.1876238634429723,0.931001786286837,1.427295347407971,0.2399569925219374,2.358297133694808,,0.3209054408149927,true_zero
default,483,77,78,0.0,0,0,0,0.0,0.008625,0.008625,0.0029984664545422,0.0152239288399619,0.0065989288399618,0.0004679958051413,0.0001594033651279,0.1361907181002637,0.0130038761458242,0.153961360965513,0.8835418513232549,2.4714534859785053,0.0844619404482773,3.3549953373017605,,0.2835877283947863,true_zero
default,403,6,7,0.0,0,0,0,0.0,0.03225,0.03225,0.0113090662015509,0.039594203138675,0.007344203138675,0.0001950101449236,-0.0109603281412764,-0.1694727456812408,0.0202106094505158,0.1757445704651622,0.9019476852168778,2.162823511962413,0.1149999015447431,3.0647711971792906,,0.3213905816932857,true_zero
default,424,85,86,0.0,0,0,0,0.00175,0.000125,0.001625,0.000420533969555,0.0091391531819625,0.0090141531819625,0.0028897389367064,0.0046284286275973,-0.0008117697507468,0.0209186850211297,0.0296907564329181,0.1832286273456584,0.3501928451924604,0.7045518703059545,0.533421472538119,,0.023226422972095,true_zero
