"method","setting","seed","replicate_id","j0","j1","beta_true","truth","pip","selected","effect_mean"
"mcmc","low_snr",432,432,0,1,-0.49707296,1,0.08325,0,-0.094804754583508
"mcmc","low_snr",432,432,1,2,0,0,0.027625,0,-0.0285680711699167
"mcmc","low_snr",432,432,2,3,0,0,0.027375,0,0.0316885626404805
"mcmc","low_snr",432,432,3,4,0,0,0.040375,0,-0.0514027997769292
"mcmc","low_snr",432,432,4,5,0,0,0.019,0,0.00397351559857681
"mcmc","low_snr",432,432,5,6,0,0,0.014125,0,-0.0103932767714644
"mcmc","low_snr",432,432,6,7,0,0,0.019375,0,0.0134395930571288
"mcmc","low_snr",432,432,7,8,0,0,0.30175,0,-0.309497307146178
"mcmc","low_snr",432,432,8,9,0,0,0.016375,0,0.0163183847759575
"mcmc","low_snr",432,432,9,10,0,0,0.044,0,-0.0505839644943667
"mcmc","low_snr",432,432,10,11,0,0,0.01175,0,-0.0112989714214684
"mcmc","low_snr",432,432,11,12,0,0,0.06225,0,0.0747412060360467
"mcmc","low_snr",432,432,12,13,0,0,0.615375,1,-0.647513254525188
"mcmc","low_snr",432,432,13,14,0,0,0.160625,0,0.173864290914487
"mcmc","low_snr",432,432,14,15,0,0,0.026875,0,-0.0338564099687218
"mcmc","low_snr",432,432,15,16,0,0,0.01325,0,-0.00871579594130938
"mcmc","low_snr",432,432,16,17,0,0,0.033625,0,-0.0313014448242853
"mcmc","low_snr",432,432,17,18,0,0,0.02,0,-0.0287375372411141
"mcmc","low_snr",432,432,18,19,0,0,0.01625,0,0.0195429396709977
"mcmc","low_snr",432,432,19,20,0,0,0.25125,0,-0.255251789987744
"mcmc","low_snr",432,432,20,21,0,0,0.0235,0,0.032673825955584
"mcmc","low_snr",432,432,21,22,0,0,0.028875,0,0.0346122883738725
"mcmc","low_snr",432,432,22,23,-1.6887474,1,0.991875,1,-1.49870884377827
"mcmc","low_snr",432,432,23,24,0,0,0.018625,0,0.0155244622721606
"mcmc","low_snr",432,432,24,25,0,0,0.00925,0,-0.00134892591212622
"mcmc","low_snr",432,432,25,26,0,0,0.01225,0,0.000190229196686122
"mcmc","low_snr",432,432,26,27,0,0,0.017125,0,0.0204535976495755
"mcmc","low_snr",432,432,27,28,0,0,0.044125,0,0.0526350257065754
"mcmc","low_snr",432,432,28,29,0,0,0.018375,0,0.0215895765522648
"mcmc","low_snr",432,432,29,30,0,0,0.052375,0,0.0633261467123806
"mcmc","low_snr",432,432,30,31,0,0,0.019125,0,0.015627068504625
"mcmc","low_snr",432,432,31,32,0,0,0.179875,0,0.193404396014522
"mcmc","low_snr",432,432,32,33,0,0,0.0375,0,-0.0481937350518121
"mcmc","low_snr",432,432,33,34,0.5207071,1,0.028125,0,0.0273296027318804
"mcmc","low_snr",432,432,34,35,-1.821086,1,0.85125,1,-1.05181617917535
"mcmc","low_snr",432,432,35,36,0,0,0.02575,0,0.027499411582936
"mcmc","low_snr",432,432,36,37,-1.624276,1,0.999875,1,-2.15516074349152
"mcmc","low_snr",432,432,37,38,0,0,0.0155,0,-0.0139700987939775
"mcmc","low_snr",432,432,38,39,0,0,0.06975,0,0.0776758809866026
"mcmc","low_snr",432,432,39,40,0,0,0.06025,0,-0.0686874367242517
"mcmc","low_snr",432,432,40,41,0,0,0.01475,0,0.0125008374470934
"mcmc","low_snr",432,432,41,42,0,0,0.026625,0,0.0357887177187509
"mcmc","low_snr",432,432,42,43,0,0,0.0765,0,-0.0893921330491115
"mcmc","low_snr",432,432,43,44,-1.8718247,1,0.9885,1,-1.48532385617059
"mcmc","low_snr",432,432,44,45,0,0,0.025875,0,-0.0322405738550681
"mcmc","low_snr",432,432,45,46,0,0,0.01375,0,-0.00288561439847259
"mcmc","low_snr",432,432,46,47,0,0,0.01175,0,-0.00646172530642278
"mcmc","low_snr",432,432,47,48,0,0,0.013875,0,0.000895925024910871
"mcmc","low_snr",432,432,48,49,0,0,0.01525,0,0.0153856423576274
"mcmc","low_snr",432,432,49,50,0,0,0.022625,0,0.0255586634160805
"mcmc","low_snr",432,432,50,51,0,0,0.04575,0,-0.0541263119590313
"mcmc","low_snr",432,432,51,52,0,0,0.071625,0,0.081873769290208
"mcmc","low_snr",432,432,52,53,0,0,0.014625,0,-0.0112626230105246
"mcmc","low_snr",432,432,53,54,0,0,0.017,0,0.0188274868904115
"mcmc","low_snr",432,432,54,55,0,0,0.017,0,0.00802002272777956
"mcmc","low_snr",432,432,55,56,0,0,0.0205,0,-0.0256309208279723
"mcmc","low_snr",432,432,56,57,0,0,0.066,0,0.0778627275077557
"mcmc","low_snr",432,432,57,58,0,0,0.04675,0,-0.0538848624692647
"mcmc","low_snr",432,432,58,59,0,0,0.016125,0,0.00417020994040161
"mcmc","low_snr",432,432,59,60,-0.9077543,1,0.586625,1,-0.63752080039945
"mcmc","low_snr",432,432,60,61,0,0,0.032,0,-0.0359498874609111
"mcmc","low_snr",432,432,61,62,0,0,0.017,0,-0.0203338429990871
"mcmc","low_snr",432,432,62,63,0,0,0.0275,0,0.0339395907501981
"mcmc","low_snr",432,432,63,64,0,0,0.039875,0,-0.0445560086682587
"mcmc","low_snr",432,432,64,65,0,0,0.0685,0,0.0818008000663194
"mcmc","low_snr",432,432,65,66,0,0,0.0345,0,-0.0309777574307
"mcmc","low_snr",432,432,66,67,0,0,0.02525,0,0.0194608635133553
"mcmc","low_snr",432,432,67,68,0,0,0.107875,0,0.121761726733887
"mcmc","low_snr",432,432,68,69,0,0,0.01475,0,0.0132144968387792
"mcmc","low_snr",432,432,69,70,0,0,0.040125,0,-0.0482149337742566
"mcmc","low_snr",432,432,70,71,0,0,0.03525,0,0.0425997479088736
"mcmc","low_snr",432,432,71,72,0,0,0.0435,0,0.0551760582213993
"mcmc","low_snr",432,432,72,73,0,0,0.016625,0,0.0108174042616717
"mcmc","low_snr",432,432,73,74,0,0,0.01225,0,0.00984697215746865
"mcmc","low_snr",432,432,74,75,0,0,0.076875,0,-0.0904905663915747
"mcmc","low_snr",432,432,75,76,0,0,0.01275,0,0.00569054975329111
"mcmc","low_snr",432,432,76,77,0,0,0.014375,0,0.00949960504627024
"mcmc","low_snr",432,432,77,78,0,0,0.012,0,-0.00768081046940968
"mcmc","low_snr",432,432,78,79,0,0,0.013875,0,0.0021374024319954
"mcmc","low_snr",432,432,79,80,0,0,0.011375,0,0.00630868024729312
"mcmc","low_snr",432,432,80,81,0,0,0.071,0,0.0823506431874212
"mcmc","low_snr",432,432,81,82,0,0,0.02025,0,0.0180383249686182
"mcmc","low_snr",432,432,82,83,0,0,0.164375,0,0.176642397137655
"mcmc","low_snr",432,432,83,84,0,0,0.018375,0,0.0130651150339391
"mcmc","low_snr",432,432,84,85,0,0,0.025,0,0.0274164587687599
"mcmc","low_snr",432,432,85,86,0,0,0.074375,0,0.0841394442968501
"mcmc","low_snr",432,432,86,87,0,0,0.038875,0,-0.0538865656471071
"mcmc","low_snr",432,432,87,88,0,0,0.021625,0,0.0266259782118213
"mcmc","low_snr",432,432,88,89,0,0,0.02275,0,0.0199801342056138
"mcmc","low_snr",432,432,89,90,1.8294997,1,1,1,2.29842889942714
"mcmc","low_snr",432,432,90,91,0,0,0.016125,0,0.0163409030319051
"mcmc","low_snr",432,432,91,92,-0.87465304,1,0.00825,0,-0.00371519041031657
"mcmc","low_snr",432,432,92,93,0,0,0.048,0,0.0549817775844627
"mcmc","low_snr",432,432,93,94,0,0,0.05875,0,0.0681701507650761
"mcmc","low_snr",432,432,94,95,0,0,0.01575,0,0.0182356986583162
"mcmc","low_snr",432,432,95,96,0,0,0.02475,0,-0.0320410541906848
"mcmc","low_snr",432,432,96,97,-1.022466,1,0.03525,0,-0.0426243177545224
"mcmc","low_snr",432,432,97,98,0,0,0.05025,0,-0.0568390554442126
"mcmc","low_snr",432,432,98,99,0,0,0.13025,0,-0.146804459911738
"mcmc","low_snr",432,432,99,100,0,0,0.01875,0,0.0185811661741853
