method,mode,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,pip_hard,softgate,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,recovery,simple,451,451,0,1,0.0,0,0.0,0.0,0.16522774,0,-0.07780624,0.041418497,0.0,0.0
last_flow,recovery,simple,451,451,1,2,1.2273421,1,0.859,0.859,0.5554113,1,1.4039049,0.14060281,2.138337,0.8994432
last_flow,recovery,simple,451,451,2,3,0.0,0,0.0065,0.0065,0.08447996,0,0.029870747,0.035781313,0.0024425604,0.031195967
last_flow,recovery,simple,451,451,3,4,0.0,0,0.033,0.033,0.06928376,0,-0.0005855302,0.01615785,-0.00030165748,0.01723026
last_flow,recovery,simple,451,451,4,5,0.0,0,0.01525,0.01525,0.065211415,0,-0.0103917755,0.03599991,-0.0025444548,0.03728184
last_flow,recovery,simple,451,451,5,6,0.0,0,0.0,0.0,0.1525981,0,-0.089963354,0.056471035,0.0,0.0
last_flow,recovery,simple,451,451,6,7,0.0,0,0.0205,0.0205,0.032178055,0,-0.0038368665,0.029837819,-0.002277734,0.0333493
last_flow,recovery,simple,451,451,7,8,0.0,0,0.0,0.0,0.21088699,0,-0.1759907,0.0704165,0.0,0.0
last_flow,recovery,simple,451,451,8,9,0.0,0,0.0,0.0,0.12741022,0,0.031397946,0.021943018,0.0,0.0
last_flow,recovery,simple,451,451,9,10,0.0,0,0.00025,0.00025,0.21798776,0,-0.13239922,0.06270075,-0.00028758356,0.018188385
last_flow,recovery,simple,451,451,10,11,0.0,0,0.0125,0.0125,0.04385231,0,0.0058081257,0.02865485,0.0016001164,0.027840933
last_flow,recovery,simple,451,451,11,12,0.0,0,0.00075,0.00075,0.14862117,0,0.10246801,0.05467687,0.0005377323,0.020101648
last_flow,recovery,simple,451,451,12,13,0.0,0,0.0055,0.0055,0.02752999,0,-0.009701603,0.041849066,-0.0014607139,0.039110254
last_flow,recovery,simple,451,451,13,14,0.0,0,0.00025,0.00025,0.18806057,0,0.0912317,0.036830027,0.00010535713,0.0066634445
last_flow,recovery,simple,451,451,14,15,0.0,0,0.0,0.0,0.115270294,0,-0.013980841,0.019759271,0.0,0.0
last_flow,recovery,simple,451,451,15,16,0.0,0,0.0,0.0,0.17147803,0,0.1117525,0.053788614,0.0,0.0
last_flow,recovery,simple,451,451,16,17,0.0,0,0.0025,0.0025,0.28271645,0,-0.21366397,0.06499337,-0.0018563232,0.037776038
last_flow,recovery,simple,451,451,17,18,0.0,0,0.0,0.0,0.18304963,0,-0.13685542,0.05612937,0.0,0.0
last_flow,recovery,simple,451,451,18,19,0.0,0,0.02025,0.02025,0.053511217,0,0.010599489,0.04005473,0.004386552,0.041755043
last_flow,recovery,simple,451,451,19,20,1.9502076,1,1.0,1.0,0.94850856,1,1.8932627,0.18169585,1.9946476,0.16720517
last_flow,recovery,simple,451,451,20,21,0.0,0,0.0,0.0,0.2345167,0,0.16811825,0.0819251,0.0,0.0
last_flow,recovery,simple,451,451,21,22,-1.2594846,1,0.19325,0.19325,0.44888246,0,-1.2141411,0.13850069,-0.47248596,0.9724215
last_flow,recovery,simple,451,451,22,23,0.0,0,0.0,0.0,0.17085627,0,-0.025421945,0.024670262,0.0,0.0
last_flow,recovery,simple,451,451,23,24,-0.8779785,1,0.002,0.002,0.3451022,0,-0.79093623,0.12368656,-0.003867815,0.08719963
last_flow,recovery,simple,451,451,24,25,0.0,0,0.0,0.0,0.24036154,0,0.3026899,0.09269599,0.0,0.0
last_flow,recovery,simple,451,451,25,26,0.0,0,0.0005,0.0005,0.19077776,0,-0.009131038,0.023770573,-6.310198e-05,0.0032672447
last_flow,recovery,simple,451,451,26,27,0.0,0,0.01925,0.01925,0.050290946,0,-0.0009850521,0.021835832,-2.691064e-06,0.023041258
last_flow,recovery,simple,451,451,27,28,0.0,0,0.00175,0.00175,0.083974786,0,-0.023370665,0.027037382,-0.0007027687,0.018519845
last_flow,recovery,simple,451,451,28,29,0.0,0,0.04175,0.04175,0.05431729,0,-0.0068301354,0.030496411,-0.0058805267,0.03548158
last_flow,recovery,simple,451,451,29,30,0.0,0,0.0,0.0,0.15604956,0,-0.06237818,0.053222742,0.0,0.0
last_flow,recovery,simple,451,451,30,31,0.0,0,0.0,0.0,0.179109,0,0.07838851,0.047660466,0.0,0.0
last_flow,recovery,simple,451,451,31,32,0.0,0,0.00525,0.00525,0.02085577,0,-0.00056245935,0.025835495,-2.1444812e-05,0.025246836
last_flow,recovery,simple,451,451,32,33,0.0,0,0.0,0.0,0.19311218,0,-0.17872445,0.070703916,0.0,0.0
