variable,mean,sd,rhat,ess,mcse
xi_0,-0.09106870020490225,0.46479076526541274,1.007478651283991,176.58070492175887,0.034977266622216646
xi_1,0.26175115396169485,0.9050261540831147,1.040827582109006,171.43165341283319,0.06912189294109361
xi_2,-0.008888799878596119,0.9862665178899471,1.000228875627582,17472.22060104677,0.00746139853613532
xi_3,-0.01212268881247363,0.9981500219731729,1.000074533424834,19064.016857417548,0.007229172934917274
xi_4,-0.5674308083741945,1.059837846754717,1.1164666358258228,41.39680671273913,0.16472366757579301
xi_5,-0.04493602139834786,0.9875535848578322,1.0009534862160363,17137.950896178998,0.0075436446566025965
xi_6,0.038806578055017575,0.9821724883608202,1.0001797420649792,16754.93473472562,0.007587809076733706
xi_7,0.3187425918052828,0.9876442735877509,1.0386306934095706,98.87629648017321,0.09932405791480908
xi_8,0.0014849478827031407,0.9765010671353652,1.000113146274169,19367.321178621136,0.0070167813688647275
xi_9,-0.0008821830501537598,0.9880330708687209,1.0000201215539604,18285.19928096779,0.0073067059894352275
xi_10,-0.47071863367611894,1.0674213191090103,1.0670357869945064,73.4497652667203,0.12454912087068423
xi_11,-0.02251000095278369,0.996593407705653,1.0003865114130086,17539.85365829683,0.007524974408395125
xi_12,0.04521345523902052,0.9787230393888047,1.0001736067012963,16373.51319311938,0.0076487219724377525
xi_13,0.4318021517030371,1.061877571570786,1.0698708084813102,66.35391688559068,0.13035904365849824
xi_14,0.009225895250096903,0.9811559061796932,1.0004027824012593,18401.700626077687,0.007232843063771523
xi_15,0.0007949495634978675,0.9828517056324126,0.999973283177571,18921.65285821125,0.007145102451707193
xi_16,-0.34164414038825436,1.026428453478182,1.0314280965416522,96.12551528796828,0.10469099853860007
xi_17,-0.00547250260558522,0.9738293185398941,1.0002548075732538,16528.329669476167,0.00757475101847851
xi_18,0.03663357829680506,0.9907338166968074,1.0002382591663326,14523.89454662693,0.008220825761296856
xi_19,0.413823438157341,1.0745432304778424,1.0308531111409693,138.39255470921773,0.09134137170747045
xi_20,0.008485143678926265,0.9705316582239668,1.0000236504597255,18624.095052697645,0.007111678525298273
xi_21,-0.001451596153708453,0.9876109584868179,1.000219796245426,18333.449149794473,0.007293967284347188
xi_22,-0.3529388093798521,1.009394627012728,1.0427615094210283,83.73174342007414,0.11031026342005827
xi_23,-0.0035839894228697146,0.9945233513058709,0.9998727886798435,16227.585231788646,0.007807069316543837
xi_24,0.0363231815746674,0.9789657433312365,1.000000319328385,16199.71309933678,0.007691549393752385
xi_25,0.30694866037476315,1.0005165614576617,1.0158584489615483,168.03835208650003,0.07718271918951085
xi_26,0.003800448555499395,0.9827353273260725,0.9998628965550508,19538.123047072135,0.007030644653380516
xi_27,-0.004365941146887351,0.984761593189874,0.9999977208288955,19286.556694260948,0.00709093906202701
xi_28,-0.47243149496345865,1.0276457560182493,1.0401747110116115,108.17778292469521,0.09880396992342987
xi_29,-0.030927889109052347,0.9870134538552467,1.0003078379889243,15104.52494308197,0.008030998359143891
xi_30,0.023363418817436116,0.9953349454182306,0.9999196904962305,16681.61772374224,0.007706375556022136
xi_31,-0.12129425651715237,0.7703523168205979,1.0069219776007463,707.5670624724421,0.028960468880980274
xi_32,-0.08438865436950348,0.8504035393444122,1.0144386506865588,457.13993527248584,0.039774110669219744
xi_33,-0.05825792311537987,0.8052931032920816,1.0226033667194188,317.17082633230586,0.04521758492025036
xi_34,-0.07747882938250629,0.8289407520177094,1.0133440031539358,656.1430539860316,0.03236117059682344
xi_35,-0.15324832328650909,0.7982250287105273,1.0029239650469823,688.8681811267903,0.0304128611097765
xi_36,0.6949499501250349,0.9004525346928708,1.0318427618240724,108.0347717690314,0.08663214059420919
xi_37,0.4996667601385323,0.8586403225813579,1.0701837804628669,122.01068574385535,0.0777342379659126
xi_38,0.5537335393798839,0.8117253152750697,1.0178491686525126,161.64089574828918,0.06384596658638923
xi_39,0.5197650876162809,0.8173633665753358,1.0465329861305104,122.79264696133707,0.07376137239051957
xi_40,0.6091672567999536,0.8269347801788789,1.0208550888823096,150.16246875570835,0.06748240601543626
xi_41,1.2318975480387546,0.6076562523406219,1.0240637381187974,276.1550398111166,0.03656633924308004
xi_42,-0.6709930025345048,0.7245197067776873,1.006485998269396,1264.7201661485974,0.020372905979483456
xi_43,-0.6745225925827554,0.7178058870296096,1.0050194568059896,1011.6555366056662,0.022567875875025376
xi_44,1.358453837997721,0.636640720562655,1.034293433659263,155.33877582980372,0.05108042172575616
xi_45,-0.6065319112999068,0.7401637051525898,1.0048325948718377,1354.1645401449016,0.020113704549269355
xi_46,-0.6116922141800369,0.750572391183596,1.00307423992692,1307.6973031825783,0.020755775823218973
xi_47,-0.08882459675869155,0.49572665609098593,1.03900405193973,138.80779074235758,0.042076087663964444
