variable,mean,sd,rhat,ess,mcse,quantity
x0,1.0,0.0,1.0,20000.0,0.0,active_indicator
x1,0.2222,0.415735254447006,1.0011272350791858,3931.5145829661365,0.006630356939286143,active_indicator
x2,0.2144,0.41041571857457654,1.0012257780082936,4635.5737519289305,0.006027986041565544,active_indicator
x3,1.0,0.0,1.0,20000.0,0.0,active_indicator
x4,0.2727,0.44535898692112014,1.0025958850356855,3044.2132766364293,0.008071842561350564,active_indicator
x5,0.26935,0.44363320211732715,1.0021440982002363,2539.3241413740207,0.008803694653682676,active_indicator
x0,2.306359141714871,0.6166665429335317,1.0091089036009466,638.8131613321827,0.024398518642552013,slab_strength
x1,2.078525747576356,0.6902251763942113,1.0007914995389482,6228.772015333189,0.00874559937182016,slab_strength
x2,2.099284530232847,0.6903584148169658,1.0006712252188077,6389.417457163289,0.008636623564276814,slab_strength
x3,2.4547388975352047,0.610877288192565,1.0049521417217977,392.971706342972,0.030815792242626042,slab_strength
x4,2.0959293739795686,0.7003300277178297,1.0003546192775064,5815.995666595864,0.009183129540069663,slab_strength
x5,2.0921032506801187,0.6948550744613267,1.0000787538756386,6112.2215332635415,0.008887808533392785,slab_strength
x0,1.3100181330144405,0.461179954386881,1.0050347801044108,391.9898725166559,0.023293406120389167,effective_strength
x1,0.02640603590234542,0.09770876597184293,1.000661421406898,5592.475704541281,0.001306566369102848,effective_strength
x2,0.021863109551724425,0.08017161030839795,1.0011581990768683,6530.956274813672,0.000992046932920809,effective_strength
x3,1.521587818647921,0.45710576043956075,1.005418589651959,354.5213871257491,0.024277025492164785,effective_strength
x4,0.044173437647507134,0.12951480691005512,1.003110274472514,2969.2632047100305,0.002376813328209586,effective_strength
x5,0.0468971840162511,0.14225829616312322,1.0017584449405126,2158.6948744920937,0.00306183633567332,effective_strength
threshold_0,-0.08882459665440037,0.4957266560651286,1.0390040519720993,138.80779072693815,0.04207608766410674,derived
active_count,2.97865,0.9224623159435088,1.005486828216937,892.5269975670134,0.03087720297652112,derived
