"method","setting","seed","replicate_id","j0","j1","beta_true","truth","pip","selected","effect_mean"
"mcmc","simple",484,484,0,1,0,0,0,0,-0.00646944670775721
"mcmc","simple",484,484,1,2,0,0,0.00025,0,0.0208009207982843
"mcmc","simple",484,484,2,3,0,0,0,0,-0.0223734484550745
"mcmc","simple",484,484,3,4,0,0,0,0,0.00431294472589381
"mcmc","simple",484,484,4,5,0,0,0,0,0.000277815634645822
"mcmc","simple",484,484,5,6,0,0,0.000125,0,-0.0104848206163149
"mcmc","simple",484,484,6,7,0,0,0,0,-0.000566713408883669
"mcmc","simple",484,484,7,8,0,0,0,0,0.000157173363015697
"mcmc","simple",484,484,8,9,0,0,5e-04,0,-0.0286731241014788
"mcmc","simple",484,484,9,10,0,0,0,0,-0.000576454558369773
"mcmc","simple",484,484,10,11,0,0,0,0,0.000176046831594485
"mcmc","simple",484,484,11,12,0,0,0.00075,0,-0.0199509223691417
"mcmc","simple",484,484,12,13,0,0,0,0,0.000372523115731479
"mcmc","simple",484,484,13,14,0,0,0,0,0.00378751552936183
"mcmc","simple",484,484,14,15,0,0,0,0,0.00280981322457107
"mcmc","simple",484,484,15,16,0,0,0,0,0.004636513153762
"mcmc","simple",484,484,16,17,1.6751722,1,1,1,1.61359884050349
"mcmc","simple",484,484,17,18,0,0,0,0,0.00279118391643816
"mcmc","simple",484,484,18,19,0,0,0,0,0.00237761605112192
"mcmc","simple",484,484,19,20,0,0,0,0,-0.00449993116978534
"mcmc","simple",484,484,20,21,0,0,0.000125,0,0.0232302393535073
"mcmc","simple",484,484,21,22,0,0,0,0,0.00619072870483834
"mcmc","simple",484,484,22,23,0,0,0.00075,0,0.0275508828231618
"mcmc","simple",484,484,23,24,0,0,0,0,-0.0163609226805332
"mcmc","simple",484,484,24,25,0,0,0,0,0.00101201469498619
"mcmc","simple",484,484,25,26,0,0,0,0,-0.00459356883090978
"mcmc","simple",484,484,26,27,0,0,0.0525,0,0.263892923432985
"mcmc","simple",484,484,27,28,0,0,5e-04,0,0.018088131987859
"mcmc","simple",484,484,28,29,0,0,0.000125,0,0.0196923082844776
"mcmc","simple",484,484,29,30,0.6819311,1,0.256,0,0.42065482758864
"mcmc","simple",484,484,30,31,0,0,0,0,0.000108628644957678
"mcmc","simple",484,484,31,32,0,0,0,0,-0.0136673357228287
"mcmc","simple",484,484,32,33,0,0,0,0,0.000917533050224309
"mcmc","simple",484,484,33,34,1.6440127,1,1,1,1.6765949290429
"mcmc","simple",484,484,34,35,-1.673547,1,1,1,-1.78998518277222
"mcmc","simple",484,484,35,36,0,0,0,0,-0.0061165062313462
"mcmc","simple",484,484,36,37,0,0,0.00025,0,-0.0304134248600065
"mcmc","simple",484,484,37,38,0,0,0,0,0.00485281890556317
"mcmc","simple",484,484,38,39,0,0,0,0,-0.000754104650418169
"mcmc","simple",484,484,39,40,0,0,0,0,0.00418873741810327
"mcmc","simple",484,484,40,41,0,0,0,0,-0.00456256806861528
"mcmc","simple",484,484,41,42,0,0,0,0,0.00667779280360644
"mcmc","simple",484,484,42,43,0,0,0,0,0.00489806277199658
"mcmc","simple",484,484,43,44,0,0,0,0,-0.00200851091165185
"mcmc","simple",484,484,44,45,0,0,0,0,0.000831262215756302
"mcmc","simple",484,484,45,46,0,0,0,0,-0.0114368340030447
