method,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,simple,487,487,0,1,0.0,0,0.0,0,-0.39953727,0.0019833532,0.0,0.0
last_flow,simple,487,487,1,2,0.0,0,0.0,0,0.115052186,0.0010501493,0.0,0.0
last_flow,simple,487,487,2,3,0.0,0,0.0,0,0.055948704,0.0009972879,0.0,0.0
last_flow,simple,487,487,3,4,0.0,0,0.0,0,0.10510253,0.00095948286,0.0,0.0
last_flow,simple,487,487,4,5,0.0,0,0.0,0,1.4628557e-24,9.1694005e-23,0.0,0.0
last_flow,simple,487,487,5,6,0.0,0,0.0,0,-1.7539818e-26,0.0,0.0,0.0
last_flow,simple,487,487,6,7,0.0,0,0.0,0,-0.115998775,0.0014334241,0.0,0.0
last_flow,simple,487,487,7,8,0.0,0,0.0,0,-0.11584455,0.0010879808,0.0,0.0
last_flow,simple,487,487,8,9,1.7846297,1,1.0,1,1.4647712,0.002429657,1.4647712,0.002429657
last_flow,simple,487,487,9,10,0.0,0,0.0,0,4.7692063e-23,2.7308809e-21,0.0,0.0
last_flow,simple,487,487,10,11,0.0,0,0.0,0,0.2208782,0.0014240469,0.0,0.0
last_flow,simple,487,487,11,12,0.0,0,0.0,0,-0.20132948,0.0013185728,0.0,0.0
last_flow,simple,487,487,12,13,0.0,0,0.0,0,0.26585516,0.0019395087,0.0,0.0
last_flow,simple,487,487,13,14,0.0,0,0.0,0,-0.47135463,0.002524055,0.0,0.0
last_flow,simple,487,487,14,15,0.0,0,0.0,0,3.6977713e-33,0.0,0.0,0.0
last_flow,simple,487,487,15,16,0.0,0,0.0,0,-0.055814587,0.0012261802,0.0,0.0
last_flow,simple,487,487,16,17,0.0,0,0.0,0,0.1759092,0.0019144787,0.0,0.0
last_flow,simple,487,487,17,18,-0.6203088,1,1.0,1,-0.6666786,0.0016115253,-0.6666786,0.0016115253
last_flow,simple,487,487,18,19,0.0,0,0.0,0,-0.12439306,0.0008134436,0.0,0.0
last_flow,simple,487,487,19,20,0.0,0,0.0,0,0.0,0.0,0.0,0.0
