variable,mean,sd,rhat,ess,mcse,quantity
unit_rank_1,1.0,0.0,1.0,20000.0,0.0,active_indicator
unit_rank_2,1.0,0.0,1.0,20000.0,0.0,active_indicator
unit_rank_3,0.80715,0.39454614537854305,1.0052953146377968,657.7835883753563,0.015383540100297967,active_indicator
unit_rank_4,0.46895,0.49904744255181804,1.006145555938858,505.2882878776957,0.02220098372309588,active_indicator
unit_rank_5,0.15295,0.3599482957853747,1.002352356564711,866.3009684898163,0.012229416094907831,active_indicator
unit_rank_1,2.906776336309314,1.1401940726494764,1.0222348619951864,206.6518127288857,0.0793157014457313,slab_strength
unit_rank_2,2.1899778920650483,1.1199820545785926,1.0025545177432225,258.5583465102488,0.06965171000359699,slab_strength
unit_rank_3,1.4388413286574002,1.3620668320816793,1.001232716044283,2463.0819576786307,0.02744473148002717,slab_strength
unit_rank_4,1.60285813055235,1.5957767078169207,1.0023137898982355,3375.4987259501618,0.027466488987320542,slab_strength
unit_rank_5,1.8603747090021145,1.6606747331611953,1.0005372863902604,6458.052194147804,0.020664923537021564,slab_strength
unit_rank_1,1.6283444599032402,0.24618359767850986,1.0032868554324657,1758.5581476788882,0.005870576443224704,effective_strength
unit_rank_2,1.0431934836387635,0.16675399169364463,1.0016531616358613,2656.110018770842,0.00323558794516735,effective_strength
unit_rank_3,0.22674548019886662,0.24696800605383085,1.0128800519551098,513.1932852771321,0.010901850263535136,effective_strength
unit_rank_4,0.054751026405771175,0.10337074760150351,1.0043743193426087,703.5918859367558,0.0038970613789791886,effective_strength
unit_rank_5,0.009025217133867142,0.03497832313231229,1.001165148203401,1460.9535189462492,0.0009151257716425815,effective_strength
threshold_0,-0.3843391149672534,0.603604493784022,1.0298716699203159,111.31477557401504,0.05721054129948393,derived
active_count,3.42905,0.96778764620475,1.0076255531876006,386.4041354190026,0.0492333277320758,derived
