stage,tau,best_ckpt_id,best_epoch,best_val_mse,best_support_size,n_evals,best_lasso_recovery_score
0,0.8,12,300,2.389080762863159,6,13,1.743197665780221
1,0.8,31,750,3.395313024520874,6,49,0.8602439670189983
