method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,1,0,unit,0,0,0,0,group,0.4860000014305115,0.26953956484794617,-0.019224748015403748,0.7023109793663025,0.619172215461731,0.5861687064170837
RaT,1,1,unit,0,0,1,1,group,0.4970000088214874,0.27026575803756714,-0.021806584671139717,0.7083225846290588,0.6273091435432434,0.5829136371612549
RaT,1,2,unit,0,0,2,2,group,0.4490000009536743,0.2527215778827667,-0.05322173237800598,0.7045282125473022,0.6133561730384827,0.5778596997261047
RaT,1,3,unit,0,0,3,3,group,0.4779999852180481,0.26201269030570984,-0.02655941992998123,0.6811612248420715,0.5939780473709106,0.5535699129104614
RaT,1,4,unit,0,0,4,4,group,0.48399999737739563,0.26674529910087585,-0.03627728298306465,0.7088717222213745,0.5877266526222229,0.5424578189849854
RaT,250,0,unit,0,0,0,0,group,0.48399999737739563,0.5318841338157654,-0.0882643610239029,1.4357267618179321,1.043650507926941,1.015393853187561
RaT,250,1,unit,0,0,1,1,group,0.4950000047683716,0.5339359641075134,-0.021674996241927147,1.3644448518753052,0.9580815434455872,0.9058176875114441
RaT,250,2,unit,0,0,2,2,group,0.47999998927116394,0.5283559560775757,-0.08491043746471405,1.4284627437591553,1.5566885471343994,1.5591195821762085
RaT,250,3,unit,0,0,3,3,group,0.4860000014305115,0.5192165970802307,-0.03851551190018654,1.374238133430481,0.9958938956260681,0.9443173408508301
RaT,250,4,unit,0,0,4,4,group,0.5109999775886536,0.5612316727638245,0.009334358386695385,1.3937475681304932,1.5948539972305298,1.5923973321914673
RaT,500,0,unit,0,0,0,0,group,0.4909999966621399,0.5452512502670288,-0.0411437526345253,1.4154664278030396,1.061913013458252,1.0065490007400513
RaT,500,1,unit,0,0,1,1,group,0.5220000147819519,0.6022698879241943,0.011433163657784462,1.4954330921173096,0.9162354469299316,0.8447909355163574
RaT,500,2,unit,0,0,2,2,group,0.49799999594688416,0.5805866718292236,0.022089920938014984,1.4266400337219238,1.6032607555389404,1.601951241493225
RaT,500,3,unit,0,0,3,3,group,0.49300000071525574,0.5531050562858582,0.01480784360319376,1.372460961341858,1.029018521308899,1.005965232849121
