method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,2500,0,0,2,2,2,1,1.0,1.3103575706481934,1.3103575706481934,0.3130917549133301,1.5472644567489624,1.1116535663604736,1.6652822494506836,2.0856401920318604
RaT,2500,0,0,4,4,4,2,1.0,1.3723793029785156,1.3723793029785156,0.4412202835083008,1.49274742603302,1.1690582036972046,1.6560921669006348,2.0757133960723877
RaT,2500,0,0,0,0,0,3,0.3012000024318695,0.15948054194450378,-0.4114776849746704,0.8124610185623169,1.161785364151001,0.6420205235481262,0.7717490792274475,0.07689445465803146
RaT,2500,0,0,1,1,1,4,0.2727999985218048,0.11466523259878159,-0.41178905963897705,0.6939995288848877,1.1991974115371704,0.7112019658088684,0.8686549067497253,0.05370349809527397
RaT,2500,0,0,3,3,3,5,0.24300000071525574,0.09479312598705292,-0.4424883723258972,0.647952139377594,1.1918665170669556,0.6824637651443481,0.7806275486946106,0.0673653781414032
MCMC,,0,0,1,1,1,1,0.9467999935150146,1.4778188467025757,1.4498716592788696,0.8456330299377441,1.2507505416870117,1.2007116079330444,1.4483716487884521,2.0607426166534424
MCMC,,0,0,4,4,4,2,0.8456000089645386,1.282545566558838,1.1789449453353882,1.1449148654937744,1.3170849084854126,0.8637962937355042,1.0730022192001343,1.2733433246612549
MCMC,,0,0,0,0,0,3,0.8393999934196472,1.173599362373352,1.0588737726211548,1.1332799196243286,1.2061171531677246,0.9044647216796875,1.0743255615234375,1.1252562999725342
MCMC,,0,0,3,3,3,4,0.8324000239372253,1.0510976314544678,0.9313109517097473,1.0289584398269653,1.334389090538025,0.9340251684188843,1.277390480041504,1.1665061712265015
MCMC,,0,0,2,2,2,5,0.7940000295639038,1.132904052734375,0.9886094927787781,1.2142795324325562,1.2166672945022583,0.8590401411056519,1.0140694379806519,1.1022891998291016
