support_idx,support_size,loss,loss_ema,log_grad_ema,val_mse,val_rmse,val_mae,val_r2,val_heldout_loglik,val_nll,dS,churn,pred_improve_rel,loss_improve_rel,grad_slope,expected_support_soft,softgate_entropy,beta_soft_sd_mean,beta_soft_abs_mean,softgate_churn,moment_recovery_score,recovery_score,active_mean_zerr_median,active_mean_zerr_mean,active_sd_logerr_median,active_sd_logerr_mean,active_sd_ratio_median,active_sd_ratio_mean,sd_ratio_median,sd_ratio_mean,active_marg_skl_median,active_marg_skl_mean,active_joint_skl_median,active_joint_skl_mean,softgate_absdiff_median,softgate_absdiff_mean,zero_soft_leakage_median,zero_soft_leakage_mean,ckpt_id,stage,is_warmup,epoch,epoch_in_stage,tau,lr,grad_norm,log_grad,alert,best_so_far
"[0, 3, 4, 5, 7, 10, 12, 13, 14, 15, 18, 19, 21, 22, 23, 24, 29, 31, 32, 33, 36, 37, 38, 41, 42, 43, 44, 46, 49, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 75, 76, 78, 79, 82, 83, 84, 85, 86, 92, 93, 94, 95, 96, 97, 98, 99]",67,474.0369873,485.87327171,5.76380286,5.14147329,2.26748171,1.86623263,0.25099476,-2.34673214,2.34673214,-9,0.11842105,0.12061692,0.06324038,-0.24123825,58.24328995,0.6289252,0.08080084,0.2298262,0.04664254,2.40348174,2.40348174,2.15778859,3.20477059,0.24569315,0.23843561,1.16014727,1.1018933,1.16014727,1.1018933,3.04375174,8.88690231,21.72857603,22.92194884,0.60530713,0.52739934,0.15505117,0.17885299,10,0,True,250,250,0.8,1e-05,295.05578613,5.68716444,False,True
"[3, 4, 5, 7, 10, 12, 13, 14, 15, 18, 19, 21, 22, 23, 24, 29, 31, 32, 33, 36, 37, 38, 41, 42, 43, 46, 49, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 75, 76, 78, 79, 82, 83, 84, 85, 86, 92, 93, 94, 95, 96, 97, 98, 99]",65,447.54788208,456.1438469,5.65826847,4.73213577,2.17534728,1.71992946,0.31062668,-2.24340463,2.24340463,-2,0.02985075,0.07961483,0.05587983,-0.10553439,53.84186554,0.63328183,0.08030479,0.22092535,0.04451786,2.18893946,2.18893946,1.88021109,2.74981881,0.30872836,0.25235084,1.11020891,1.13570017,1.11020891,1.13570017,3.14307385,6.80109537,16.55789646,17.83340034,0.56387016,0.48500156,0.13351327,0.16243304,11,0,True,275,275,0.8,1e-05,246.97201538,5.50927503,False,True
"[3, 4, 5, 7, 10, 12, 13, 14, 15, 18, 19, 21, 22, 23, 24, 29, 32, 33, 36, 37, 38, 41, 42, 43, 49, 51, 53, 54, 55, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 75, 76, 78, 79, 82, 83, 84, 85, 86, 92, 93, 94, 95, 96, 97, 98]",61,417.17822266,426.90352493,5.64265889,4.19551086,2.04829462,1.56693065,0.38880172,-2.14749098,2.14749098,-4,0.06153846,0.11340015,0.0678579,-0.01560958,48.61702728,0.62655985,0.07928145,0.21480902,0.05277954,2.20737586,2.20737586,1.93070618,2.57159791,0.27666968,0.24712428,1.11230418,1.15958345,1.11230418,1.15958345,2.15241566,5.08697307,13.42986676,14.57597196,0.51230624,0.43471486,0.1230679,0.15247123,12,0,True,300,300,0.8,1e-05,311.91030884,5.74271567,False,False
"[3, 4, 5, 7, 10, 12, 13, 14, 15, 18, 19, 21, 22, 23, 24, 29, 32, 33, 36, 37, 38, 41, 42, 43, 49, 51, 53, 54, 55, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 75, 76, 78, 79, 82, 83, 84, 85, 86, 92, 93, 94, 95, 96, 97, 98]",61,416.4699707,425.86016951,5.6558445,4.35113239,2.08593681,1.57265866,0.36613092,-2.16597843,2.16597843,0,0.0,0.0,0.00169772,0.01318561,48.57901764,0.61749524,0.08012649,0.21582836,0.00995959,2.19366141,2.19366141,1.88301505,2.45683461,0.31064636,0.27890821,1.16266921,1.15422814,1.16266921,1.15422814,2.86476181,5.63101155,12.99525534,14.59720681,0.50900224,0.43191811,0.12170696,0.15208301,13,1,False,301,1,0.74448389,1e-05,321.98822021,5.77451496,False,True
"[3, 7, 10, 12, 13, 14, 15, 18, 19, 21, 22, 24, 29, 32, 33, 36, 38, 41, 42, 43, 54, 55, 57, 58, 59, 60, 61, 63, 64, 65, 68, 69, 73, 75, 79, 82, 83, 84, 85, 86, 92, 93, 95, 97, 98]",45,386.22564697,397.00269155,5.66791375,3.20275354,1.78962386,1.32246208,0.53342572,-1.97022116,1.97022116,-16,0.26229508,0.26392643,0.07262066,0.01206925,42.913414,0.59563714,0.07965568,0.21017097,0.05745893,2.16597924,2.16597924,1.85495751,2.26873644,0.31102173,0.26925436,1.19534792,1.19206237,1.19534792,1.19206237,2.55369411,4.40452053,8.7538675,10.71795862,0.44402593,0.37735224,0.10800395,0.14248978,14,1,False,325,25,0.74448389,1e-05,367.80950928,5.90756517,False,True
"[10, 13, 14, 21, 22, 36, 38, 55, 58, 60, 65, 68, 69, 73, 85, 93, 95, 97]",18,351.13562012,363.7876965,5.72516515,1.81082904,1.34567048,0.97937399,0.73620004,-1.78922033,1.78922033,-27,0.6,0.43460244,0.09085369,0.0572514,36.38538742,0.55467594,0.08070446,0.20070519,0.06665542,2.06286871,2.06286871,1.76036309,2.10502047,0.30250562,0.31393491,1.30319769,1.28878438,1.30319769,1.28878438,1.81302489,3.27512296,6.88663894,8.53269673,0.36160722,0.31446711,0.08833361,0.13103238,15,1,False,350,50,0.74448389,1e-05,275.20571899,5.61751889,False,True
"[10, 13, 21, 22, 36, 38, 68, 69, 73]",9,315.20092773,327.99560846,5.69127767,1.36410511,1.1679491,0.86984944,0.80127839,-1.72445023,1.72445023,-9,0.5,0.24669581,0.1023385,-0.03388747,29.07885742,0.4880659,0.08069234,0.18612438,0.07473787,1.74593746,1.74593746,1.44697753,1.73654809,0.29895992,0.34180031,1.35189523,1.37744883,1.35189523,1.37744883,1.28669833,2.20851008,4.33864128,5.61256546,0.2711277,0.24300655,0.07395821,0.11088901,16,1,False,375,75,0.74448389,1e-05,400.86352539,5.99362103,False,True
"[10, 21, 22, 36, 68, 69, 73]",7,279.60467529,293.19822107,5.67896719,1.46649778,1.21099041,0.94375241,0.78636191,-1.69950986,1.69950986,-2,0.22222222,0.0,0.11293194,-0.01231049,24.30239105,0.43521217,0.08106079,0.1702116,0.0489725,1.83114217,1.83114217,1.48858648,1.75739038,0.34255569,0.36922334,1.41006274,1.44588851,1.41006274,1.44588851,1.05062763,2.07244043,4.21465129,5.33716371,0.21926023,0.19786109,0.06155622,0.09305474,17,1,False,400,100,0.74448389,1e-05,323.99499512,5.78072807,False,False
"[10, 21, 22, 36, 69, 73]",6,254.36975098,262.79058478,5.74471877,1.60969901,1.26873914,0.99028909,0.76550048,-1.72951472,1.72951472,-1,0.14285714,0.0,0.09025215,0.06575158,20.30949593,0.38357395,0.07622167,0.15706514,0.04049272,1.7420607,1.7420607,1.44865731,1.67798024,0.29340339,0.32845904,1.34543179,1.41843552,1.34543179,1.41843552,1.00516718,1.90266955,3.96126482,5.04641819,0.17389015,0.16189768,0.0451537,0.07655575,18,1,False,425,125,0.74448389,1e-05,313.03268433,5.74630761,False,True
"[21, 22, 36, 69, 73]",5,227.75289917,236.91864735,5.64689922,2.0035758,1.41547723,1.1013279,0.70812087,-1.80956554,1.80956554,-1,0.16666667,0.0,0.10463843,-0.09781954,16.88035202,0.33504483,0.06879754,0.14670649,0.03517743,1.64607546,1.64607546,1.38870096,1.55695043,0.2573745,0.26366851,1.29539416,1.31622415,1.29539416,1.31622415,0.98379575,1.53697874,2.95727099,3.91835119,0.13452797,0.13220471,0.03593249,0.06192638,19,1,False,450,150,0.74448389,1e-05,262.95809937,5.5719947,False,True
"[21, 22, 36, 69]",4,206.30950928,214.69657537,5.47082974,2.01608038,1.41988745,1.07977796,0.70629921,-1.83139324,1.83139324,-1,0.2,0.0,0.094152,-0.17606948,15.42040443,0.30974683,0.06773494,0.14652194,0.01616951,1.38430702,1.38430702,1.14341231,1.36959452,0.24089471,0.24766852,1.27354757,1.29913997,1.27354757,1.29913997,0.85515674,1.23718875,2.62921968,3.33816131,0.11613372,0.11876189,0.02983361,0.0570074,20,1,False,475,175,0.74448389,1e-05,201.19155884,5.30425748,False,True
"[21, 22, 36, 69]",4,189.36373901,196.6639281,5.39356709,2.22461057,1.49151285,1.13479686,0.67592072,-1.89904511,1.89904511,0,0.0,0.0,0.08213761,-0.07726265,13.89424706,0.28056648,0.06614345,0.14366512,0.01697158,1.3613793,1.3613793,1.1308116,1.2929039,0.2305677,0.2155575,1.25942167,1.24410971,1.25942167,1.24410971,0.58971422,1.0433014,2.00082676,2.75225312,0.09245335,0.10458534,0.0252887,0.05204497,21,1,False,500,200,0.74448389,1e-05,208.65774536,5.34069533,False,True
