config_id,seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,moment_score_j,moment_score_k,pair_moment_score,mean_zerr_j,mean_zerr_k,sd_logerr_j,sd_logerr_k,beta_skl_j,beta_skl_k,corr_last,corr_mcmc,corr_absdiff,joint_skl,pair_score
default,400,true_active_true_active,49,52,50,53,1.7504162,-1.1843685,0.07285229318135183,0.2070477544425951,0.27990004762394693,0.061088044129693465,0.02216712378917196,0.011764249051658368,0.18488063065342314,0.0046145004159239104,0.038308838069506634,-0.24462170021591773,0.028506495135075006,0.27312819535099275,0.0937988434539295,0.35756198080708806
default,400,true_active_true_active,49,97,50,98,1.7504162,-1.7154912,0.07285229318135183,0.6430171460970754,0.7158694392784273,0.061088044129693465,0.5767192123819024,0.011764249051658368,0.06629793371517302,0.0046145004159239104,0.16653360626848313,-0.3032503938584166,-0.02295303991484977,0.28029735394356686,0.2569174594644055,0.8116355237107595
default,400,true_active_true_active,49,12,50,13,1.7504162,1.2004611,0.07285229318135183,0.6477860859823897,0.7206383791637416,0.061088044129693465,0.4968919710868462,0.011764249051658368,0.15089411489554352,0.0046145004159239104,0.12730470286893752,0.25899260589352235,0.01151633749355753,0.24747626839996484,0.17874057587289993,0.8003815038510228
default,400,true_active_true_active,49,38,50,39,1.7504162,-1.8607761,0.07285229318135183,0.789776062143925,0.8626283553252769,0.061088044129693465,0.7715366506925077,0.011764249051658368,0.018239411451417435,0.0046145004159239104,0.301104771238467,-0.3234916713861643,0.025675495104304922,0.34916716649046925,0.4428862630825495,0.9942087732561492
default,400,true_active_true_active,49,25,50,26,1.7504162,-1.152345,0.07285229318135183,1.1644831018877593,1.237335395069111,0.061088044129693465,0.8734554506966706,0.011764249051658368,0.29102765119108853,0.0046145004159239104,0.3981012876009995,-0.057125260923416576,0.11174250832990064,0.1688677692533172,0.44947538075950566,1.324499875458391
default,400,true_active_true_active,49,18,50,19,1.7504162,-1.6515998,0.07285229318135183,1.1887706790109867,1.2616229721923384,0.061088044129693465,1.1866663043883576,0.011764249051658368,0.002104374622629076,0.0046145004159239104,0.7103244515976466,-0.3077252728463383,0.07171846206111188,0.3794437349074502,0.9192912733574181,1.4484130332549428
default,400,true_active_true_active,49,31,50,32,1.7504162,1.7440584,0.07285229318135183,1.2063218164105587,1.2791741095919105,0.061088044129693465,1.1748218683488296,0.011764249051658368,0.03149994806172896,0.0046145004159239104,0.6727740977171586,0.3296762638766424,-0.0934600157851094,0.4231362796617518,0.9361357089263405,1.4785717503999825
default,400,true_active_true_active,52,97,53,98,-1.1843685,-1.7154912,0.2070477544425951,0.6430171460970754,0.8500649005396705,0.02216712378917196,0.5767192123819024,0.18488063065342314,0.06629793371517302,0.038308838069506634,0.16653360626848313,0.18401868698632826,-0.011112726182415579,0.19513141316874383,0.25934641527218666,0.9247823953590751
default,400,true_active_true_active,52,12,53,13,-1.1843685,1.2004611,0.2070477544425951,0.6477860859823897,0.8548338404249849,0.02216712378917196,0.4968919710868462,0.18488063065342314,0.15089411489554352,0.038308838069506634,0.12730470286893752,-0.19429488630738603,-0.027381052826895576,0.16691383348049046,0.19469039230543028,0.9160313380256505
default,400,true_active_true_active,52,38,53,39,-1.1843685,-1.8607761,0.2070477544425951,0.789776062143925,0.9968238165865202,0.02216712378917196,0.7715366506925077,0.18488063065342314,0.018239411451417435,0.038308838069506634,0.301104771238467,0.223643724371154,-0.015006325616585056,0.23865004998773906,0.39423451610911653,1.0959097806943667
